"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","mdlsport_id"
"51492","4865","-3246","8731","-1982","-1205","-3624","-42.9900016784668","0.280000001192093","44.8800010681152","2272","-23","30638","2019-01-01 08:14:22","80"
"51493","4345","-3781","9152","-1503","-209","-5082","-45.060001373291","-5.53000020980835","40.6599998474121","2272","-23","30664","2019-01-01 08:14:22","80"
"51494","1896","-3744","10363","-1153","862","-6044","-45.7799987792969","-11.3599996566772","33.8499984741211","2272","-23","30690","2019-01-01 08:14:22","80"
"51495","469","-3587","12673","-80","887","-6364","-44.3600006103516","-17.0799999237061","25.8299999237061","2272","-23","30715","2019-01-01 08:14:22","80"
"51496","-1046","-3924","10905","1443","1445","-6761","-39.4900016784668","-22.2800006866455","16.5400009155273","2272","-23","30741","2019-01-01 08:14:22","80"
"51497","-3070","-4861","12870","2562","2943","-7613","-31.3899993896484","-25.5400009155273","4.55000019073486","2272","-23","30768","2019-01-01 08:14:22","80"
"51498","-5931","-6065","9800","4481","3927","-6640","-19.8400001525879","-24.5","-8.97999954223633","2272","-23","30792","2019-01-01 08:14:22","80"
"51499","-6461","-6095","8419","4603","2896","-4814","-9.14000034332275","-21.0699996948242","-19.1599998474121","2272","-23","30818","2019-01-01 08:14:22","80"
"51500","-4690","-6877","6877","4579","2624","-3702","-0.200000002980232","-17.1299991607666","-25.8400001525879","2272","-23","30843","2019-01-01 08:14:22","80"
"51501","-3061","-7561","9565","3916","4494","-4043","7.07000017166138","-10.9499998092651","-31.1000003814697","2272","-23","30869","2019-01-01 08:14:22","80"
"51502","-10486","-9927","5342","5000","4739","-1704","14.0900001525879","-1.94000005722046","-34.2299995422363","2272","-23","30894","2019-01-01 08:14:22","80"
"51503","-5434","-9761","2221","4148","3539","1037","20.5599994659424","3.91000008583069","-32.25","2272","-23","30920","2019-01-01 08:14:22","80"
"51504","-2963","-8393","2544","3294","3830","2043","25.9500007629395","8.47999954223633","-27.6100006103516","2272","1","30946","2019-01-01 08:14:22","80"
"51505","-20441","-5116","-565","2624","5735","-2893","30.0799999237061","14.5","-25.3099994659424","2272","1","30971","2019-01-01 08:14:22","80"
"51506","-3598","-7581","4933","1550","2820","4930","34.4000015258789","18.1900005340576","-17.8999996185303","2272","1","30997","2019-01-01 08:14:22","80"
"51507","6455","-6047","3435","3077","2325","4614","40.3699989318848","16.3700008392334","-9","2272","1","31022","2019-01-01 08:14:22","80"
"51508","2491","-5364","-347","3478","1129","3514","46.9599990844727","14.1999998092651","-2.82999992370605","2272","1","31048","2019-01-01 08:14:22","80"
"51509","452","-4101","-568","2784","1866","2956","52.5400009155274","11.8400001525879","1.85000002384186","2272","1","31073","2019-01-01 08:14:22","80"
"51510","2666","-3282","-897","2088","2282","3115","57.0900001525879","9.93000030517578","7.5","2272","1","31099","2019-01-01 08:14:22","80"
"51511","1211","-2905","-1764","1923","1762","3151","61.1199989318848","7.51000022888184","12.4799995422363","2272","1","31125","2019-01-01 08:14:22","80"
"51512","5961","-1033","-1164","599","1888","3019","63.4300003051758","4.40999984741211","17.0599994659424","2272","1","31150","2019-01-01 08:14:22","80"
"51513","1925","-1469","-1698","-699","2796","2665","63.5400009155273","2.42000007629395","22.3199996948242","2272","2","31176","2019-01-01 08:14:22","80"
"51514","929","-1515","-776","-1141","2726","2818","62.2200012207031","0.629999995231628","28.0799999237061","2272","2","31201","2019-01-01 08:14:22","80"
"51515","2285","-1959","299","-797","2008","2959","60.5999984741211","-1.74000000953674","33.3899993896484","2272","2","31227","2019-01-01 08:14:22","80"
"51516","333","-1020","-520","-457","1511","2972","59.2900009155273","-4.53000020980835","37.7900009155273","2272","2","31253","2019-01-01 08:14:22","80"
"51517","825","-235","1253","-1042","2060","3580","57.4300003051758","-7.57000017166138","42.7999992370606","2272","2","31278","2019-01-01 08:14:22","80"
