"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","mdlsport_id"
"141517","7857","-4446","416","1391","4099","3088","29.3299999237061","27.0400009155273","53","11366","-1","83874","2019-01-01 00:01:22","156"
"141518","6322","-3699","3359","-841","3145","4912","34.6199989318848","29.9699993133545","65.3000030517578","11366","-1","83915","2019-01-01 00:01:22","156"
"141519","2367","-5491","-92","-1328","1580","7897","39.75","24.0300006866455","81.9100036621094","11366","-1","83956","2019-01-01 00:01:22","156"
"141520","6559","-3297","418","-1014","1682","5642","42.1599998474121","15.0799999237061","97.5299987792969","11366","-1","83997","2019-01-01 00:01:22","156"
"141521","6181","-1782","545","-3125","1256","4708","38.6399993896484","9.44999980926514","110.410003662109","11366","-2","84038","2019-01-01 00:01:22","156"
"141522","6437","-1112","3476","-3228","341","6383","31.75","2.97000002861023","121.699996948242","11366","-2","84079","2019-01-01 00:01:22","156"
"141523","14304","-1653","8489","-5288","-628","5714","19.9699993133545","-5.17999982833862","137.800003051758","11366","-2","84120","2019-01-01 00:01:22","156"
"141524","9375","-6064","9268","-6970","-605","5332","2.84999990463257","-10.289999961853","148.940002441406","11366","-2","84161","2019-01-01 00:01:22","156"
"141525","21437","-1204","8266","-7662","-1651","1417","-17.6100006103516","-13.9799995422363","162.539993286133","11366","-2","84202","2019-01-01 00:01:22","156"
"141526","979","-6294","9500","-12757","6195","-7354","-41.1800003051758","-14.6300001144409","148.360000610352","11366","-2","84243","2019-01-01 00:01:22","156"
"141527","-5785","-1762","7068","-9915","8807","-8343","-61.2299995422363","-17.9400005340576","119.819999694824","11366","1","84284","2019-01-01 00:01:22","156"
"141528","-5372","1236","5316","-2278","4674","-8486","-65.2699966430664","-27.9300003051758","93.9700012207031","11367","1","84325","2019-01-01 00:01:22","156"
"141529","-5958","-7032","11222","6953","1542","-8280","-43.939998626709","-42.8199996948242","70.8899993896484","11367","2","84366","2019-01-01 00:01:22","156"
"141530","-2439","-8519","13","8635","2546","-3027","-11","-43.6800003051758","55.1199989318848","11367","2","84407","2019-01-01 00:01:22","156"
"141531","-1155","-7155","-2293","4899","3205","555","7","-35.7700004577637","50.3699989318848","11367","2","84448","2019-01-01 00:01:22","156"
"141532","-2917","-6536","3412","2796","4674","4310","8.36999988555908","-24.7000007629395","56.310001373291","11367","-1","84489","2019-01-01 00:01:22","156"
"141533","4467","-4047","-720","3893","3888","4493","12.5500001907349","-17.0799999237061","70.129997253418","11367","-1","84530","2019-01-01 00:01:22","156"
"141534","6567","-6488","-2098","553","580","10136","13.25","-16.2099990844727","87.5699996948242","11367","-1","84571","2019-01-01 00:01:22","156"
"141535","20282","-12877","2744","-6496","-2121","12037","-5.3600001335144","-22.9899997711182","118.220001220703","11367","-2","84612","2019-01-01 00:01:22","156"
"141536","20514","114","7422","-7633","-339","1343","-33.0699996948242","-20.5799999237061","135.740005493164","11367","-2","84653","2019-01-01 00:01:22","156"
"141537","5054","1299","6527","-9941","5602","-5835","-49.7900009155273","-23.5499992370605","128.160003662109","11367","-2","84694","2019-01-01 00:01:22","156"
"141538","-7173","-3843","7400","-7962","6866","-9256","-59.2400016784668","-30.2099990844727","97.0599975585938","11367","1","84735","2019-01-01 00:01:22","156"
"141539","-11091","-4394","10807","-415","4713","-5732","-54.1500015258789","-37.9799995422363","71.629997253418","11367","1","84776","2019-01-01 00:01:22","156"
"141540","-2159","-5482","5894","6992","1878","-360","-37.7200012207031","-35.810001373291","61.9799995422363","11367","2","84817","2019-01-01 00:01:22","156"
"141541","1143","-6977","-518","7733","2633","1621","-18.75","-29.4300003051758","61.310001373291","11367","2","84858","2019-01-01 00:01:22","156"
"141542","11658","-5262","-10100","4543","2616","595","-4.61999988555908","-21.3299999237061","62.1199989318848","11367","2","84899","2019-01-01 00:01:22","156"
"141543","-391","-5307","-713","2505","3121","2624","2.01999998092651","-13.6300001144409","64.4800033569336","11367","-1","84940","2019-01-01 00:01:22","156"
"141544","1271","-6464","-682","2703","814","7726","5.61999988555908","-9.13000011444092","76.7799987792969","11367","-1","84981","2019-01-01 00:01:22","156"
"141545","18995","-11696","-1190","560","-2116","15597","3.85999989509583","-17.4099998474121","107.23999786377","11368","-1","85022","2019-01-01 00:01:22","156"
"141546","19477","-3815","8523","-8727","-1996","5643","-18.8500003814697","-22.0799999237061","136.350006103516","11368","-2","85063","2019-01-01 00:01:22","156"
"141547","13697","2119","11847","-10671","5091","863","-46.5200004577637","-14.6199998855591","138.520004272461","11368","-2","85104","2019-01-01 00:01:22","156"
"141548","-4756","-3023","6459","-8514","9485","-9642","-62.060001373291","-18.0799999237061","113.51000213623","11368","1","85145","2019-01-01 00:01:22","156"
"141549","-6754","-2498","9903","-2017","6122","-7485","-64.1999969482422","-26.7199993133545","83.129997253418","11368","1","85186","2019-01-01 00:01:22","156"
"141550","-1510","-5132","8475","5632","1710","-3556","-48.7099990844727","-32.8800010681152","67.879997253418","11368","2","85227","2019-01-01 00:01:22","156"
"141551","-1698","-5629","-231","7543","2086","-719","-25.9400005340576","-31.8199996948242","59.7400016784668","11368","2","85268","2019-01-01 00:01:22","156"
"141552","7532","-5348","-9235","6566","2192","218","-8.02999973297119","-25.9599990844727","57.0400009155273","11368","2","85309","2019-01-01 00:01:22","156"
"141553","-832","-6471","1172","6496","1942","2484","4.55999994277954","-20.2000007629395","58.1100006103516","11368","-1","85350","2019-01-01 00:01:22","156"
"141554","1635","-7941","-2990","5865","2471","4977","16.5699996948242","-15.789999961853","68.6600036621094","11368","-1","85391","2019-01-01 00:01:22","156"
"141555","8469","-9247","-3037","234","-1596","12851","15.3100004196167","-22.2399997711182","92.2300033569336","11369","-1","85432","2019-01-01 00:01:22","156"
"141556","29473","-6468","9537","-9454","3469","12015","-16.3400001525879","-22.6399993896484","132.699996948242","11369","-1","85473","2019-01-01 00:01:22","156"
"141557","11571","203","11481","-9523","2740","1838","-43.0299987792969","-13.9799995422363","139.550003051758","11369","-1","85514","2019-01-01 00:01:22","156"
"141558","801","682","9055","-7828","8275","-8431","-58.9000015258789","-14.9099998474121","121.139999389648","11369","-1","85555","2019-01-01 00:01:22","156"
"141559","-5344","-2841","5828","-3066","6376","-9821","-61.0900001525879","-26.3400001525879","91.1800003051758","11369","1","85596","2019-01-01 00:01:22","156"
"141560","-4732","-2996","6554","2697","3672","-6572","-48.6399993896484","-35.3899993896484","68.0100021362305","11369","1","85639","2019-01-01 00:01:22","156"
"141561","-2091","-3412","-2118","6060","1673","-1277","-28.6399993896484","-36.25","56.6500015258789","11369","1","85678","2019-01-01 00:01:22","156"
"141562","-1504","-6479","1429","1991","-355","-1923","-13.789999961853","-33.2599983215332","53.5","11369","1","85719","2019-01-01 00:01:22","156"
"141563","645","-4716","2265","7421","700","3146","-2.35999989509583","-28.6000003814697","56.4799995422363","11369","-1","85760","2019-01-01 00:01:22","156"
"141564","2610","-7060","-890","6588","1879","6154","9.5600004196167","-25.4899997711182","69.5100021362305","11369","-1","85801","2019-01-01 00:01:22","156"
"141565","8553","-10556","-3856","680","-779","13434","6.5","-28.4699993133545","95.4300003051758","11370","-1","85842","2019-01-01 00:01:22","156"
"141566","26478","-5744","4424","-8717","1917","8096","-23.2199993133545","-25.6399993896484","131.679992675781","11370","-2","85883","2019-01-01 00:01:22","156"
"141567","13223","655","10441","-10164","3256","1632","-48.4599990844727","-19.0799999237061","134.729995727539","11370","-2","85924","2019-01-01 00:01:22","156"
"141568","790","-353","10422","-6662","5381","-9300","-60.8600006103516","-25.0300006866455","114.819999694824","11370","-2","85965","2019-01-01 00:01:22","156"
"141569","-8739","-4166","8353","55","2326","-9412","-53.1800003051758","-41.8600006103516","89.6900024414063","11370","1","86006","2019-01-01 00:01:22","156"
"141570","-6453","-3002","4440","3878","3063","-3453","-32.7000007629395","-45.3699989318848","68.5599975585938","11370","2","86049","2019-01-01 00:01:22","156"
"141571","-917","-2539","2952","3341","2001","-1730","-17.0599994659424","-42.3499984741211","60.9599990844727","11370","2","86088","2019-01-01 00:01:22","156"
"141572","-5557","-2453","3014","1361","4345","-1790","-5.6399998664856","-37.7999992370605","56.1100006103516","11370","2","86129","2019-01-01 00:01:22","156"
"141573","4374","-5285","1519","6719","2969","3584","3.92000007629395","-29.3799991607666","62.1199989318848","11370","-1","86170","2019-01-01 00:01:22","156"
"141574","6906","-5859","-1271","4418","3519","7956","10.6899995803833","-23.1900005340576","78.4199981689453","11370","-1","86211","2019-01-01 00:01:22","156"
"141575","17277","-9419","-2527","-1374","-319","14680","1.87999999523163","-25.3999996185303","109.319999694824","11371","-2","86252","2019-01-01 00:01:22","156"
"141576","23354","-728","7770","-10729","1198","2012","-26.1299991607666","-23.2700004577637","133.979995727539","11371","-2","86293","2019-01-01 00:01:22","156"
"141577","7316","-225","9976","-10320","4159","-5254","-48.7200012207031","-22.5100002288818","126.389999389648","11371","-2","86334","2019-01-01 00:01:22","156"
"141578","-1182","-2967","7479","-6340","4445","-10329","-57.0099983215332","-33.0999984741211","100.980003356934","11371","1","86375","2019-01-01 00:01:22","156"
"141579","-10265","-4263","6276","-1090","3590","-6745","-47.5900001525879","-44.3300018310547","72.5599975585938","11371","1","86416","2019-01-01 00:01:22","156"
"141580","-6023","-4154","6259","5557","1221","-2259","-29.9899997711182","-45.1500015258789","56.8699989318848","11371","2","86457","2019-01-01 00:01:22","156"
"141581","-2002","-4687","5065","6127","3073","-17","-13.3800001144409","-40.6500015258789","53.9199981689453","11371","2","86498","2019-01-01 00:01:22","156"
"141582","-2363","-6322","-983","6797","4143","2420","-0.810000002384186","-32.2000007629395","54.9099998474121","11371","2","86539","2019-01-01 00:01:22","156"
"141583","4838","-4460","-4331","5221","2922","3626","9.5","-26.9699993133545","67.0999984741211","11371","-1","86580","2019-01-01 00:01:22","156"
"141584","7799","-5162","-954","517","332","9218","5.80999994277954","-25.5200004577637","86.2699966430664","11371","-1","86621","2019-01-01 00:01:22","156"
"141585","26983","-7770","3864","-6178","153","12384","-18.6499996185303","-25.3899993896484","122.930000305176","11372","-2","86662","2019-01-01 00:01:22","156"
"141586","3114","1302","17619","-9678","2602","738","-43.6300010681152","-20.9400005340576","130.529998779297","11372","-2","86703","2019-01-01 00:01:22","156"
"141587","2882","-77","8667","-8840","6637","-8719","-60.1500015258789","-23.4400005340576","116.449996948242","11372","-2","86744","2019-01-01 00:01:22","156"
"141588","-4650","-3135","7523","-4138","5869","-9807","-60.9599990844727","-36.6699981689453","87.4499969482422","11372","1","86785","2019-01-01 00:01:22","156"
"141589","-1463","-4160","9117","2315","3423","-5800","-44.9900016784668","-44.3899993896484","61.6199989318848","11372","1","86826","2019-01-01 00:01:22","156"
"141590","-7144","-6806","-1231","6560","1940","236","-22.5499992370605","-44.1500015258789","49.3400001525879","11372","1","86867","2019-01-01 00:01:22","156"
"141591","9693","-5688","-10683","3796","2903","741","-10.4499998092651","-35.6399993896484","50.0800018310547","11372","1","86908","2019-01-01 00:01:22","156"
"141592","664","-6008","1264","6908","1746","4974","-3.25999999046326","-27.5400009155273","54.7400016784668","11372","-1","86949","2019-01-01 00:01:22","156"
"141593","3690","-7312","-4487","4330","1997","8591","4.96999979019165","-23.2700004577637","71.7799987792969","11373","-1","86990","2019-01-01 00:01:22","156"
"141594","14003","-12655","-3948","-1883","-1945","14809","-5.34999990463257","-26.4500007629395","103.169998168945","11373","-1","87031","2019-01-01 00:01:22","156"
"141595","25837","502","11019","-9954","2530","3254","-36.4500007629395","-16.2999992370605","130.529998779297","11373","-2","87072","2019-01-01 00:01:22","156"
"141596","7183","1085","7311","-8547","4532","-2087","-55.8400001525879","-14.6499996185303","124.029998779297","11373","-2","87113","2019-01-01 00:01:22","156"
"141597","-4370","-3211","10428","-5994","6040","-10278","-66.5299987792969","-24.6200008392334","98.7799987792969","11373","1","87154","2019-01-01 00:01:22","156"
"141598","-10943","-6488","5671","678","4844","-7577","-57.1800003051758","-38.8899993896484","73.5500030517578","11373","1","87197","2019-01-01 00:01:22","156"
"141599","-5538","-6666","3956","3861","2897","-3070","-38.5200004577637","-39.7599983215332","53.7799987792969","11373","2","87236","2019-01-01 00:01:22","156"
"141600","-2198","-3381","2927","4344","4013","549","-25.3199996948242","-33.5299987792969","48.6500015258789","11373","2","87277","2019-01-01 00:01:22","156"
"141601","-1836","-6532","351","6617","2720","4039","-13.7399997711182","-25.4699993133545","50.7200012207031","11373","-1","87318","2019-01-01 00:01:22","156"
