"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","mdlsport_id"
"141811","11624","-1673","1251","1114","4018","4102","76.4199981689453","17.7800006866455","-47.7200012207031","11396","-1","134035","2019-01-01 00:02:11","157"
"141812","3607","-4480","-2205","1383","4323","6766","82.8499984741211","8.03999996185303","-37.439998626709","11396","-2","134076","2019-01-01 00:02:11","157"
"141813","12729","899","-1332","-538","2709","5028","84.25","-7.23000001907349","-26.8500003814697","11396","-2","134117","2019-01-01 00:02:11","157"
"141814","751","-394","-2865","-1432","1751","3477","82.5199966430664","-15.4700002670288","-23.3199996948242","11396","-2","134159","2019-01-01 00:02:11","157"
"141815","3142","-3641","-913","-1671","295","10683","75.4199981689453","-31.1499996185303","-16.6900005340576","11396","-2","134199","2019-01-01 00:02:11","157"
"141816","11222","465","-66","-3509","-35","5742","60.560001373291","-51.2999992370605","-3.75","11396","-2","134240","2019-01-01 00:02:11","157"
"141817","16130","-19467","-2481","-1509","-1335","16842","17.0699996948242","-71.5999984741211","37.7299995422363","11396","-2","134281","2019-01-01 00:02:11","157"
"141818","21776","-15728","1262","-8748","-1511","2917","-60.0099983215332","-62.2700004577637","104.970001220703","11396","-2","134322","2019-01-01 00:02:11","157"
"141819","10802","-11218","6315","-8687","713","6720","-88.5699996948242","-50.4799995422363","112.73999786377","11396","-2","134363","2019-01-01 00:02:11","157"
"141820","23883","-1880","5439","-10500","5058","3924","-103.779998779297","-36.3400001525879","100","11396","-2","134404","2019-01-01 00:02:11","157"
"141821","18731","-9259","2679","-14317","7879","-5763","-123.349998474121","-47.1399993896484","86.379997253418","11396","1","134445","2019-01-01 00:02:11","157"
"141822","1291","-15345","15000","-12152","12368","-12054","-173.800003051758","-82.5500030517578","101.779998779297","11396","1","134486","2019-01-01 00:02:11","157"
"141823","2071","-12213","6357","-2311","10425","-8139","40.6100006103516","-60.0299987792969","-127.279998779297","11396","2","134527","2019-01-01 00:02:11","157"
"141824","2930","-16244","10836","1506","13074","-6688","31.5699996948242","-23.25","-121.830001831055","11396","2","134568","2019-01-01 00:02:11","157"
"141825","7926","-17218","7503","4623","9469","-1409","37.3400001525879","2.5","-114.629997253418","11396","2","134609","2019-01-01 00:02:11","157"
"141826","13797","-19616","-1115","8715","6330","2358","56.3600006103516","12.9799995422363","-99.5599975585938","11396","-1","134650","2019-01-01 00:02:11","157"
"141827","10473","-13516","2049","1033","7919","3305","71.2200012207031","12.8999996185303","-81.3600006103516","11396","-1","134691","2019-01-01 00:02:11","157"
"141828","7405","-12063","3366","2653","8239","6537","76.3399963378906","5.51999998092651","-57.9700012207031","11396","-2","134732","2019-01-01 00:02:11","157"
"141829","3788","-10252","-3836","605","8268","6697","79.6900024414063","-8.68000030517578","-34.8199996948242","11396","-2","134773","2019-01-01 00:02:11","157"
"141830","3314","-19211","-8753","-3754","3606","8151","72.9599990844727","-23.7999992370605","-16.3999996185303","11396","-2","134814","2019-01-01 00:02:11","157"
"141831","29216","-24603","12320","-2090","874","15211","43.8899993896484","-49.0699996948242","8.96000003814697","11396","-2","134855","2019-01-01 00:02:11","157"
"141832","21447","-22811","2661","-7107","363","9307","-6.01000022888184","-60.4099998474121","58.6199989318848","11396","-3","134896","2019-01-01 00:02:11","157"
"141833","26652","-16091","5581","-8938","6830","7859","-49.5299987792969","-43.8300018310547","88.5100021362305","11396","-3","134937","2019-01-01 00:02:11","157"
"141834","16210","-18418","5558","-11389","4223","2402","-70.8899993896484","-30.2000007629395","80.4100036621094","11396","-3","134978","2019-01-01 00:02:11","157"
"141835","29346","-11232","14475","-12000","2573","1086","-96.1699981689453","-24.8099994659424","73.5","11396","-3","135019","2019-01-01 00:02:11","157"
"141836","11200","-13470","17279","-12234","10426","-9662","-115.73999786377","-43.5800018310547","57.6399993896484","11396","1","135060","2019-01-01 00:02:11","157"
"141837","-208","-18864","12506","-4327","10070","-11576","-108.480003356934","-79.6999969482422","29.5300006866455","11396","1","135101","2019-01-01 00:02:11","157"
"141838","2279","-23645","-303","-1029","13613","-11693","28.9899997711182","-59.6399993896484","-116.389999389648","11396","2","135142","2019-01-01 00:02:11","157"
"141839","12096","-21179","4203","3839","15097","-3631","26.6599998474121","-16.7299995422363","-112.129997253418","11396","2","135183","2019-01-01 00:02:11","157"
"141840","15260","-23330","3452","9682","7125","801","42.1599998474121","2.23000001907349","-101.51000213623","11396","-1","135224","2019-01-01 00:02:11","157"
"141841","14242","-20085","4835","4652","9423","4256","58.5900001525879","7.5","-81.1800003051758","11396","-1","135265","2019-01-01 00:02:11","157"
"141842","8316","-15194","-6689","4616","8131","6866","72.9700012207031","1.25","-58.5200004577637","11396","-1","135306","2019-01-01 00:02:11","157"
"141843","-3429","-15619","-14936","-288","6811","6513","75.7300033569336","-8.09000015258789","-33.6699981689453","11396","-1","135347","2019-01-01 00:02:11","157"
"141844","15448","-22315","7041","-4751","967","13094","59.6100006103516","-28.2999992370605","-13.9200000762939","11396","-1","135388","2019-01-01 00:02:11","157"
"141845","18787","-18834","-8094","-5245","4727","9018","33.0099983215332","-48.9900016784668","16.4500007629395","11396","-1","135429","2019-01-01 00:02:11","157"
"141846","23561","-16493","-2301","-6243","1717","8092","-13.8500003814697","-51.0099983215332","55.5800018310547","11396","-1","135470","2019-01-01 00:02:11","157"
"141847","13666","-19395","4839","-12502","4004","3088","-46.189998626709","-36.6399993896484","62.3499984741211","11396","-1","135511","2019-01-01 00:02:11","157"
"141848","21701","-15290","8194","-10407","366","3227","-74.9300003051758","-29.5900001525879","66.2399978637695","11396","-1","135552","2019-01-01 00:02:11","157"
"141849","24163","-10495","13041","-11066","4874","-3586","-97.1600036621094","-31.1599998474121","56.7799987792969","11396","-1","135593","2019-01-01 00:02:11","157"
"141850","11849","-12840","18042","-9640","8445","-9615","-109.980003356934","-54.1800003051758","38.4799995422363","11396","1","135634","2019-01-01 00:02:11","157"
