"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","mdlsport_id"
"161804","-7455","-8379","7007","1936","-6491","-8144","65.2600021362305","-53.8199996948242","130.100006103516","12962","1","5386341","2020-03-27 06:50:00","166"
"161805","-7172","-9817","1759","5777","-3517","-8357","90.5899963378906","-37.4099998474121","109.269996643066","12962","1","5386382","2020-03-27 06:50:00","166"
"161806","-7701","-5539","-1050","-615","-3881","-6711","99.9199981689453","-17.8500003814697","103.559997558594","12962","1","5386423","2020-03-27 06:50:00","166"
"161807","-3701","-5048","1766","-2761","-5702","-3252","95.9899978637695","-5.13000011444092","90.6500015258789","12962","1","5386464","2020-03-27 06:50:00","166"
"161808","-6249","-5134","2706","-3529","-3360","-7093","88.5100021362305","9.19999980926514","83.5999984741211","12962","-1","5386505","2020-03-27 06:50:00","166"
"161809","-1910","-2418","-1348","-2792","-3546","-3799","78.0800018310547","19.9599990844727","71.5","12962","-1","5386546","2020-03-27 06:50:00","166"
"161810","-6272","-11555","3207","-4587","-4196","-9162","63.1500015258789","34.0400009155273","57.8899993896484","12962","-1","5386586","2020-03-27 06:50:00","166"
"161811","-10107","-16770","10120","-7284","-6480","-4704","27.7700004577637","34.9300003051758","27.5900001525879","12962","-2","5386627","2020-03-27 06:50:00","166"
"161812","-10965","-22111","10063","-7169","-196","-3625","-0.540000021457672","34.060001373291","10.3599996566772","12962","-2","5386668","2020-03-27 06:50:00","166"
"161813","-9058","-14031","7173","-12004","-11229","1366","-26.9699993133545","19.2399997711182","11.2299995422363","12962","1","5386709","2020-03-27 06:50:00","166"
"161814","-389","-22548","3928","-10966","-8449","10796","-49.7099990844727","10.7399997711182","40.9099998474121","12962","1","5386750","2020-03-27 06:50:00","166"
"161815","1239","-16393","25416","-11118","-4729","5755","-73.1600036621094","20.1599998474121","65.7300033569336","12962","1","5386791","2020-03-27 06:50:00","166"
"161816","-10301","-11191","21574","-1483","-6630","11418","-75.3600006103516","35.3199996948242","82.6800003051758","12962","1","5386832","2020-03-27 06:50:00","166"
"161817","-610","-19144","12810","2348","-10063","13146","-34.9900016784668","50.0699996948242","135.419998168945","12962","-1","5386873","2020-03-27 06:50:00","166"
"161818","-5802","-20057","3628","4399","-16163","11876","2.75999999046326","25.7299995422363","-178.740005493164","12962","-1","5386914","2020-03-27 06:50:00","166"
"161819","-2268","-18263","7415","3728","-15939","4498","14.6999998092651","-18.2399997711182","-163.960006713867","12963","-1","5386955","2020-03-27 06:50:00","166"
"161820","-5691","-20202","14153","4043","-7657","-6894","31.0699996948242","-39.439998626709","177.910003662109","12963","-1","5386995","2020-03-27 06:50:00","166"
"161821","-9922","-21351","17359","3032","-9319","-8660","58.9799995422363","-38.3899993896484","143.789993286133","12963","1","5387036","2020-03-27 06:50:00","166"
"161822","-9802","-17534","4338","3376","-8640","-10045","83.3499984741211","-23.6299991607666","111.160003662109","12963","1","5387077","2020-03-27 06:50:00","166"
"161823","-3907","-9979","-10875","634","-9155","-5309","94.3399963378906","-4.53999996185303","89.4899978637695","12963","1","5387118","2020-03-27 06:50:00","166"
"161824","-12345","-22468","1175","-7383","-8509","-4970","84.379997253418","11.039999961853","66.5699996948242","12963","1","5387159","2020-03-27 06:50:00","166"
"161825","-3394","-25971","14935","-11057","-1012","-5454","54.9799995422363","16.3700008392334","50.9900016784668","12963","2","5387200","2020-03-27 06:50:00","166"
"161826","-21021","-17026","11551","-9965","-6996","-7316","19.0400009155273","26.3600006103516","28.25","12963","2","5387241","2020-03-27 06:50:00","166"
"161827","-7201","-24416","2432","-9592","-10464","8878","-8.72999954223633","2.15000009536743","32.4500007629395","12963","3","5387282","2020-03-27 06:50:00","166"
"161828","-6641","-28296","11512","-12489","-1593","5122","-39.7000007629394","-1.62000000476837","52.3199996948242","12963","3","5387323","2020-03-27 06:50:00","166"
"161829","-12678","-19234","25350","-8612","-3892","10045","-65.6800003051758","10.6199998855591","66.5199966430664","12963","3","5387364","2020-03-27 06:50:00","166"
"161830","-3384","-17131","23934","-2581","-4741","11882","-68.2399978637695","33.6800003051758","88.8300018310547","12964","3","5387405","2020-03-27 06:50:00","166"
"161831","-7248","-21697","15765","2644","-10187","14999","-35.7099990844727","47.6500015258789","133.889999389648","12964","-1","5387445","2020-03-27 06:50:00","166"
"161832","-965","-26185","9187","3575","-14203","12883","5.3899998664856","23.7000007629395","-174.389999389648","12964","-1","5387486","2020-03-27 06:50:00","166"
"161833","-6810","-17767","16160","4989","-14142","6348","16.6900005340576","-13.1499996185303","-160.809997558594","12964","-2","5387527","2020-03-27 06:50:00","166"
"161834","-4594","-20108","19030","2818","-11805","-5512","33.1100006103516","-40.4599990844727","-174.139999389648","12964","1","5387568","2020-03-27 06:50:00","166"
"161835","-9229","-22622","14975","6943","-8203","-10519","69.2099990844727","-38.7000007629395","146.009994506836","12964","1","5387609","2020-03-27 06:50:00","166"
"161836","-12446","-18271","-11501","4409","-9368","-7019","96.3600006103516","-16.4599990844727","119.23999786377","12964","1","5387650","2020-03-27 06:50:00","166"
"161837","-44","-22016","-200","-7422","-9246","-6013","95.2600021362305","-2.08999991416931","94.7200012207031","12964","1","5387692","2020-03-27 06:50:00","166"
"161838","-15427","-21226","19114","-7037","-1610","-9920","71.2799987792969","22.3799991607666","79.629997253418","12964","2","5387732","2020-03-27 06:50:00","166"
"161839","-13148","-16335","7494","-4714","-8004","-7242","43.7099990844727","36.25","57.060001373291","12964","2","5387773","2020-03-27 06:50:00","166"
"161840","-12946","-15671","4982","-10591","-11707","1948","10.0900001525879","15.25","35.0999984741211","12964","3","5387814","2020-03-27 06:50:00","166"
"161841","-8371","-23407","5933","-11569","-2812","4840","-16.1499996185303","4.80000019073486","43.7599983215332","12964","3","5387854","2020-03-27 06:50:00","166"
"161842","-13615","-17682","21251","-12793","-1991","5005","-48.5099983215332","4.82000017166138","58.5","12964","3","5387895","2020-03-27 06:50:00","166"
"161843","-16726","-10979","27869","-6458","-3853","10203","-66.9599990844727","19.5200004577637","71.5699996948242","12965","3","5387936","2020-03-27 06:50:00","166"
"161844","-5896","-12182","20731","300","-6250","13067","-57.3199996948242","40.4599990844727","101.599998474121","12965","-1","5387977","2020-03-27 06:50:00","166"
"161845","-5966","-25264","17621","2638","-10778","13465","-18.5900001525879","43.6300010681152","151.279998779297","12965","-1","5388018","2020-03-27 06:50:00","166"
"161846","-1258","-19543","2843","3650","-13437","8914","6.90000009536743","12.7600002288818","-174.360000610352","12965","-1","5388059","2020-03-27 06:50:00","166"
