"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","mdlsport_id"
"143564","651","-10025","3331","-2405","5979","4335","37.6599998474121","44.8499984741211","129.229995727539","11499","-1","308127","2019-01-01 00:05:01","159"
"143565","5132","-8624","4718","-3552","5670","5526","48.1500015258789","45.6699981689453","155.610000610352","11499","-1","308168","2019-01-01 00:05:01","159"
"143566","5455","-6764","5738","-2545","2803","7826","55.9300003051758","38.5900001525879","179.679992675781","11499","-1","308209","2019-01-01 00:05:01","159"
"143567","5432","-4485","920","-1583","2153","7799","60.4700012207031","24.3500003814697","-163.539993286133","11499","-1","308252","2019-01-01 00:05:01","159"
"143568","6127","-626","326","-1370","876","5532","59.9799995422363","11.8900003433228","-151.440002441406","11499","-1","308291","2019-01-01 00:05:01","159"
"143569","4045","853","-41","-3727","1677","3191","54.7799987792969","4.1399998664856","-143.589996337891","11499","-1","308332","2019-01-01 00:05:01","159"
"143570","1085","516","651","-3686","812","3547","46.1300010681152","1","-135.860000610352","11499","-1","308373","2019-01-01 00:05:01","159"
"143571","736","-946","-1622","-3894","-772","4948","37.2799987792969","-6.28000020980835","-128.490005493164","11499","-1","308414","2019-01-01 00:05:01","159"
"143572","9525","77","7253","-6005","554","3969","21.9300003051758","-13.1199998855591","-117.629997253418","11499","-1","308455","2019-01-01 00:05:01","159"
"143573","3664","-7504","4912","-6203","-1015","5458","4.71999979019165","-17.7600002288818","-107.699996948242","11499","-1","308496","2019-01-01 00:05:01","159"
"143574","17437","-14560","12163","-9472","2968","3451","-20.9500007629395","-13.2600002288818","-94.5299987792969","11499","-1","308537","2019-01-01 00:05:01","159"
"143575","13548","-13490","12348","-9922","-1854","-567","-46.060001373291","-14.8500003814697","-90.6699981689453","11500","-1","308578","2019-01-01 00:05:01","159"
"143576","-562","-3555","18554","-12273","12711","-9141","-69.2099990844727","-19.25","-112.339996337891","11500","-1","308619","2019-01-01 00:05:01","159"
"143577","-3942","-3578","14789","-2240","8465","-8456","-67.8199996948242","-31.1599998474121","-147.550003051758","11500","1","308660","2019-01-01 00:05:01","159"
"143578","5392","-11753","8018","-781","16361","-13708","-43.5200004577637","-35.5900001525879","165.539993286133","11500","1","308701","2019-01-01 00:05:01","159"
"143579","-4354","-11921","4404","5735","10675","-6523","-14.9499998092651","-16.6800003051758","119.720001220703","11500","2","308742","2019-01-01 00:05:01","159"
"143580","-6566","-15114","1153","6020","7731","-867","1.17999994754791","3.41000008583069","109.459999084473","11500","2","308783","2019-01-01 00:05:01","159"
"143581","-13019","-16355","-3401","2289","7745","1536","9.72000026702881","19.4599990844727","113.180000305176","11500","2","308824","2019-01-01 00:05:01","159"
"143582","6078","-14089","3133","1792","8193","7855","23.5499992370605","29.1299991607666","136.119995117188","11500","2","308865","2019-01-01 00:05:01","159"
"143583","5718","-10103","2002","-59","6069","8500","40.3899993896484","31.7999992370605","165.660003662109","11500","-1","308906","2019-01-01 00:05:01","159"
"143584","1852","-6902","-363","-2803","6574","9002","51.4199981689453","26.8600006103516","-166.210006713867","11500","-1","308947","2019-01-01 00:05:01","159"
"143585","8884","-5072","1782","-4637","3555","8682","50.9599990844727","18.3400001525879","-138.679992675781","11500","-1","308988","2019-01-01 00:05:01","159"
"143586","1608","-10039","-3539","-8439","-2488","7713","38.7999992370605","4.75","-127.150001525879","11500","-1","309029","2019-01-01 00:05:01","159"
"143587","24464","-14097","9488","-13984","5884","5024","6.82000017166138","-2.22000002861023","-106.709999084473","11500","1","309070","2019-01-01 00:05:01","159"
"143588","9343","-20422","13551","-14109","-2368","-4625","-27.3099994659424","-3.76999998092651","-110.940002441406","11500","1","309111","2019-01-01 00:05:01","159"
"143589","12305","-13544","21536","-12216","820","-645","-60.0299987792969","-7.71000003814697","-117.540000915527","11500","1","309155","2019-01-01 00:05:01","159"
"143590","14458","-10655","24392","-7049","5031","-12034","-76.3099975585938","-21.8700008392334","-123.400001525879","11500","2","309193","2019-01-01 00:05:01","159"
"143591","-12339","-11918","5587","-2388","20247","-11337","-53.0499992370605","-39.2099990844727","178.389999389648","11500","2","309234","2019-01-01 00:05:01","159"
"143592","-106","-15668","5036","3210","16714","-12454","-26.4099998474121","-18.0699996948242","122.459999084473","11500","3","309277","2019-01-01 00:05:01","159"
"143593","5359","-16469","-5525","6841","10575","-338","-8.3100004196167","3.67000007629395","101.980003356934","11500","-1","309316","2019-01-01 00:05:01","159"
"143594","14826","-18335","-1860","4719","6349","6266","6.46000003814697","24.6200008392334","111.970001220703","11501","-1","309357","2019-01-01 00:05:01","159"
"143595","3619","-13742","-362","1460","6796","6344","22.3899993896484","35.4700012207031","131.570007324219","11501","-1","309398","2019-01-01 00:05:01","159"
"143596","4558","-12397","1295","-1706","7165","9611","41.2799987792969","40.3699989318848","164.830001831055","11501","-1","309439","2019-01-01 00:05:01","159"
"143597","7468","-7723","2461","-4677","7218","9397","54.3699989318848","34.8499984741211","-158.210006713867","11501","-1","309480","2019-01-01 00:05:01","159"
"143598","-299","-11320","-3825","-4280","-392","8845","54.2400016784668","22.3299999237061","-138.160003662109","11501","-1","309521","2019-01-01 00:05:01","159"
"143599","18211","-12995","9012","-12663","5330","7289","35.2799987792969","8.35000038146973","-119.540000915527","11501","-1","309562","2019-01-01 00:05:01","159"
"143600","15197","-22797","6734","-13891","-3353","459","4.98000001907349","3.49000000953674","-113.139999389648","11501","1","309603","2019-01-01 00:05:01","159"
"143601","10208","-21264","26554","-17765","9639","-8348","-40.9900016784668","7.75","-126.190002441406","11501","2","309644","2019-01-01 00:05:01","159"
"143602","5798","-11557","25409","-6137","1194","-10650","-67.3899993896484","-8","-150.919998168945","11501","2","309686","2019-01-01 00:05:01","159"
