"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","mdlsport_id"
"118067","-4963","-1585","8972","-8391","1194","163","-33.5200004577637","17.1399993896484","-22.7600002288818","9324","1","3847420","2020-03-27 06:24:56","145"
"118068","176","277","10079","-6598","-6698","8044","-49.0699996948242","16.1900005340576","-5.67000007629395","9324","1","3847461","2020-03-27 06:24:56","145"
"118069","1394","-531","10115","-1420","-2783","7199","-49.3400001525879","25","12.6300001144409","9324","1","3847501","2020-03-27 06:24:56","145"
"118070","465","-4352","9370","2015","-5010","8439","-36.7200012207031","30.0300006866455","36.560001373291","9324","-1","3847542","2020-03-27 06:24:56","145"
"118071","5083","-5204","4070","5636","-2281","5757","-14","29.2700004577637","60.6199989318848","9324","-1","3847583","2020-03-27 06:24:56","145"
"118072","2407","-5182","2207","4183","-1384","1921","4.09000015258789","24.6399993896484","68.5599975585938","9324","-2","3847624","2020-03-27 06:24:56","145"
"118073","3098","-5210","3305","7765","-2787","-2087","16.5100002288818","16.9300003051758","67.3899993896484","9324","-2","3847665","2020-03-27 06:24:56","145"
"118074","-1557","-5035","1956","6675","-5302","-6024","30.6800003051758","12.789999961853","52.5400009155274","9324","1","3847706","2020-03-27 06:24:56","145"
"118075","-9366","-8070","-907","2062","-2553","-11041","35.8499984741211","15.960000038147","28.8099994659424","9324","1","3847747","2020-03-27 06:24:56","145"
"118076","-20099","-9083","-316","-6626","-1926","-7961","19.3999996185303","27.2199993133545","2.13000011444092","9324","1","3847788","2020-03-27 06:24:56","145"
"118077","-14762","-5894","12608","-11520","-907","-2627","-11.8800001144409","27.1800003051758","-10.7799997329712","9325","2","3847829","2020-03-27 06:24:56","145"
"118078","-1270","-868","11068","-7927","-5736","7198","-31.5599994659424","22.8600006103516","0.769999980926514","9325","2","3847870","2020-03-27 06:24:56","145"
"118079","6814","-1859","4549","-3370","-4839","7328","-34.6800003051758","21.4500007629395","25.9200000762939","9325","2","3847910","2020-03-27 06:24:56","145"
"118080","124","-1864","7716","1076","-3949","6576","-30.2399997711182","20.9699993133545","45.6199989318848","9325","-1","3847951","2020-03-27 06:24:56","145"
"118081","5871","-4074","8622","6704","837","3301","-13.7600002288818","23.1100006103516","59.7999992370606","9325","-1","3847992","2020-03-27 06:24:56","145"
"118082","4501","-7209","-6578","11951","1763","-633","11.1599998474121","26.1299991607666","62.6100006103516","9325","-2","3848033","2020-03-27 06:24:56","145"
