id,accelerationx,accelerationy,accelerationz,angularvelocityx,angularvelocityy,angularvelocityz,pitch,roll,yaw,mdlcircle_id,hallsensor,timestamp,starttime,mdlsport_id
52229,-8523,-19419,7380,8383,8201,713,-11.229999542236301,-5.42000007629395,-93.33999633789058,2295,1,-8211,2019-01-01 08:14:22,80
52230,-296,-16339,3781,5937,9124,2840,-0.9900000095367428,7.579999923706059,-90.44000244140621,2295,1,-8185,2019-01-01 08:14:22,80
52231,4841,-16655,5907,5938,8091,5498,8.449999809265138,20.0300006866455,-82.80999755859371,2295,1,-8158,2019-01-01 08:14:22,80
52232,6547,-15762,5724,7863,7144,5416,22.6800003051758,28.8700008392334,-71.6999969482422,2295,1,-8134,2019-01-01 08:14:22,80
52233,4599,-13708,-3083,7555,4848,5818,40.939998626709,30.719999313354503,-58.299999237060604,2295,2,-8109,2019-01-01 08:14:22,80
52234,4925,-10839,-5378,3088,4581,6339,55.0200004577637,28.780000686645497,-44.880001068115206,2295,2,-8083,2019-01-01 08:14:22,80
52235,2381,-7190,-4515,1094,2986,5136,62.299999237060604,24.219999313354503,-34.6300010681152,2295,2,-8057,2019-01-01 08:14:22,80
52236,3172,-5639,-3140,1011,1093,3960,66.0500030517578,19.3199996948242,-28.530000686645497,2295,2,-8032,2019-01-01 08:14:22,80
52237,-967,-7318,-8430,-397,111,4606,67.55999755859379,13.890000343322802,-25.4500007629395,2295,2,-8006,2019-01-01 08:14:22,80
52238,-1023,-4161,1787,-2131,107,6356,65.48000335693361,6.369999885559079,-21.8799991607666,2295,2,-7981,2019-01-01 08:14:22,80
52239,7848,-10694,-5363,-2794,-1731,11735,61.689998626709006,-7.2600002288818395,-16.7000007629395,2295,2,-7955,2019-01-01 08:14:22,80
52240,20442,-11078,1402,-2121,-3041,10133,55.7599983215332,-25.530000686645497,-11.119999885559098,2295,2,-7930,2019-01-01 08:14:22,80
52241,552,-17592,2057,-3533,-1467,10535,47.060001373290994,-39.5999984741211,-3.02999997138977,2295,2,-7904,2019-01-01 08:14:22,80
52242,14408,-31347,5807,-8597,2095,15564,15.0,-52.0200004577637,25.0900001525879,2295,2,-7878,2019-01-01 08:14:22,80
52243,32767,-15822,10946,-8148,2730,8348,-23.309999465942397,-45.2700004577637,56.1500015258789,2295,3,-7853,2019-01-01 08:14:22,80
52244,12079,-3748,10421,-6467,3205,672,-37.2400016784668,-40.939998626709,59.1599998474121,2295,3,-7827,2019-01-01 08:14:22,80
52245,1666,-6241,1394,-6396,2522,3342,-44.7400016784668,-35.0900001525879,56.7999992370605,2295,3,-7802,2019-01-01 08:14:22,80
52246,8733,-2000,6227,-4678,3512,4629,-53.939998626709006,-27.719999313354503,58.130001068115206,2295,-1,-7776,2019-01-01 08:14:22,80
52247,21238,-2378,4591,-3871,6560,-901,-58.3499984741211,-21.5799999237061,53.2400016784668,2295,-1,-7750,2019-01-01 08:14:22,80
52248,4159,-1992,-476,-5497,9081,-5016,-59.7400016784668,-21.0,37.72999954223629,2295,-1,-7725,2019-01-01 08:14:22,80
52249,4845,1879,6917,-6352,9008,-4957,-63.7999992370605,-20.9899997711182,21.8299999237061,2295,-1,-7699,2019-01-01 08:14:22,80
52250,9898,-3765,11047,-5111,11494,-8953,-64.3600006103516,-24.1299991607666,1.05999994277954,2295,-1,-7673,2019-01-01 08:14:22,80
52251,-1231,-6931,6990,-3519,10990,-11035,-57.939998626709006,-30.4500007629395,-25.0699996948242,2295,-1,-7648,2019-01-01 08:14:22,80
52252,-1186,-12350,27589,-4845,14263,-11949,-50.130001068115206,-32.3600006103516,-54.119998931884794,2295,-1,-7622,2019-01-01 08:14:22,80
52253,-1440,-16668,11849,2561,8603,-9358,-33.5900001525879,-29.010000228881804,-80.9700012207031,2295,-1,-7597,2019-01-01 08:14:22,80
