id,accelerationx,accelerationy,accelerationz,angularvelocityx,angularvelocityy,angularvelocityz,pitch,roll,yaw,mdlcircle_id,hallsensor,timestamp
142744,13411,-23362,6507,-13249,5772,-4176,-23.45000076,17.39999962,150.67999269999999,11447,-1,232413
142745,11685,-19680,22283,-10366,-6833,327,-57.38999939,11.23999977,146.3600006,11447,-1,232454
142746,17013,-11526,22816,-9409,4819,-6319,-79.41000366,3.450000048,145.08000180000002,11447,1,232495
142747,7270,-10974,22085,-5263,4832,-11324,-92.86000061,-18.28000069,136.3500061,11447,1,232536
142748,-7911,-18798,11641,-866,10169,-10237,-81.51000214,-46.81999969,107.3000031,11447,1,232577
142749,2276,-18711,9122,251,14103,-7868,-39.84000015,-48.84999847,55.40999985,11447,1,232618
142750,10638,-18334,9856,5934,11826,-1758,-12.34000015,-22.40999985,26.37999916,11447,-1,232659
142751,11932,-23317,9971,7900,8575,4359,4.860000134,1.9700000290000002,26.97999954,11447,-1,232701
142752,13933,-21263,8706,3009,11108,5840,17.63999939,19.76000023,44.75,11447,-2,232741
142753,12353,-19110,-13315,6548,3482,8637,38.90999985,26.71999931,70.30000305,11447,-2,232782
142754,3765,-19736,-20927,-7088,8699,6393,49.04999924,27.07999992,96.09999847,11447,-2,232823
142755,16740,-19664,12546,-8849,-524,8819,34.63000107,16.68000031,119.20999909999999,11447,-2,232864
142756,18989,-23721,6004,-9014,2913,7147,16.73999977,12.21000004,139.2299957,11447,-2,232905
142757,22984,-16825,13361,-6426,-5208,7056,-3.359999895,2.339999914,155.8600006,11447,-2,232946
142758,14821,-16612,5855,-10487,3949,-1732,-25.37999916,2.109999895,160.78999330000002,11447,-2,232987
