"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","mdlsport_id"
"77867","1299","-357","2612","-806","591","-975","1.88999998569489","1.38999998569489","-70.1600036621094","6743","-4","12307","2020-06-16 10:57:33","52"
"77868","1492","-747","2288","-1081","592","-1153","0.28999999165535","2.32999992370605","-71.8499984741211","6743","-4","12334","2020-06-16 10:57:33","52"
"77869","2928","-933","1286","-1162","336","-1321","-1.55999994277954","2.82999992370605","-73.7099990844727","6743","-4","12358","2020-06-16 10:57:33","52"
"77870","4076","-1022","1563","-1547","-321","-1894","-3.84999990463257","2.49000000953674","-76.2200012207031","6743","-4","12384","2020-06-16 10:57:33","52"
"77871","4635","-1138","2793","-1847","-438","-2775","-6.6399998664856","1.13999998569489","-79.7900009155273","6743","-4","12410","2020-06-16 10:57:33","52"
"77872","4350","-976","3854","-2260","-137","-3469","-9.9399995803833","-0.25","-84.6399993896484","6743","-4","12435","2020-06-16 10:57:33","52"
"77873","4719","-312","6113","-1950","-652","-3585","-13.1499996185303","-2.23000001907349","-89.8300018310547","6743","-4","12461","2020-06-16 10:57:33","52"
"77874","5592","-58","7435","-1018","-1076","-3799","-14.8699998855591","-5.32999992370606","-94.8399963378906","6743","-4","12486","2020-06-16 10:57:33","52"
"77875","4592","366","7690","-1034","-732","-4574","-15.3500003814697","-8.77000045776367","-100.839996337891","6743","-4","12512","2020-06-16 10:57:33","52"
"77876","3767","618","12074","-827","-166","-5103","-15.710000038147","-11.5","-107.889999389648","6743","-4","12538","2020-06-16 10:57:33","52"
"77877","2882","796","13078","531","-431","-5877","-13.3800001144409","-14.2600002288818","-116.23999786377","6743","-4","12563","2020-06-16 10:57:33","52"
"77878","-904","-1529","14217","1541","708","-6991","-8.82999992370606","-15.8699998855591","-126.569999694824","6743","-4","12614","2020-06-16 10:57:33","52"
"77879","-6273","-4633","13463","2447","1773","-5881","-2.99000000953674","-14.3100004196167","-137","6743","-4","12616","2020-06-16 10:57:33","52"
"77880","-9249","-7541","13257","4060","1588","-3691","3.34999990463257","-11.039999961853","-144.130004882813","6743","-4","12640","2020-06-16 10:57:33","52"
"77881","-9452","-9136","9809","5173","1566","-1012","10.6700000762939","-7.67000007629395","-146.889999389648","6743","-4","12666","2020-06-16 10:57:33","52"
"77882","-7863","-9636","6786","4335","2758","397","17.1900005340576","-3.66000008583069","-146.039993286133","6743","-4","12691","2020-06-16 10:57:33","52"
"77883","-6931","-10081","6177","3565","3733","1188","22.0499992370605","1.24000000953674","-143.050003051758","6743","-4","12717","2020-06-16 10:57:33","52"
"77884","-7256","-12416","3557","4267","3071","3515","27.5100002288818","4.96000003814697","-137.559997558594","6743","-4","12768","2020-06-16 10:57:33","52"
"77885","-1681","-12579","-1184","3946","2555","5102","34.0400009155273","4.84999990463257","-129.529998779297","6743","-4","12770","2020-06-16 10:57:33","52"
"77886","2117","-10283","-3002","1731","3199","5391","38.2000007629395","3.8199999332428","-120.23999786377","6743","1","12794","2020-06-16 10:57:33","52"
"77887","4809","-9616","-3314","729","2554","5717","39.75","1.57000005245209","-110.830001831055","6743","1","12819","2020-06-16 10:57:33","52"
"77888","8001","-7476","-5496","-932","2663","4092","39.3199996948242","-0.709999978542328","-102.639999389648","6743","1","12845","2020-06-16 10:57:33","52"
"77889","8075","-5070","-3947","-1780","1879","2522","36.6800003051758","-1.37999999523163","-96.5999984741211","6743","1","12870","2020-06-16 10:57:33","52"
"77890","5317","-4202","-1800","-2868","1042","2267","32.9300003051758","-2.22000002861023","-92.7600021362305","6743","1","12922","2020-06-16 10:57:33","52"
"77891","4412","-1919","1191","-3231","903","1828","27.8799991607666","-2.79999995231628","-89.4800033569336","6743","1","12924","2020-06-16 10:57:33","52"
"77892","4460","-570","3230","-2555","169","2420","23.0300006866455","-3.86999988555908","-85.9499969482422","6743","1","12947","2020-06-16 10:57:33","52"
"77893","4716","-285","4196","-2230","-344","2460","19.0799999237061","-5.76000022888184","-82.5","6743","1","12973","2020-06-16 10:57:33","52"
"77894","5861","1961","6036","-2060","6","1941","15.4099998474121","-7.30000019073486","-79.370002746582","6743","2","12998","2020-06-16 10:57:33","52"
"77895","5204","3301","6665","-1263","105","1033","12.7700004577637","-7.98000001907349","-77.2900009155273","6743","2","13024","2020-06-16 10:57:33","52"
"77896","4190","3060","4103","-591","-167","588","11.7299995422363","-8.46000003814697","-76.25","6743","2","13050","2020-06-16 10:57:33","52"
"77897","4166","3148","6465","-1642","69","315","9.75","-8.89000034332275","-75.6800003051758","6743","2","13075","2020-06-16 10:57:33","52"
"77898","5368","3669","9102","-1448","261","351","7.28000020980835","-8.90999984741211","-75.1900024414063","6743","2","13101","2020-06-16 10:57:33","52"
"77899","5530","1122","9874","-771","-18","-227","5.84999990463257","-9.05000019073486","-75.120002746582","6743","-1","13126","2020-06-16 10:57:33","52"
"77900","4562","-2364","10045","-1372","388","-1137","4.32000017166138","-8.94999980926514","-76.4100036621094","6743","-1","13152","2020-06-16 10:57:33","52"
"77901","3300","-3756","8702","-2345","866","-1425","1.4099999666214","-7.92000007629395","-78.4100036621094","6743","-1","13178","2020-06-16 10:57:33","52"
"77902","3496","-1062","7770","-2831","720","-1056","-2.76999998092651","-6.73000001907349","-80.2099990844727","6743","-1","13203","2020-06-16 10:57:33","52"
"77903","2008","1802","5985","-2607","-138","-2530","-6.36999988555908","-7","-83.0400009155273","6743","-1","13229","2020-06-16 10:57:33","52"
"77904","-1234","4675","6473","-1896","721","-2823","-9.14000034332275","-6.94999980926514","-87.4599990844727","6743","-1","13254","2020-06-16 10:57:33","52"
"77905","-843","4015","5106","-898","1228","-2460","-10.289999961853","-5.75","-91.7799987792969","6743","-1","13280","2020-06-16 10:57:33","52"
"77906","-1432","2526","5052","340","-371","-2637","-9.69999980926514","-6.01999998092651","-95.7799987792969","6743","-1","13306","2020-06-16 10:57:33","52"
"77907","-3712","2439","5339","1119","593","-3064","-7.73999977111816","-6.55000019073486","-100.209999084473","6743","-2","13331","2020-06-16 10:57:33","52"
"77908","-4301","1635","7198","984","1421","-1991","-5.96000003814697","-4.65000009536743","-104.099998474121","6743","-2","13358","2020-06-16 10:57:33","52"
"77909","-6730","-117","2122","3036","-2","-436","-1.74000000953674","-3.54999995231628","-106.110000610352","6743","-2","13382","2020-06-16 10:57:33","52"
"77910","-4230","-2488","-121","2871","-317","1191","2.6800000667572","-3.6800000667572","-105.080001831055","6743","-2","13408","2020-06-16 10:57:33","52"
"77911","-870","-2698","-1183","2097","1388","88","6.23000001907349","-2.52999997138977","-103.900001525879","6743","-2","13434","2020-06-16 10:57:33","52"
"77912","-2292","-5581","-3339","2892","382","1528","9.93000030517578","-0.870000004768372","-102.610000610352","6743","-2","13459","2020-06-16 10:57:33","52"
"77913","-658","-5251","-3511","1194","1184","1421","12.5200004577637","-0.400000005960465","-100.120002746582","6743","-2","13485","2020-06-16 10:57:33","52"
"77914","-1860","-138","3772","765","469","472","-3.36999988555908","-2.70000004768372","-104.099998474121","6744","-3","17454","2020-06-16 10:57:33","52"
"77915","-1457","-81","3615","898","627","589","-2.07999992370605","-1.73000001907349","-103.26000213623","6744","-3","17478","2020-06-16 10:57:33","52"
"77916","-1442","-220","3631","824","898","562","-0.810000002384186","-0.389999985694885","-102.430000305176","6744","-3","17504","2020-06-16 10:57:33","52"
"77917","-1336","-280","3150","760","979","740","0.409999996423721","1.1599999666214","-101.430000305176","6744","-3","17529","2020-06-16 10:57:33","52"
