"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","mdlsport_id"
"80052","-2536","-7658","630","3396","2027","4002","28.1900005340576","25.1700000762939","12.7200002670288","6822","-5","-3124","2020-06-16 10:34:42","56"
"80053","-2636","-6658","-48","2497","2352","4360","35.6599998474121","25.0200004577637","20.6200008392334","6822","-5","-3099","2020-06-16 10:34:42","56"
"80054","260","-5546","-1707","1554","2241","4183","41.6500015258789","23.8099994659424","28.5400009155273","6822","1","-3073","2020-06-16 10:34:42","56"
"80055","1624","-4688","-2789","299","2203","3708","45.5200004577637","22.2399997711182","35.6500015258789","6822","1","-3048","2020-06-16 10:34:42","56"
"80056","2155","-3062","-2124","-469","2251","2118","47.2400016784668","21.1700000762939","41.5","6822","1","-3022","2020-06-16 10:34:42","56"
"80057","1292","-3563","-1996","-675","676","3927","48.0699996948242","19.1800003051758","46.6599998474121","6822","1","-2996","2020-06-16 10:34:42","56"
"80058","3516","-2143","-1499","-947","243","3872","48.2700004577637","14.8900003433228","51.3800010681152","6822","1","-2971","2020-06-16 10:34:42","56"
"80059","4500","-496","-36","-1216","336","2263","47.2999992370606","11.4700002670288","54.8199996948242","6822","1","-2945","2020-06-16 10:34:42","56"
"80060","2424","-425","1747","-1571","630","1888","45.439998626709","9.6899995803833","57.4000015258789","6822","1","-2920","2020-06-16 10:34:42","56"
"80061","1665","-679","950","-1415","1066","1825","43.7999992370605","8.71000003814697","60.3600006103516","6822","2","-2894","2020-06-16 10:34:42","56"
"80062","2264","192","1947","-1199","1104","1452","42.0999984741211","8.10000038146973","63.4000015258789","6822","2","-2868","2020-06-16 10:34:42","56"
"80063","2133","803","1313","-1283","-86","1764","40.5","6.76999998092651","65.7099990844727","6822","2","-2843","2020-06-16 10:34:42","56"
"80064","2342","1624","3452","-1391","836","1283","38.4000015258789","5.44000005722046","67.8099975585937","6822","2","-2817","2020-06-16 10:34:42","56"
"80065","1732","803","918","-1391","1262","1201","36.6399993896484","5.69000005722046","70.3600006103516","6822","2","-2792","2020-06-16 10:34:42","56"
"80066","2371","1430","2471","-2127","1101","1092","33.8899993896484","5.90000009536743","72.7699966430664","6822","2","-2766","2020-06-16 10:34:42","56"
"80067","3026","1794","2986","-1932","887","185","30.9200000762939","6.34999990463257","74.3399963378906","6822","2","-2740","2020-06-16 10:34:42","56"
"80068","579","-520","2278","-1975","1093","-19","28.0900001525879","7.69999980926514","74.9800033569336","6822","-1","-2715","2020-06-16 10:34:42","56"
"80069","1613","-1","3547","-2767","637","839","24.4899997711182","8.43000030517578","76.2699966430664","6822","-1","-2689","2020-06-16 10:34:42","56"
"80070","4179","1113","7010","-2914","303","139","20.0599994659424","8.52999973297119","77.3099975585938","6822","-1","-2664","2020-06-16 10:34:42","56"
"80071","3721","1428","7571","-2643","357","-917","15.8000001907349","8.69999980926514","76.6100006103516","6822","-1","-2638","2020-06-16 10:34:42","56"
"80072","1840","-942","7682","-3092","279","-880","11.1099996566772","9.60999965667725","75.25","6822","-1","-2612","2020-06-16 10:34:42","56"
"80073","3187","-3509","11502","-3388","-1165","207","5.73000001907349","8.52000045776367","74.8300018310547","6822","-1","-2587","2020-06-16 10:34:42","56"
"80074","5090","-4182","10760","-3267","-1349","-982","0.409999996423721","5.84000015258789","74.5400009155273","6822","-1","-2561","2020-06-16 10:34:42","56"
"80075","2518","-4782","11239","-4328","1925","-4515","-6.40000009536743","5.92999982833862","69.5","6822","-1","-2536","2020-06-16 10:34:42","56"
"80076","3038","-2769","9792","-3665","2260","-4625","-13.7299995422363","8.18000030517578","62.0099983215332","6822","-1","-2510","2020-06-16 10:34:42","56"
"80077","-376","34","12719","-2252","362","-5726","-19.5499992370605","7.46000003814697","53.3800010681152","6822","-2","-2485","2020-06-16 10:34:42","56"
"80078","-2661","3411","8774","-740","1717","-5805","-21.5699996948242","5.19999980926514","44.8400001525879","6822","-2","-2459","2020-06-16 10:34:42","56"
"80079","-5673","-658","7664","264","3249","-6982","-22.6599998474121","6.07999992370606","33.6100006103516","6822","-2","-2433","2020-06-16 10:34:42","56"
"80080","-6846","-1392","7068","1062","-94","-3930","-21.8500003814697","5.17000007629395","25.3700008392334","6822","-2","-2408","2020-06-16 10:34:42","56"
"80081","-5945","-29","10120","3297","1285","-3890","-18.0900001525879","4.05999994277954","19.9699993133545","6822","-2","-2382","2020-06-16 10:34:42","56"
"80082","-9730","-3063","4847","3637","4117","-4055","-13.2200002670288","7.82999992370606","12.4499998092651","6822","-2","-2357","2020-06-16 10:34:42","56"
"80083","-9120","-3591","3712","4375","2456","-476","-8.17000007629395","12.9200000762939","8.23999977111816","6823","1","-2331","2020-06-16 10:34:42","56"
"80084","-8317","-4715","3881","4638","1476","1409","-1.3400000333786","16.0200004577637","8.85000038146973","6823","1","-2305","2020-06-16 10:34:42","56"
"80085","-6645","-6245","1402","4152","2810","2186","6.21000003814697","19.5100002288818","11.7299995422363","6823","1","-2280","2020-06-16 10:34:42","56"
"80086","-3382","-7239","1263","4312","1742","3395","13.7299995422363","23.0599994659424","16.6499996185303","6823","1","-2254","2020-06-16 10:34:42","56"
"80087","-5111","-9418","-3236","3849","813","4411","22.3999996185303","23.0300006866455","23.1700000762939","6823","1","-2229","2020-06-16 10:34:42","56"
"80088","-2691","-7729","-3176","2270","1703","4456","29.1800003051758","22.3299999237061","30.6100006103516","6823","1","-2203","2020-06-16 10:34:42","56"
"80089","-277","-5716","-2646","1666","1142","4714","34.4099998474121","20.7000007629395","38.1399993896484","6823","2","-2177","2020-06-16 10:34:42","56"
"80090","-555","-4661","-2389","1075","751","3988","38.439998626709","17.9599990844727","44.439998626709","6823","2","-2152","2020-06-16 10:34:42","56"
"80091","-98","-6370","-1377","49","426","4879","40.5400009155273","14.3100004196167","50.2900009155273","6823","2","-2126","2020-06-16 10:34:42","56"
"80092","2956","-4243","2469","178","-112","3723","41.0699996948242","10","55.6100006103516","6823","2","-2101","2020-06-16 10:34:42","56"
"80093","2580","-1978","-469","-292","472","2834","41.4700012207031","6.73000001907349","59.189998626709","6823","-1","-2075","2020-06-16 10:34:42","56"
"80094","4058","-1246","147","-1264","1489","1731","40.3300018310547","5.71000003814697","62.8899993896484","6823","-1","-2049","2020-06-16 10:34:42","56"
