"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","mdlsport_id"
"162356","4082","-7085","-2331","1980","2559","5188","25.9300003051758","29.2199993133545","161.809997558594","13001","-1","965555","2020-03-27 07:14:52","167"
"162357","5704","-3265","224","117","3475","2785","34.5","30.8299999237061","176.820007324219","13001","-1","965596","2020-03-27 07:14:52","167"
"162358","3641","-5211","-2987","2794","-767","6723","44.4599990844727","24.9300003051758","-170.669998168945","13001","-1","965637","2020-03-27 07:14:52","167"
"162359","7867","-965","-6421","8","417","3449","52.0499992370606","14.1800003051758","-161.449996948242","13001","-2","965678","2020-03-27 07:14:52","167"
"162360","1341","-476","-216","-1520","-202","4793","49.4500007629395","8.10999965667725","-154.649993896484","13001","-2","965719","2020-03-27 07:14:52","167"
"162361","16401","-1593","1063","-3854","-665","7487","44.2000007629395","-8.05000019073486","-145.369995117188","13001","-2","965760","2020-03-27 07:14:52","167"
"162362","9023","-2757","6023","-1423","-3609","5716","34.2700004577637","-21.5699996948242","-136.899993896484","13001","-2","965801","2020-03-27 07:14:52","167"
"162363","22140","-8572","3789","-3944","-245","8213","20.2900009155273","-38.1599998474121","-120.459999084473","13001","-2","965842","2020-03-27 07:14:52","167"
"162364","13748","-6019","7011","-7538","-30","1827","-3.69000005722046","-41.1599998474121","-107.470001220703","13001","-2","965883","2020-03-27 07:14:52","167"
"162365","12198","2030","6560","-9402","2620","628","-26.1599998474121","-38.0499992370605","-103.930000305176","13001","-2","965924","2020-03-27 07:14:52","167"
"162366","12849","-435","10923","-7463","581","-4970","-40.1500015258789","-40.1300010681152","-111.919998168945","13001","1","965965","2020-03-27 07:14:52","167"
"162367","6078","-2547","18331","-5780","5145","-9002","-39.1699981689453","-44.5499992370606","-139.270004272461","13002","1","966006","2020-03-27 07:14:52","167"
"162368","-4132","-7731","7721","-2189","5305","-7969","-20.9099998474121","-44.0099983215332","-174.75","13002","2","966047","2020-03-27 07:14:52","167"
"162369","-8434","-11133","7535","3590","4025","-5318","-5.94000005722046","-34.1699981689453","160.490005493164","13002","2","966088","2020-03-27 07:14:52","167"
"162370","-2311","-12801","1416","5999","4038","-1531","6.80000019073486","-22.5100002288818","151.830001831055","13002","2","966129","2020-03-27 07:14:52","167"
"162371","-6121","-13186","1357","5293","5318","1937","17.6100006103516","-8.53999996185303","153.160003662109","13002","-1","966170","2020-03-27 07:14:52","167"
"162372","4843","-12326","-3554","4772","2610","5575","29.6800003051758","-5.55999994277954","165.080001831055","13002","-1","966211","2020-03-27 07:14:52","167"
"162373","4531","-10924","-4252","2445","774","7407","35.4199981689453","-10.5900001525879","179.429992675781","13002","-1","966252","2020-03-27 07:14:52","167"
