"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","mdlsport_id"
"166767","-6104","-18556","6943","-6833","-4477","10761","-90.6500015258789","60.7200012207031","-131.860000610352","13365","-1","1278759","2020-03-27 07:19:58","173"
"166768","-3812","-15395","9484","-4340","-7050","11198","-25.25","78.7300033569336","-49.5299987792969","13365","-1","1278800","2020-03-27 07:19:58","173"
"166769","-1081","-13808","8368","-1251","-7792","10892","30.8899993896484","54.9300003051758","16.7099990844727","13365","-1","1278841","2020-03-27 07:19:58","173"
"166770","1324","-14153","3638","1797","-9169","9490","37.9199981689453","22.7900009155273","26.7800006866455","13365","-1","1278882","2020-03-27 07:19:58","173"
"166771","1975","-11221","3355","2280","-8247","5458","40.3800010681152","-3.98000001907349","26.3600006103516","13365","1","1278923","2020-03-27 07:19:58","173"
"166772","25","-8818","2154","2109","-6550","842","46.6300010681152","-20.6700000762939","19.6599998474121","13365","1","1278964","2020-03-27 07:19:58","173"
"166773","-159","-6904","2592","813","-5753","-1722","54.3300018310547","-30.3999996185303","5.92000007629395","13365","1","1279005","2020-03-27 07:19:58","173"
"166774","-4834","-4867","2695","1876","-4189","-4523","65.0599975585938","-27.7399997711182","-9.57999992370606","13365","1","1279046","2020-03-27 07:19:58","173"
"166775","-2792","-3710","757","1462","-4273","-3740","75.1600036621094","-22.1700000762939","-24.1100006103516","13365","2","1279087","2020-03-27 07:19:58","173"
"166776","-6685","-5825","-465","2020","-3062","-4172","82.629997253418","-12.7700004577637","-35.2299995422363","13365","2","1279128","2020-03-27 07:19:58","173"
"166777","-3043","-3008","-1750","1113","-1329","-5131","87.5400009155274","-2.5","-40.8600006103516","13365","2","1279169","2020-03-27 07:19:58","173"
"166778","-6300","-1084","-1254","-1303","-2082","-4827","86.9400024414063","10.4200000762939","-45.6100006103516","13365","2","1279210","2020-03-27 07:19:58","173"
"166779","-3769","3859","1022","-1034","-547","-2930","82.2600021362305","19.9899997711182","-49.0999984741211","13365","2","1279251","2020-03-27 07:19:58","173"
"166780","-4576","3564","-230","-1742","-732","-8708","76.7699966430664","34.0200004577637","-54.2799987792969","13365","2","1279292","2020-03-27 07:19:58","173"
"166781","-14139","3952","4022","-1918","-1562","-7148","61.189998626709","53.2000007629395","-68.9599990844727","13365","2","1279333","2020-03-27 07:19:58","173"
"166782","-9626","-2320","5060","-2115","-192","-9093","30.8199996948242","65.8499984741211","-98.1100006103516","13365","-1","1279374","2020-03-27 07:19:58","173"
"166783","-13511","-2520","4178","-1763","1866","-4297","-24.2099990844727","69.7799987792969","-151.179992675781","13365","-1","1279415","2020-03-27 07:19:58","173"
"166784","-5156","-2121","3274","-6886","-1073","-4675","-56.2200012207031","64.4599990844727","-172.649993896484","13365","-1","1279456","2020-03-27 07:19:58","173"
"166785","-10458","-1645","4344","-10606","-6054","-3319","-73.5100021362305","50.0800018310547","-166.860000610352","13365","-1","1279497","2020-03-27 07:19:58","173"
"166786","-8188","-2027","3849","-9093","-4991","5897","-81.3199996948242","52.5400009155274","-145.759994506836","13365","-1","1279538","2020-03-27 07:19:58","173"
"166787","7749","-3618","5226","-9038","-8627","10457","-59.2000007629395","68.4700012207031","-94.5899963378906","13365","-2","1279579","2020-03-27 07:19:58","173"
"166788","2285","-9182","12137","-3370","-5070","12274","5.80999994277954","64.1100006103516","-8.80000019073486","13365","-2","1279620","2020-03-27 07:19:58","173"
"166789","11701","-9211","9069","4300","-3988","5141","34.8600006103516","46.9300003051758","22.4300003051758","13365","-2","1279661","2020-03-27 07:19:58","173"
"166790","-3034","-10820","-11951","7258","-3988","1007","46.0099983215332","33.4700012207031","16.7800006866455","13365","1","1279702","2020-03-27 07:19:58","173"
"166791","-3199","-6861","2855","7327","-4839","532","56.2900009155274","23.3299999237061","7.92999982833862","13365","1","1279743","2020-03-27 07:19:58","173"
"166792","-2694","-5210","920","5184","-6415","-1585","66.5800018310547","18.5200004577637","-6.05000019073486","13365","2","1279784","2020-03-27 07:19:58","173"
"166793","-1001","-4174","2884","4192","-6370","-5609","70.4400024414062","21.0300006866455","-24.9200000762939","13365","2","1279825","2020-03-27 07:19:58","173"
"166794","-12186","-8966","-8146","4346","-2143","-10916","74.3099975585938","41.4900016784668","-43.3199996948242","13365","2","1279866","2020-03-27 07:19:58","173"
"166795","-20758","-4383","-176","-4504","-538","-6463","56.1599998474121","62.5400009155274","-63.4599990844727","13365","2","1279907","2020-03-27 07:19:58","173"
"166796","-6316","-4475","-477","-4800","2230","-9317","17.4400005340576","74.5199966430664","-92.4199981689453","13365","-1","1279948","2020-03-27 07:19:58","173"
"166797","-14664","3089","3414","-6365","729","-2595","-54.2299995422363","70.4199981689453","-150.949996948242","13365","-1","1279989","2020-03-27 07:19:58","173"
