"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","mdlsport_id"
"27606","2093","-10353","6581","9753","1936","1249","28.9300003051758","-6.30000019073486","-83.7399978637695","1229","19","31682","2020-06-17 16:36:02","43"
"27607","1866","-10313","-1650","9541","2599","494","43.3199996948242","-4.80000019073486","-80.9300003051758","1229","19","31708","2020-06-17 16:36:02","43"
"27608","-2135","-9471","-5407","6538","4245","1490","54.6500015258789","-2.17000007629395","-75.629997253418","1229","19","31733","2020-06-17 16:36:02","43"
"27609","-174","-7296","-5330","3469","3992","2946","61.5299987792969","-2.00999999046326","-68.3499984741211","1229","19","31759","2020-06-17 16:36:02","43"
"27610","1468","-5844","-2841","2479","3684","3175","65.1999969482422","-3.91000008583069","-61.0299987792969","1229","19","31785","2020-06-17 16:36:02","43"
"27611","7662","-3706","-8526","2831","2260","3950","68.5800018310547","-7.55000019073486","-54.7900009155273","1229","19","31811","2020-06-17 16:36:02","43"
"27612","1682","-3809","-6053","1431","2194","6100","70.4499969482422","-13.4899997711182","-49.4599990844727","1229","19","31836","2020-06-17 16:36:02","43"
"27613","5710","-1573","-3192","-963","3029","4883","68.5500030517578","-20.2299995422363","-42.5900001525879","1229","19","31861","2020-06-17 16:36:02","43"
"27614","8428","1459","901","-696","1965","3170","64.4899978637695","-24.8700008392334","-35.7200012207031","1229","19","31887","2020-06-17 16:36:02","43"
"27615","4645","1357","1413","222","889","3051","62.689998626709","-28.3600006103516","-31.7600002288818","1229","-1","31912","2020-06-17 16:36:02","43"
"27616","3786","1168","-641","166","1954","3295","60.8499984741211","-31.7000007629395","-26.8099994659424","1229","-1","31938","2020-06-17 16:36:02","43"
"27617","3484","86","8422","1875","1586","5138","57.0699996948242","-36.0299987792969","-19.0499992370605","1229","-1","31963","2020-06-17 16:36:02","43"
"27618","8475","-319","528","2767","143","6545","55.8499984741211","-44.1800003051758","-11","1229","-1","31989","2020-06-17 16:36:02","43"
"27619","5473","-1993","-2626","498","1981","6555","50.5999984741211","-51.5699996948242","-0.579999983310699","1229","-1","32015","2020-06-17 16:36:02","43"
"27620","5139","-3945","2324","-2078","4252","7533","32.6599998474121","-55.3300018310547","19.3700008392334","1229","-1","32040","2020-06-17 16:36:02","43"
"27621","8959","-4015","2211","-4016","3808","6502","9.53999996185303","-53.4900016784668","41.1599998474121","1229","-1","32066","2020-06-17 16:36:02","43"
"27622","7554","-4636","-564","-5231","2824","4694","-8.53999996185303","-49.4700012207031","54.8800010681152","1229","-1","32091","2020-06-17 16:36:02","43"
"27623","5343","-7460","-807","-7739","5094","4292","-24.1599998474121","-41.810001373291","61.6500015258789","1229","-2","32117","2020-06-17 16:36:02","43"
"27624","9176","-6108","5691","-9503","7787","3695","-38.2799987792969","-30.1399993896484","61.560001373291","1229","-2","32142","2020-06-17 16:36:02","43"
"27625","14112","-1268","10003","-8122","8872","237","-48.4199981689453","-19.1499996185303","53.7599983215332","1229","-2","32168","2020-06-17 16:36:02","43"
"27626","6882","-4667","4056","-5761","10956","-4685","-53.6300010681152","-13.8999996185303","38.0499992370605","1229","-2","32194","2020-06-17 16:36:02","43"
