"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","mdlsport_id"
"85649","4114","-2375","1983","-1806","3649","-2550","-10.75","9.68000030517578","40.7900009155273","7047","-25","15396","2020-06-16 13:13:57","64"
"85650","3835","-3046","2587","-2005","3999","-3916","-15.1800003051758","13.9899997711182","34.2799987792969","7047","-25","15420","2020-06-16 13:13:57","64"
"85651","2998","-3189","3907","-1913","3500","-4636","-20.6800003051758","17.1700000762939","25.7299995422363","7047","-25","15446","2020-06-16 13:13:57","64"
"85652","4063","-3214","5797","-1522","2694","-5575","-26.2099990844727","17.9400005340576","16.3099994659424","7047","-25","15471","2020-06-16 13:13:57","64"
"85653","4596","-4826","7777","-751","2333","-7657","-31.1700000762939","15.7200002670288","5.05000019073486","7047","-25","15497","2020-06-16 13:13:57","64"
"85654","2617","-7842","7414","106","2786","-9768","-34.7900009155273","11.0600004196167","-8.98999977111816","7047","-25","15522","2020-06-16 13:13:57","64"
"85655","-698","-9717","8307","987","4521","-10522","-36.5499992370605","6.34999990463257","-25.3700008392334","7047","-25","15548","2020-06-16 13:13:57","64"
"85656","-3170","-11207","8420","2543","5364","-9926","-35.2999992370605","3.44000005722046","-42.689998626709","7047","-25","15574","2020-06-16 13:13:57","64"
"85657","-4871","-13524","9521","4778","5246","-8241","-30.6900005340576","2.73000001907349","-58.5699996948242","7047","-25","15599","2020-06-16 13:13:57","64"
"85658","-8187","-14876","5115","6996","4696","-4535","-22.4599990844727","5.71999979019165","-70.4599990844727","7047","-25","15625","2020-06-16 13:13:57","64"
"85659","-5743","-14151","2078","6894","3905","-967","-13.2200002670288","10.8800001144409","-75.7200012207031","7047","-25","15650","2020-06-16 13:13:57","64"
"85660","-4861","-13108","1388","5802","2598","1120","-4.59999990463257","16.0100002288818","-76.120002746582","7047","-25","15676","2020-06-16 13:13:57","64"
"85661","-3440","-11014","786","4871","2640","2156","3.50999999046326","20.0799999237061","-73.4899978637695","7047","-25","15702","2020-06-16 13:13:57","64"
"85662","-2864","-8931","-145","3815","2914","2711","11.0799999237061","24.1200008392334","-68.9800033569336","7047","-25","15727","2020-06-16 13:13:57","64"
"85663","-2646","-7763","-344","4111","1654","4449","19.25","26.1399993896484","-62.3899993896484","7047","-25","15753","2020-06-16 13:13:57","64"
"85664","-1170","-6859","-356","4827","838","5974","29.5699996948242","24.4400005340576","-53.5699996948242","7047","-25","15778","2020-06-16 13:13:57","64"
"85665","911","-5733","-1682","4910","172","6340","40.1300010681152","19.5200004577637","-44.8199996948242","7047","-25","15804","2020-06-16 13:13:57","64"
"85666","737","-5491","-3422","4273","-401","6211","48.9599990844727","12.7399997711182","-38.0499992370605","7047","-25","15830","2020-06-16 13:13:57","64"
"85667","6456","-4428","-2856","3108","-602","6004","55.1599998474121","4.6399998664856","-32.8899993896484","7047","1","15855","2020-06-16 13:13:57","64"
"85668","158","-1279","-4380","2466","-269","2716","59.7799987792969","0.589999973773956","-30.5300006866455","7047","1","15881","2020-06-16 13:13:57","64"
"85669","1959","-2488","-1944","1156","-498","6506","61.3300018310547","-7.55999994277954","-27.0400009155273","7047","1","15907","2020-06-16 13:13:57","64"
"85670","6918","-1360","-1424","195","-588","7014","61.8699989318848","-17.2600002288818","-23.0699996948242","7047","1","15932","2020-06-16 13:13:57","64"
"85671","8651","1294","-130","-150","1208","2923","60.1199989318848","-24.1200008392334","-18.4599990844727","7047","1","15958","2020-06-16 13:13:57","64"
"85672","2542","1259","1130","183","360","1951","58.9799995422363","-26.2900009155273","-15.8000001907349","7047","1","15983","2020-06-16 13:13:57","64"
"85673","349","1744","231","1695","-232","2882","59.3499984741211","-29.6800003051758","-13.3699998855591","7047","1","16009","2020-06-16 13:13:57","64"
"85674","6135","2210","-1018","708","-412","3915","59.8800010681152","-35.7400016784668","-10.8299999237061","7047","1","16034","2020-06-16 13:13:57","64"
"85675","6147","2304","-499","-1485","1411","2763","56.2099990844727","-39.5999984741211","-6.3600001335144","7047","1","16060","2020-06-16 13:13:57","64"
"85676","2971","1049","1449","-1965","574","3438","49.7799987792969","-42.1199989318848","-0.959999978542328","7047","1","16086","2020-06-16 13:13:57","64"
