"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","mdlsport_id"
"120985","252","-2427","-1856","-5341","-3197","-4782","52.1100006103516","-24.2999992370605","104.040000915527","9610","1","3973058","2020-03-27 06:26:59","146"
"120986","-9997","-28","15991","-7142","-818","-8340","38.3800010681152","-12.9499998092651","88.1600036621094","9610","1","3973099","2020-03-27 06:26:59","146"
"120987","-8679","-2128","7361","-5442","-1246","-3897","27.3199996948242","-5.65999984741211","75.379997253418","9610","1","3973140","2020-03-27 06:26:59","146"
"120988","-8237","-9330","20446","-12539","-3638","-4261","3.05999994277954","-6.76000022888184","64.8899993896484","9610","2","3973182","2020-03-27 06:26:59","146"
"120989","-6792","-5529","11878","-6076","254","6727","-17.8999996185303","-5.59000015258789","67.3099975585938","9610","2","3973224","2020-03-27 06:26:59","146"
"120990","3575","-2833","4153","-5907","-3692","7662","-33.7799987792969","-1.22000002861023","87.3099975585938","9610","2","3973262","2020-03-27 06:26:59","146"
"120991","4824","1940","8096","-2502","-1888","5034","-44.689998626709","1.3400000333786","105.48999786377","9610","2","3973303","2020-03-27 06:26:59","146"
"120992","3816","-1286","4312","851","-4258","6744","-43.8899993896484","6.32999992370606","120.129997253418","9610","-1","3973344","2020-03-27 06:26:59","146"
"120993","3184","-4322","6285","4825","-4110","7204","-34.6800003051758","8.46000003814697","140.360000610352","9610","-1","3973385","2020-03-27 06:26:59","146"
"120994","7684","-6699","5016","8140","-1762","3823","-16.1499996185303","8.23999977111816","156.039993286133","9610","-2","3973426","2020-03-27 06:26:59","146"
"120995","2739","-5938","842","7439","-2831","-1999","3.94000005722046","2.85999989509583","156.869995117188","9610","-2","3973467","2020-03-27 06:26:59","146"
"120996","5171","-7446","1489","7592","-3924","-6560","22.7000007629395","-4.80999994277954","145.800003051758","9611","-2","3973508","2020-03-27 06:26:59","146"
"120997","-3802","-8826","1611","6785","-6222","-9465","42.0099983215332","-2.23000001907349","121.190002441406","9611","1","3973549","2020-03-27 06:26:59","146"
"120998","-12480","-8552","-5112","-1937","-3831","-9908","48.0699996948242","5.94999980926514","95.3000030517578","9611","1","3973590","2020-03-27 06:26:59","146"
"120999","-13877","-11401","9720","-12808","-3589","-2309","24.9599990844727","10.7399997711182","79.3600006103516","9611","1","3973630","2020-03-27 06:26:59","146"
"121000","-9502","-3186","19570","-8481","241","4751","-5.98000001907349","6.32000017166138","81.1399993896484","9611","2","3973671","2020-03-27 06:26:59","146"
"121001","4573","-2650","9782","-6894","-4479","9545","-21.5799999237061","7.46000003814697","100.620002746582","9611","2","3973712","2020-03-27 06:26:59","146"
"121002","10679","-796","2742","-2960","-4948","7391","-30.1800003051758","4.53000020980835","126.440002441406","9611","2","3973753","2020-03-27 06:26:59","146"
"121003","-1286","-925","13254","-651","-4348","4484","-33.6699981689453","1.25999999046326","142.360000610352","9611","-1","3973794","2020-03-27 06:26:59","146"
"121004","6141","-3011","4885","6054","1724","1521","-23.1000003814697","2.8199999332428","152.380004882813","9611","-2","3973835","2020-03-27 06:26:59","146"
"121005","6187","-5098","1639","10455","1611","-2451","-2.66000008583069","7.21999979019165","149.070007324219","9611","-2","3973876","2020-03-27 06:26:59","146"
"121006","1304","-4743","1205","7680","-1850","-3133","15.789999961853","6.73000001907349","142.479995727539","9611","-2","3973917","2020-03-27 06:26:59","146"
"121007","204","-2636","1799","6894","-3206","-5060","31.9500007629395","4.38000011444092","130.440002441406","9611","1","3973958","2020-03-27 06:26:59","146"
"121008","-2406","-3270","-4200","2199","-5635","-6437","41.9500007629395","4.15000009536743","112.029998779297","9612","1","3973999","2020-03-27 06:26:59","146"
"121009","-12970","-7021","-453","-7334","-2445","-5270","32.4500007629395","8.60999965667725","93.4599990844727","9612","2","3974040","2020-03-27 06:26:59","146"
"121010","-7903","-8677","20183","-13598","-4575","1562","1.14999997615814","4.07000017166138","87.6100006103516","9612","2","3974080","2020-03-27 06:26:59","146"
"121011","696","-3370","15970","-7251","-5690","9070","-24.3500003814697","-2.8199999332428","103.73999786377","9612","2","3974121","2020-03-27 06:26:59","146"
"121012","10683","-3748","-924","-439","-4416","9075","-33.4599990844727","-3.5699999332428","132.050003051758","9612","2","3974162","2020-03-27 06:26:59","146"
"121013","4326","-965","-1279","1676","-2324","4550","-32.2900009155273","-1.07000005245209","146.929992675781","9612","-1","3974205","2020-03-27 06:26:59","146"
"121014","2521","-3462","3355","7035","-877","4175","-19.9400005340576","-0.319999992847443","160.320007324219","9612","-1","3974244","2020-03-27 06:26:59","146"
"121015","10543","-5916","5105","10195","1328","25","0.119999997317791","0.259999990463257","166.100006103516","9612","-1","3974287","2020-03-27 06:26:59","146"
"121016","6856","-4506","-1521","6171","-1182","-3188","18.1599998474121","2.72000002861023","161.360000610352","9612","-1","3974326","2020-03-27 06:26:59","146"
"121017","3919","-3076","5249","6196","-4099","-7120","30.6700000762939","-1.12999999523163","146.509994506836","9612","-1","3974367","2020-03-27 06:26:59","146"
"121018","-5276","-4131","2695","6216","-5821","-8589","45.689998626709","3.47000002861023","121.730003356934","9612","1","3974408","2020-03-27 06:26:59","146"
"121019","-13062","-4754","-3361","-1894","-3577","-9268","47.9199981689453","13.4300003051758","97.5","9613","1","3974448","2020-03-27 06:26:59","146"
"121020","-11260","-12044","5530","-14459","-4768","-961","21.5400009155273","15.710000038147","82.8000030517578","9613","2","3974489","2020-03-27 06:26:59","146"
"121021","2694","-10137","17006","-15926","-11894","7225","-20.8199996948242","-5.23000001907349","93.1399993896484","9613","2","3974530","2020-03-27 06:26:59","146"
"121022","4648","155","8074","-1016","-5827","7584","-44.060001373291","-12.289999961853","122","9613","2","3974571","2020-03-27 06:26:59","146"
"121023","3559","-2307","4518","3390","-1863","7790","-42.3800010681152","-4.8600001335144","141.240005493164","9613","-1","3974612","2020-03-27 06:26:59","146"
"121024","4228","-4678","4827","7027","-3358","6990","-30.4899997711182","0.550000011920929","160.139999389648","9613","-1","3974653","2020-03-27 06:26:59","146"
