"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","mdlsport_id"
"116605","-4816","3102","3441","-3500","-1153","-5567","36.0699996948242","14.6999998092651","38.7299995422363","9179","1","3211435","2020-03-27 06:14:35","144"
"116606","-10640","-2597","9686","-6895","-1045","-7709","16.3600006103516","21.7199993133545","19.1399993896484","9179","1","3211476","2020-03-27 06:14:35","144"
"116607","-13405","-5641","11556","-9114","-697","-4290","-12.1099996566772","18.6499996185303","1.60000002384186","9179","2","3211516","2020-03-27 06:14:35","144"
"116608","-4081","-7729","12109","-10053","-764","-2859","-37.6800003051758","16.3099994659424","-5.1399998664856","9179","2","3211557","2020-03-27 06:14:35","144"
"116609","-6124","1708","12251","-6494","-2457","476","-60.5","9.76000022888184","-2.79999995231628","9179","2","3211598","2020-03-27 06:14:35","144"
"116610","1676","-372","9643","-5057","-2905","9190","-70.4800033569336","22.1100006103516","8.80000019073486","9179","2","3211639","2020-03-27 06:14:35","144"
"116611","11787","1911","5847","-455","-3501","6147","-67.4499969482422","36.2599983215332","25.1800003051758","9179","2","3211680","2020-03-27 06:14:35","144"
"116612","-754","-4845","4737","3012","-4303","8578","-46.0400009155273","46.0999984741211","49.0499992370606","9179","-1","3211721","2020-03-27 06:14:35","144"
"116613","3931","-5097","3833","6412","-3601","6474","-9.85999965667725","45.8899993896484","82.0899963378906","9179","-1","3211762","2020-03-27 06:14:35","144"
"116614","5105","-4588","4285","7024","-2620","2225","14.6700000762939","39.310001373291","92.8399963378906","9179","-2","3211803","2020-03-27 06:14:35","144"
"116615","4367","-4986","3042","5808","-4591","-974","30.2399997711182","33.6100006103516","92.6399993896484","9179","-2","3211844","2020-03-27 06:14:35","144"
"116616","-120","-4333","2343","6165","-5575","-4980","36.9300003051758","28.8099994659424","76.0999984741211","9180","1","3211885","2020-03-27 06:14:35","144"
"116617","-2659","-7082","860","4834","-3432","-9616","38.6199989318848","29.7700004577637","52.6300010681152","9180","1","3211926","2020-03-27 06:14:35","144"
"116618","-12975","-11400","-5674","-3174","-1254","-11179","20.9799995422363","41.6800003051758","18.0300006866455","9180","1","3211966","2020-03-27 06:14:35","144"
"116619","-16835","-11895","14191","-14785","-4635","-6960","-24.8600006103516","35.5400009155273","-10.5500001907349","9180","1","3212007","2020-03-27 06:14:35","144"
"116620","-10769","-221","12686","-8563","-2174","1227","-52.7599983215332","25.7600002288818","-9.84000015258789","9180","2","3212048","2020-03-27 06:14:35","144"
"116621","6344","-635","4245","-6109","-6482","7744","-59.5","31.75","9.78999996185303","9180","2","3212089","2020-03-27 06:14:35","144"
"116622","2547","1281","8295","-1768","-818","3239","-59.4300003051758","37.5299987792969","25.5200004577637","9180","2","3212130","2020-03-27 06:14:35","144"
"116623","-749","-2796","6237","3061","-1966","7159","-47.060001373291","44.7200012207031","39.8199996948242","9180","-1","3212171","2020-03-27 06:14:35","144"
"116624","3213","-3569","9405","6268","-1101","7599","-16.5","52.0200004577637","65.3600006103516","9180","-1","3212212","2020-03-27 06:14:35","144"
"116625","5753","-6664","-4940","9363","362","2676","20.9099998474121","51.439998626709","85.6999969482422","9180","-2","3212253","2020-03-27 06:14:35","144"
"116626","-3415","-2649","4425","6072","-4871","-2379","30.5699996948242","44.1699981689453","78.129997253418","9180","-2","3212294","2020-03-27 06:14:35","144"
"116627","-3182","-3872","-445","8159","-4406","-5078","37.3600006103516","39.4099998474121","59.75","9180","-2","3212335","2020-03-27 06:14:35","144"
"116628","-8017","-5581","-8581","109","-3792","-6293","32.6800003051758","39.7299995422363","35.3800010681152","9181","1","3212375","2020-03-27 06:14:35","144"
"116629","-14119","-12091","3327","-11577","-1397","-7064","-1.80999994277954","41.2400016784668","9.52999973297119","9181","1","3212416","2020-03-27 06:14:35","144"
"116630","-13860","-7220","21294","-16155","-6385","808","-44.4099998474121","31.2700004577637","2.79999995231628","9181","2","3212457","2020-03-27 06:14:35","144"
"116631","2593","-2142","10158","-4973","-2679","7026","-56.060001373291","33.9799995422363","22.3199996948242","9181","2","3212498","2020-03-27 06:14:35","144"
"116632","6231","-485","7162","-1554","-2390","5955","-50.9900016784668","42.8800010681152","41.4799995422363","9181","2","3212539","2020-03-27 06:14:35","144"
"116633","-1348","-2554","7741","1996","-4188","5538","-35.0900001525879","45.3400001525879","62.3400001525879","9181","-1","3212580","2020-03-27 06:14:35","144"
"116634","2307","-4285","2719","6242","-948","4069","-8.38000011444092","43.9199981689453","83.3399963378906","9181","-1","3212621","2020-03-27 06:14:35","144"
"116635","6828","-3450","2932","7417","1079","2303","15.3500003814697","44.1500015258789","94.4000015258789","9181","-2","3212664","2020-03-27 06:14:35","144"
"116636","1974","-2382","1518","5000","-4047","-1548","27.7700004577637","39.7999992370605","94.4000015258789","9181","-2","3212703","2020-03-27 06:14:35","144"
"116637","-591","-2522","1548","7390","-3378","-5041","34.1500015258789","36.6500015258789","79.0699996948242","9181","-2","3212744","2020-03-27 06:14:35","144"
"116638","-6186","-4863","-3299","4684","-4203","-7991","34.0400009155273","37.3800010681152","54.4799995422363","9181","1","3212785","2020-03-27 06:14:35","144"
"116639","-14021","-9555","-3467","-7271","-1636","-9856","8.90999984741211","44.1500015258789","21.5100002288818","9181","1","3212825","2020-03-27 06:14:35","144"
"116640","-17984","-8424","18487","-16207","-6306","-3097","-38.2200012207031","33.0800018310547","2.5699999332428","9182","1","3212866","2020-03-27 06:14:35","144"
"116641","306","-1104","12112","-7205","-4115","5118","-55.5099983215332","29.4599990844727","19.5499992370605","9182","2","3212907","2020-03-27 06:14:35","144"
"116642","5194","-87","7452","-2042","-3426","6684","-54.25","36.3300018310547","39.5699996948242","9182","2","3212948","2020-03-27 06:14:35","144"
"116643","3475","-2593","3496","1944","-3857","6940","-39.2099990844727","42.4099998474121","61.0900001525879","9182","-1","3212989","2020-03-27 06:14:35","144"
"116644","1424","-4126","2035","6166","-1595","4789","-12.6499996185303","41.9099998474121","83.9300003051758","9182","-1","3213030","2020-03-27 06:14:35","144"
"116645","8066","-4267","4464","9168","1610","964","12.3599996566772","43.0499992370605","93.8399963378906","9182","-2","3213073","2020-03-27 06:14:35","144"
"116646","14","-3623","1434","6559","-2502","-2314","26.8299999237061","41.4099998474121","89.8600006103516","9182","-2","3213112","2020-03-27 06:14:35","144"
