id,accelerationx,accelerationy,accelerationz,angularvelocityx,angularvelocityy,angularvelocityz,pitch,roll,yaw,mdlcircle_id,hallsensor,timestamp,starttime,mdlsport_id
113205,-7357,-646,11783,-8853,-928,476,-47.3199996948242,30.530000686645497,130.110000610352,8840,2,3152825,2020-03-27 06:12:55,143
113206,1242,1390,7752,-6156,-3982,3428,-58.310001373290994,31.6399993896484,140.800003051758,8840,2,3152865,2020-03-27 06:12:55,143
113207,3157,-1166,7685,-2585,-4088,4503,-58.9900016784668,34.169998168945305,158.410003662109,8840,2,3152906,2020-03-27 06:12:55,143
113208,3112,-2676,4429,3803,-506,2910,-48.779998779296896,38.439998626709,169.77999877929702,8840,-1,3152947,2020-03-27 06:12:55,143
113209,1495,-2196,1014,5178,-1203,4638,-30.1299991607666,41.4000015258789,-177.5,8840,-1,3152988,2020-03-27 06:12:55,143
113210,4445,-2924,2815,5839,-2535,1978,-9.89000034332275,40.939998626709,-167.020004272461,8840,-2,3153029,2020-03-27 06:12:55,143
113211,1949,-3339,1397,8568,-2194,-2849,6.80999994277954,35.0699996948242,-168.710006713867,8840,-2,3153070,2020-03-27 06:12:55,143
113212,-8540,-5415,-6735,6197,-2328,-6436,16.770000457763697,32.779998779296896,173.970001220703,8840,-2,3153111,2020-03-27 06:12:55,143
113213,-15371,-9244,-4462,-3800,-757,-9198,4.05999994277954,36.1399993896484,149.350006103516,8840,1,3153152,2020-03-27 06:12:55,143
113214,-20572,-5526,6902,-10038,-496,-5637,-28.6100006103516,33.8400001525879,126.400001525879,8840,1,3153193,2020-03-27 06:12:55,143
