"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","mdlsport_id"
"112134","-9535","-4350","7002","-3075","-2719","-9210","45.5499992370605","25.5200004577637","87.75","8732","1","3109020","2020-03-27 06:12:55","143"
"112135","-14020","-5859","1092","-6634","-1344","-10062","22.3099994659424","33.5099983215332","60.7000007629395","8732","1","3109061","2020-03-27 06:12:55","143"
"112136","-13664","-17411","16075","-14833","-5188","-9837","-20.8199996948242","28.7999992370605","33.2200012207031","8732","2","3109102","2020-03-27 06:12:55","143"
"112137","-17910","-5944","12194","-7692","4638","-3425","-51.6500015258789","17.6299991607666","18.8799991607666","8732","2","3109143","2020-03-27 06:12:55","143"
"112138","-3054","-1756","9327","-7856","-7614","8763","-67.7900009155273","24.6000003814697","27.4400005340576","8732","2","3109184","2020-03-27 06:12:55","143"
"112139","3249","-983","9619","-4085","-266","7713","-70.2200012207031","40.1100006103516","48.3699989318848","8732","2","3109224","2020-03-27 06:12:55","143"
"112140","887","-720","8446","-1334","-3928","5889","-64.9599990844727","52.75","61.1699981689453","8732","2","3109265","2020-03-27 06:12:55","143"
"112141","-538","-4262","5051","1710","-5008","9788","-26.8199996948242","57.9900016784668","106.379997253418","8732","-1","3109306","2020-03-27 06:12:55","143"
"112142","7405","-7256","-3772","7725","838","6098","17.5599994659424","55.9799995422363","144.25","8732","-1","3109347","2020-03-27 06:12:55","143"
"112143","3161","-4519","1479","6795","-3099","1389","40.2000007629395","48.1699981689453","152.610000610352","8732","-2","3109388","2020-03-27 06:12:55","143"
"112144","8","-5615","3083","9186","-4811","-3517","47.5999984741211","43.0499992370605","137.149993896484","8732","-2","3109429","2020-03-27 06:12:55","143"
"112145","-3313","-6888","-1721","6510","-7376","-5112","50.4900016784668","43.3400001525879","112.519996643066","8733","-2","3109470","2020-03-27 06:12:55","143"
"112146","-15630","-10110","-4206","-2380","-1886","-11253","25.1499996185303","51.4500007629395","72.1500015258789","8733","1","3109511","2020-03-27 06:12:55","143"
"112147","-16814","-7456","9828","-12619","-3080","-4645","-21.6000003814697","46.560001373291","41.3899993896484","8733","1","3109552","2020-03-27 06:12:55","143"
"112148","-9158","-347","9405","-7784","270","1460","-47.939998626709","44.0200004577637","38.1800003051758","8733","2","3109593","2020-03-27 06:12:55","143"
"112149","5329","-1872","4874","-7931","-5727","8453","-49.2000007629395","49.5099983215332","63.5299987792969","8733","2","3109633","2020-03-27 06:12:55","143"
"112150","2932","-1518","6165","-3870","-4102","5718","-38.4500007629394","52.189998626709","94.3300018310547","8733","2","3109674","2020-03-27 06:12:55","143"
"112151","3735","-2957","7219","2387","-934","5533","-18.9400005340576","52.1100006103516","121.230003356934","8733","-1","3109715","2020-03-27 06:12:55","143"
"112152","3887","-3320","6182","8388","229","3751","8.19999980926514","53.3499984741211","137.649993896484","8733","-1","3109756","2020-03-27 06:12:55","143"
"112153","3524","-3792","962","7045","-3157","1403","32.5299987792969","49.5699996948242","144.009994506836","8733","-2","3109797","2020-03-27 06:12:55","143"
"112154","143","-2616","3994","7975","-3626","-1949","43.3699989318848","43.0800018310547","135.050003051758","8733","-2","3109838","2020-03-27 06:12:55","143"
"112155","-4398","-4861","-2375","7825","-5917","-5026","50.6199989318848","43.3899993896484","114.459999084473","8733","-2","3109879","2020-03-27 06:12:55","143"
"112156","-12143","-9232","-5534","-2250","-2711","-10841","31.5900001525879","50.0299987792969","79.870002746582","8733","1","3109920","2020-03-27 06:12:55","143"
"112157","-20236","-9880","7127","-12466","-2218","-6710","-19.6599998474121","49.6100006103516","41.9900016784668","8733","1","3109963","2020-03-27 06:12:55","143"
"112158","-6751","-2696","15074","-10562","-3545","3759","-48.3499984741211","43.6800003051758","45.5800018310547","8733","2","3110002","2020-03-27 06:12:55","143"
"112159","7325","-2032","5952","-5900","-3785","6119","-49.5299987792969","47.9000015258789","69.2399978637695","8734","2","3110042","2020-03-27 06:12:55","143"
"112160","3861","-918","6065","-2046","-3119","3978","-42.6500015258789","50.2599983215332","89.6100006103516","8734","2","3110083","2020-03-27 06:12:55","143"
"112161","1013","-2519","5052","2465","-1204","4568","-25.2399997711182","50.4000015258789","110.949996948242","8734","-1","3110124","2020-03-27 06:12:55","143"
"112162","452","-2507","2309","8042","1358","5122","2.61999988555908","53.810001373291","128.820007324219","8734","-1","3110165","2020-03-27 06:12:55","143"
"112163","6817","-5073","-1470","7964","-2147","2133","33.4799995422363","49.8800010681152","142.25","8734","-2","3110206","2020-03-27 06:12:55","143"
"112164","588","-3260","2861","7957","-3391","-2796","43.6300010681152","44.9799995422363","132.679992675781","8734","-2","3110249","2020-03-27 06:12:55","143"
"112165","-2712","-3120","-5574","5598","-5793","-3742","48.0299987792969","45.1500015258789","112.23999786377","8734","1","3110288","2020-03-27 06:12:55","143"
"112166","-7281","-6497","-5522","-3529","-3089","-9507","28.2700004577637","47.2900009155273","83.0299987792969","8735","1","3110329","2020-03-27 06:12:55","143"
"112167","-21332","-17312","15630","-17146","-7667","-7952","-24.8400001525879","42.0400009155273","47.7999992370606","8735","2","3110370","2020-03-27 06:12:55","143"
"112168","-6936","-3908","15234","-6833","-1605","5762","-48.5299987792969","33.7299995422363","58.7099990844727","8735","2","3110410","2020-03-27 06:12:55","143"
"112169","6333","-4646","4241","-4537","-3570","8436","-46.7700004577637","42.2700004577637","82.0999984741211","8735","2","3110451","2020-03-27 06:12:55","143"
"112170","6390","-1964","3909","-89","-2409","6396","-33.8899993896484","49.4599990844727","105.639999389648","8735","-1","3110492","2020-03-27 06:12:55","143"
"112171","2155","-2238","1786","3021","-1367","4229","-11.0699996948242","48.5499992370606","129.429992675781","8735","-1","3110533","2020-03-27 06:12:55","143"
"112172","5568","-3565","7271","7514","1235","3170","10.8199996948242","47.4500007629395","143.190002441406","8735","-1","3110574","2020-03-27 06:12:55","143"
"112173","4607","-3843","1867","6547","-1164","264","29.8799991607666","47.5099983215332","147.369995117187","8735","-2","3110615","2020-03-27 06:12:55","143"
"112174","3854","-3371","4687","9273","-2172","-1233","43.8899993896484","44.560001373291","142.020004272461","8735","-2","3110656","2020-03-27 06:12:55","143"
"112175","-5115","-3437","-1174","9195","-5272","-3733","55.7099990844727","46.7099990844727","123.589996337891","8735","-2","3110697","2020-03-27 06:12:55","143"
"112176","-5832","-3080","-6917","1646","-4146","-7646","49.9099998474121","49.9300003051758","98","8735","1","3110738","2020-03-27 06:12:55","143"
"112177","-18231","-12202","297","-12043","-3895","-9336","6.32999992370606","55.5200004577637","60.4799995422363","8736","1","3110779","2020-03-27 06:12:55","143"
"112178","-11974","-4489","13930","-12052","-4093","2262","-34.5099983215332","42.5499992370605","54.1599998474121","8736","2","3110820","2020-03-27 06:12:55","143"
"112179","444","-3828","7320","-8155","-4908","6116","-43.4700012207031","42.0299987792969","75.4400024414062","8736","2","3110860","2020-03-27 06:12:55","143"
"112180","2694","-1124","6916","-2634","-2681","6610","-38.6199989318848","46.2299995422363","100.180000305176","8736","2","3110901","2020-03-27 06:12:55","143"
"112181","4568","-3113","6579","3669","-2435","5568","-17.3500003814697","46.2999992370605","127.459999084473","8736","-1","3110942","2020-03-27 06:12:55","143"
"112182","674","-3417","6128","7025","883","2505","5.69999980926514","48.1500015258789","137.970001220703","8736","-1","3110983","2020-03-27 06:12:55","143"
"112183","2649","-3484","2038","5919","-333","586","30.0499992370605","49.25","142.970001220703","8736","-2","3111024","2020-03-27 06:12:55","143"
"112184","-2705","-1327","27","7549","-2543","-1869","40.9599990844727","46.5800018310547","134.660003662109","8736","-2","3111065","2020-03-27 06:12:55","143"
"112185","-2034","-1545","-406","6913","-2783","-3487","50.2000007629395","46.3800010681152","122.330001831055","8736","-2","3111106","2020-03-27 06:12:55","143"
"112186","-2902","-2259","-3974","2643","-4156","-5493","48.6199989318848","47.3400001525879","103.48999786377","8736","1","3111147","2020-03-27 06:12:55","143"
"112187","-11149","-9246","-6621","-7574","-2104","-8553","19.6200008392334","54.3699989318848","73.1900024414063","8736","1","3111188","2020-03-27 06:12:55","143"
"112188","-23171","-9382","21084","-18174","-8131","-1703","-38.4000015258789","40.8400001525879","50.7999992370606","8737","2","3111228","2020-03-27 06:12:55","143"
"112189","3404","-4848","11090","-7027","-4089","7305","-49.7999992370606","41.3800010681152","75.2300033569336","8737","2","3111269","2020-03-27 06:12:55","143"
"112190","6539","-1405","7658","-441","155","5100","-43.6800003051758","49.4199981689453","94.2600021362305","8737","2","3111310","2020-03-27 06:12:55","143"
"112191","2351","-2804","4563","3222","-2709","5846","-23.5499992370605","53.2799987792969","114.589996337891","8737","-1","3111351","2020-03-27 06:12:55","143"
"112192","112","-3296","-2778","3961","-257","2712","-1.25999999046326","53.0400009155273","129.529998779297","8737","-1","3111404","2020-03-27 06:12:55","143"
"112193","1726","-3441","-7240","7329","930","1052","21.2700004577637","51.060001373291","140.300003051758","8737","-2","3111433","2020-03-27 06:12:55","143"
"112194","-1950","-1603","2509","6302","-1932","-1410","32.2400016784668","48","137.899993896484","8737","-2","3111474","2020-03-27 06:12:55","143"
"112195","2819","-4115","1826","9315","-2363","-4044","43.4199981689453","44.9799995422363","127","8737","-2","3111515","2020-03-27 06:12:55","143"
"112196","-2657","-3658","-4670","6381","-4367","-4739","48.7799987792969","47.5400009155274","105.959999084473","8737","1","3111556","2020-03-27 06:12:55","143"
"112197","-11890","-5959","-5697","-3583","-2729","-8256","27.2700004577637","53.5900001525879","75.0199966430664","8737","1","3111597","2020-03-27 06:12:55","143"
"112198","-24579","-9738","14721","-14838","-6402","-4662","-24.3500003814697","46.3800010681152","44.8400001525879","8738","1","3111637","2020-03-27 06:12:55","143"
"112199","-3940","-3692","8781","-9576","-2327","4993","-43.3600006103516","43.9599990844727","56.4300003051758","8738","2","3111678","2020-03-27 06:12:55","143"
"112200","6655","-2475","7620","-7201","-4152","6623","-46.5","46.9799995422363","82.0100021362305","8738","2","3111719","2020-03-27 06:12:55","143"
"112201","-493","-2351","8056","-1527","-4635","6106","-36.5999984741211","49.2299995422363","106.709999084473","8738","2","3111760","2020-03-27 06:12:55","143"
"112202","3861","-3893","4910","4695","-795","3453","-13.1800003051758","47.0400009155273","131.330001831055","8738","-1","3111801","2020-03-27 06:12:55","143"
"112203","6025","-3354","8787","9260","983","1042","7.55999994277954","47.7999992370606","137.75","8738","-1","3111844","2020-03-27 06:12:55","143"
"112204","3437","-3995","1864","8246","-1618","-834","26.2299995422363","47.7200012207031","135.639999389648","8738","-1","3111883","2020-03-27 06:12:55","143"
"112205","1160","-2433","-330","8520","-2862","-932","41.0400009155273","44.0299987792969","127.550003051758","8738","-1","3111924","2020-03-27 06:12:55","143"
"112206","-2900","-1722","-1736","6204","-3732","-2271","50.2599983215332","44.060001373291","114.529998779297","8738","-1","3111965","2020-03-27 06:12:55","143"
