"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","mdlsport_id"
"135654","-4186","361","-295","-3397","-3353","-6801","56.1599998474121","-4.1399998664856","160.229995727539","10873","1","4865086","2020-03-27 06:41:30","153"
"135655","-7217","-4020","4790","-5920","-2554","-6616","43.4300003051758","4.1100001335144","141.889999389648","10873","1","4865128","2020-03-27 06:41:30","153"
"135656","-14770","-3852","11230","-7388","-943","-5801","19.4699993133545","8.98999977111816","121.319999694824","10873","2","4865167","2020-03-27 06:41:30","153"
"135657","-3473","-6513","7548","-9397","-211","-3257","-1.12000000476837","12.6499996185303","113.019996643066","10873","2","4865208","2020-03-27 06:41:30","153"
"135658","-15779","76","13611","-9665","-583","-779","-29.3400001525879","9.13000011444092","106.120002746582","10873","2","4865249","2020-03-27 06:41:30","153"
"135659","-163","-2752","6355","-7226","-4438","9051","-43.4599990844727","15.6700000762939","119.970001220703","10873","2","4865290","2020-03-27 06:41:30","153"
"135660","5477","-1369","8979","-4055","-4309","8366","-49.3499984741211","23.0300006866455","146.440002441406","10873","2","4865331","2020-03-27 06:41:30","153"
"135661","-149","-3646","10119","1406","-5129","9187","-42.1100006103516","29","169.979995727539","10873","-1","4865372","2020-03-27 06:41:30","153"
"135662","5090","-5120","4830","6491","-1027","4290","-21.4699993133545","31.6599998474121","-170.270004272461","10873","-1","4865413","2020-03-27 06:41:30","153"
"135663","-4645","-6989","-12260","6886","317","1857","1.30999994277954","29.7600002288818","-161.710006713867","10873","-1","4865454","2020-03-27 06:41:30","153"
"135664","3113","-3357","5465","7901","-2825","215","18.0200004577637","23.6900005340576","-159.190002441406","10873","-1","4865494","2020-03-27 06:41:30","153"
"135665","-2252","-5108","2414","8004","-5515","-4226","34.4700012207031","17.8600006103516","-171.179992675781","10874","-1","4865535","2020-03-27 06:41:30","153"
"135666","-10454","-6502","-2272","3478","-4472","-9040","41.4599990844727","18.7900009155273","166.470001220703","10874","1","4865576","2020-03-27 06:41:30","153"
"135667","-14671","-6649","-2102","-5246","-2046","-7292","29.1000003814697","28.9500007629395","143.100006103516","10874","1","4865617","2020-03-27 06:41:30","153"
"135668","-11807","-7057","10608","-13178","-2703","-3234","-3.0699999332428","30.1399993896484","128.240005493164","10874","1","4865658","2020-03-27 06:41:30","153"
"135669","-4284","70","10597","-9287","-2681","3929","-29.9899997711182","24","130.960006713867","10874","2","4865699","2020-03-27 06:41:30","153"
"135670","4226","-796","7496","-6335","-6142","7841","-39.4099998474121","24.3099994659424","152.429992675781","10874","2","4865740","2020-03-27 06:41:30","153"
"135671","3732","-3696","7677","-487","-2670","7843","-36.7599983215332","26.9300003051758","176.630004882813","10874","-1","4865781","2020-03-27 06:41:30","153"
"135672","7853","-4523","4004","4597","-890","3738","-22.5499992370605","30.6599998474121","-167.970001220703","10874","-1","4865822","2020-03-27 06:41:30","153"
"135673","2455","-2870","4387","5880","-1185","1348","-7.57999992370606","28.6599998474121","-162.330001831055","10874","-1","4865863","2020-03-27 06:41:30","153"
"135674","2331","-2875","4670","4540","-1612","612","7.94999980926514","26.5200004577637","-160.929992675781","10874","-1","4865903","2020-03-27 06:41:30","153"
"135675","-447","-1904","4171","6376","-3006","-1141","20.1599998474121","19.7800006866455","-163.809997558594","10874","-1","4865944","2020-03-27 06:41:30","153"
"135676","-5031","-2398","2847","6649","-3727","-3612","34.4599990844727","16.7600002288818","-173.289993286133","10874","-1","4865985","2020-03-27 06:41:30","153"
"135677","-7188","-2967","1358","4781","-3548","-6058","43.0099983215332","16.4599990844727","170.110000610352","10874","1","4866026","2020-03-27 06:41:30","153"
"135678","-8841","-2950","-4853","676","-827","-6434","44.1399993896484","26.0799999237061","153.690002441406","10875","1","4866067","2020-03-27 06:41:30","153"
"135679","-12610","-4779","7070","-9520","-2506","-7592","20.3299999237061","34.2999992370605","134.350006103516","10875","2","4866108","2020-03-27 06:41:30","153"
"135680","-9891","-460","7922","-10560","-2592","-270","-12.3500003814697","30.1000003814697","122.599998474121","10875","2","4866149","2020-03-27 06:41:30","153"
"135681","-396","-1057","4931","-9622","-4561","6729","-30.0200004577637","26.6599998474121","136.690002441406","10875","2","4866190","2020-03-27 06:41:30","153"
"135682","2627","-1979","6466","-5119","-4304","7399","-37.0800018310547","26.4899997711182","161.220001220703","10875","2","4866231","2020-03-27 06:41:30","153"
"135683","4626","-3946","7789","1205","-711","6657","-31.8799991607666","31.5799999237061","-179.600006103516","10875","-1","4866272","2020-03-27 06:41:30","153"
"135684","3945","-3956","3700","3904","-2446","2909","-17.8799991607666","32.7000007629395","-167.399993896484","10875","-1","4866312","2020-03-27 06:41:30","153"
"135685","2005","-4527","-2596","8746","-633","55","0.540000021457672","28.3500003814697","-161.740005493164","10875","-1","4866353","2020-03-27 06:41:30","153"
"135686","-2567","-3431","2775","8191","-2931","-837","17.75","23.5","-163.889999389648","10875","-2","4866394","2020-03-27 06:41:30","153"
"135687","-1791","-4944","1343","9183","-3270","-3576","35.9599990844727","18.3799991607666","-172.910003662109","10875","-2","4866435","2020-03-27 06:41:30","153"
"135688","-6843","-6296","-3484","4304","-4469","-7023","46.7599983215332","20.6900005340576","169.259994506836","10875","1","4866476","2020-03-27 06:41:30","153"
"135689","-16304","-7806","-3431","-4492","-1358","-9235","34.2000007629395","32.9700012207031","144.690002441406","10875","1","4866517","2020-03-27 06:41:30","153"
"135690","-18123","-7216","9631","-13561","-4602","-4004","-1.91999995708466","34.5400009155273","124.550003051758","10876","1","4866558","2020-03-27 06:41:30","153"
"135691","-2292","-1195","10528","-8957","-1722","2725","-27.1800003051758","27.5499992370605","129.960006713867","10876","2","4866599","2020-03-27 06:41:30","153"
"135692","2570","510","7020","-5062","-2147","3930","-37.4900016784668","29.0699996948242","140.710006713867","10876","2","4866640","2020-03-27 06:41:30","153"
"135693","2902","-687","5505","-2694","-2196","4121","-39.5400009155273","30.5200004577637","153.940002441406","10876","2","4866681","2020-03-27 06:41:30","153"
"135694","1630","-1673","5470","-249","-1838","5981","-34.7299995422363","33.0299987792969","170.080001831055","10876","-1","4866721","2020-03-27 06:41:30","153"
"135695","4442","-3176","3820","3339","-1247","4419","-21.6100006103516","36.4000015258789","-174.809997558594","10876","-1","4866762","2020-03-27 06:41:30","153"
"135696","3776","-3199","2151","7461","-802","2034","-2.05999994277954","34.2200012207031","-164.020004272461","10876","-1","4866803","2020-03-27 06:41:30","153"
"135697","-909","-2360","3163","6248","-3005","1335","13.5699996948242","28.0499992370605","-160.520004272461","10876","-2","4866844","2020-03-27 06:41:30","153"
"135698","-226","-3630","4384","8821","-3233","-2184","30.1800003051758","21.4200000762939","-164.429992675781","10876","-2","4866885","2020-03-27 06:41:30","153"
"135699","-7410","-4880","-1929","6586","-4273","-6152","44.0400009155273","21.7299995422363","179.300003051758","10876","1","4866926","2020-03-27 06:41:30","153"
"135700","-13705","-5056","-2355","-1477","-3322","-8879","39.2900009155273","29.0599994659424","156.429992675781","10877","1","4866967","2020-03-27 06:41:30","153"
"135701","-11384","-6378","-377","-8090","-769","-6259","16.1100006103516","36.8699989318848","135.860000610352","10877","1","4867008","2020-03-27 06:41:30","153"
"135702","-14219","-2088","10775","-11082","-3029","-1418","-18.4200000762939","31.6499996185303","123.26000213623","10877","1","4867049","2020-03-27 06:41:30","153"
"135703","1707","-1269","6715","-7174","-2348","5907","-32.6800003051758","32.0499992370605","135.350006103516","10877","2","4867090","2020-03-27 06:41:30","153"
"135704","5977","-1400","6067","-4863","-3054","4318","-37.439998626709","32.8600006103516","153.470001220703","10877","2","4867130","2020-03-27 06:41:30","153"
"135705","3864","-2070","4786","-2077","-3575","4428","-37.3499984741211","32.3400001525879","168.240005493164","10877","2","4867171","2020-03-27 06:41:30","153"
"135706","2319","-1782","7633","3162","-1680","3862","-27.7600002288818","31.8199996948242","-177.199996948242","10877","-1","4867212","2020-03-27 06:41:30","153"
"135707","2754","-3859","3598","8242","300","2237","-8.31999969482422","32.5499992370605","-168.539993286133","10877","-1","4867253","2020-03-27 06:41:30","153"
"135708","1485","-4203","2071","7345","-2975","564","12.3199996948242","30.4400005340576","-165.779998779297","10877","-1","4867294","2020-03-27 06:41:30","153"
"135709","570","-3275","1910","7914","-2628","-189","29.8099994659424","25.0599994659424","-167.550003051758","10877","-2","4867335","2020-03-27 06:41:30","153"
"135710","-5045","-2799","1205","6295","-4324","-3750","43.6300010681152","22.5799999237061","-177.490005493164","10877","-2","4867376","2020-03-27 06:41:30","153"
"135711","-10576","-4081","115","2497","-3647","-6703","46.75","24.1900005340576","164.369995117188","10878","1","4867417","2020-03-27 06:41:30","153"
