"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","mdlsport_id"
"126855","-8332","-3386","5440","-5311","1234","-3686","15","9.38000011444092","-119.120002746582","10130","2","4314395","2020-03-27 06:32:32","149"
"126856","-9453","-8470","12690","-11003","-3128","-2062","-7.6399998664856","8.40999984741211","-126.480003356934","10130","2","4314436","2020-03-27 06:32:32","149"
"126857","818","-2365","9223","-5618","1184","2976","-26.9099998474121","7.98000001907349","-121.870002746582","10130","2","4314477","2020-03-27 06:32:32","149"
"126858","2320","260","4925","-6069","-5577","7427","-38.9099998474121","11.2600002288818","-107.959999084473","10130","2","4314518","2020-03-27 06:32:32","149"
"126859","2974","1224","7914","-2061","-2607","5398","-44","14.0900001525879","-89.4000015258789","10130","-1","4314559","2020-03-27 06:32:32","149"
"126860","387","-2976","9930","2816","-3998","7885","-37.4799995422363","17.7000007629395","-71.2399978637695","10130","-1","4314600","2020-03-27 06:32:32","149"
"126861","7540","-4589","6201","7683","-383","4571","-18.4099998474121","20.8700008392334","-53.8600006103516","10130","-1","4314640","2020-03-27 06:32:32","149"
"126862","-1140","-6422","-7724","5671","-918","569","1.41999995708466","19.7800006866455","-49.7599983215332","10130","-2","4314681","2020-03-27 06:32:32","149"
"126863","2290","-3867","1707","6467","-3297","-1133","15.9099998474121","13.8599996566772","-52.3400001525879","10130","-2","4314722","2020-03-27 06:32:32","149"
"126864","-881","-3739","1723","7442","-3133","-4457","30.2099990844727","10.4099998474121","-63.310001373291","10130","1","4314763","2020-03-27 06:32:32","149"
"126865","-5063","-4030","-1480","4884","-2780","-6191","42.439998626709","12.8699998855591","-78.7699966430664","10131","1","4314804","2020-03-27 06:32:32","149"
"126866","-11299","-5430","1319","-2785","-1801","-6180","38.689998626709","20.2199993133545","-95.4000015258789","10131","1","4314845","2020-03-27 06:32:32","149"
"126867","-12227","-6434","8169","-8821","-1468","-4967","16.7199993133545","23.6700000762939","-110.089996337891","10131","1","4314886","2020-03-27 06:32:32","149"
"126868","-5090","-5128","12275","-10110","-2252","117","-11.2399997711182","21.2700004577637","-116.220001220703","10131","2","4314927","2020-03-27 06:32:32","149"
"126869","-2351","784","10737","-6882","-2494","4057","-31.3899993896484","17.3899993896484","-109.48999786377","10131","2","4314968","2020-03-27 06:32:32","149"
"126870","4012","294","5563","-3416","-3094","6297","-37","20","-93.5","10131","2","4315009","2020-03-27 06:32:32","149"
"126871","7938","-1337","2308","-1178","-3539","6174","-35.2200012207031","21.1299991607666","-74.0699996948242","10131","-1","4315049","2020-03-27 06:32:32","149"
"126872","4245","-2761","4373","3527","-1250","5614","-24.4699993133545","23.3999996185303","-56.7799987792969","10131","-1","4315092","2020-03-27 06:32:32","149"
"126873","5324","-3418","2017","6541","-399","2498","-6.67999982833862","24","-46.0699996948242","10131","-1","4315131","2020-03-27 06:32:32","149"
"126874","3987","-3743","1690","5976","-2944","-1039","8.52999973297119","20.2399997711182","-45.2299995422363","10131","-2","4315173","2020-03-27 06:32:32","149"
"126875","-386","-2343","3740","6963","-3248","-2093","21.6299991607666","14.6700000762939","-51.0800018310547","10131","-2","4315213","2020-03-27 06:32:32","149"
"126876","-3603","-3878","2474","6374","-4709","-5257","35.8499984741211","11.2799997329712","-64.0500030517578","10132","1","4315254","2020-03-27 06:32:32","149"
"126877","-7907","-3752","-875","1027","-4053","-6929","41.6300010681152","11.4899997711182","-83.3499984741211","10132","1","4315295","2020-03-27 06:32:32","149"
"126878","-9188","-5519","2146","-5817","-1607","-6116","30.8899993896484","18.6499996185303","-99.6600036621094","10132","1","4315336","2020-03-27 06:32:32","149"
"126879","-17542","-4475","18897","-12257","-2160","-1463","-0.25","19.5499992370605","-112.76000213623","10132","2","4315377","2020-03-27 06:32:32","149"
"126880","1081","-4895","6269","-9530","-3038","5211","-20.1800003051758","17.1399993896484","-103.019996643066","10132","2","4315418","2020-03-27 06:32:32","149"
"126881","7267","-430","7899","-7116","-6863","7263","-36.6699981689453","11.5699996948242","-80.4700012207031","10132","2","4315459","2020-03-27 06:32:32","149"
"126882","2047","-544","6642","497","-3135","5165","-39.2700004577637","11.0699996948242","-62.5099983215332","10132","-1","4315499","2020-03-27 06:32:32","149"
"126883","2069","-3444","5304","5369","-2089","5998","-27.7299995422363","13.3100004196167","-46.8400001525879","10132","-1","4315540","2020-03-27 06:32:32","149"
"126884","6196","-2968","4891","7103","564","3007","-9.85999965667725","15.5100002288818","-35.8800010681152","10132","-1","4315581","2020-03-27 06:32:32","149"
"126885","428","-4616","-8340","4497","-308","-1156","8.21000003814697","18.0200004577637","-36","10132","-2","4315623","2020-03-27 06:32:32","149"
"126886","-2027","-2245","7356","6172","-2750","-4446","16.9899997711182","11.4799995422363","-44.9000015258789","10132","-2","4315663","2020-03-27 06:32:32","149"
"126887","-1149","-4032","985","7998","-3399","-5477","34.1199989318848","10.5799999237061","-58.6599998474121","10132","-2","4315704","2020-03-27 06:32:32","149"
"126888","-8079","-1771","1402","4500","-3280","-5662","44.5999984741211","13.5799999237061","-76.3000030517578","10133","1","4315745","2020-03-27 06:32:32","149"
"126889","-9155","-3938","-1250","-1803","-1688","-6647","42.4799995422363","21.8299999237061","-92.0500030517578","10133","1","4315786","2020-03-27 06:32:32","149"
"126890","-12611","-7437","5081","-11216","-2198","-5411","18.5400009155273","27.7600002288818","-108.339996337891","10133","1","4315827","2020-03-27 06:32:32","149"
"126891","252","-1449","10638","-8317","-1970","2566","-11.6300001144409","20.6900005340576","-110.48999786377","10133","2","4315868","2020-03-27 06:32:32","149"
"126892","2938","575","6682","-7793","-3775","1817","-29.4099998474121","16.3299999237061","-104.330001831055","10133","2","4315908","2020-03-27 06:32:32","149"
"126893","-77","2347","8455","-2072","-2061","4196","-38.0999984741211","14.0500001907349","-92.9800033569336","10133","2","4315949","2020-03-27 06:32:32","149"
"126894","-2465","-2834","6426","786","-3758","8085","-33.0900001525879","17.4400005340576","-75.0800018310547","10133","-1","4315990","2020-03-27 06:32:32","149"
"126895","6432","-4573","4776","5545","-1446","7285","-16.6399993896484","20.7399997711182","-52.3699989318848","10133","-1","4316031","2020-03-27 06:32:32","149"
"126896","6948","-3614","2804","6763","-210","972","1.41999995708466","20.2000007629395","-43.3300018310547","10133","-1","4316072","2020-03-27 06:32:32","149"
"126897","370","-2578","972","3473","-3885","-305","12.9799995422363","15.1800003051758","-45.1500015258789","10133","-2","4316113","2020-03-27 06:32:32","149"
"126898","-945","-741","5089","6238","-2641","-1401","23.4500007629395","9.90999984741211","-49.7200012207031","10133","-2","4316154","2020-03-27 06:32:32","149"
"126899","-2375","-2400","4293","4981","-4571","-6363","36.3699989318848","7.59999990463257","-62.1199989318848","10133","1","4316195","2020-03-27 06:32:32","149"
"126900","-8211","-5316","2551","1691","-4449","-8671","41.4300003051758","10.8199996948242","-83.7799987792969","10134","1","4316236","2020-03-27 06:32:32","149"
"126901","-12790","-5253","-1801","-5037","-1170","-7794","30.8700008392334","21.75","-105.309997558594","10134","1","4316277","2020-03-27 06:32:32","149"
"126902","-14068","-5326","18030","-13803","-3827","-1403","-3.28999996185303","20.3199996948242","-119.319999694824","10134","1","4316318","2020-03-27 06:32:32","149"
"126903","-2268","84","8582","-5293","-27","4643","-21.7399997711182","18.8400001525879","-112.319999694824","10134","2","4316358","2020-03-27 06:32:32","149"
"126904","6518","-638","2610","-5316","-3699","6163","-28.3899993896484","19.6399993896484","-95.370002746582","10134","2","4316399","2020-03-27 06:32:32","149"
"126905","2386","653","6781","-3104","-3133","2994","-34.4300003051758","16.8999996185303","-81.5800018310547","10134","2","4316440","2020-03-27 06:32:32","149"
