"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","mdlsport_id"
"125382","-2156","1485","7891","-5384","-2657","-4102","49.2400016784668","-11.5500001907349","-108.720001220703","10002","1","4452385","2020-03-27 06:34:47","148"
"125383","-6345","1238","9576","-4089","-44","-6103","38.7599983215332","-3.3199999332428","-120.370002746582","10002","2","4452426","2020-03-27 06:34:47","148"
"125384","-9466","-6816","9636","-7541","-3255","-7208","24.0200004577637","2.07999992370605","-135.610000610352","10002","2","4452467","2020-03-27 06:34:47","148"
"125385","-10870","-4734","11066","-6511","707","-750","1.67999994754791","1.35000002384186","-148","10002","2","4452508","2020-03-27 06:34:47","148"
"125386","-1441","-5003","7435","-8777","-2160","1842","-17.6100006103516","0.689999997615814","-143.960006713867","10002","2","4452549","2020-03-27 06:34:47","148"
"125387","4071","2904","10984","-6119","-4518","4444","-39.4199981689453","-4.92999982833862","-130.240005493164","10002","2","4452589","2020-03-27 06:34:47","148"
"125388","3545","805","7294","-1189","-3953","7491","-46.2200012207031","-0.270000010728836","-114.419998168945","10002","-1","4452630","2020-03-27 06:34:47","148"
"125389","1155","-1093","6965","3278","-4112","7674","-42.8400001525879","4.32000017166138","-94.0199966430664","10002","-1","4452671","2020-03-27 06:34:47","148"
"125390","1191","-6214","-5854","5599","-2550","7602","-27.6000003814697","8.78999996185303","-72.9499969482422","10002","-1","4452712","2020-03-27 06:34:47","148"
"125391","10674","-3953","3050","8769","652","2182","-8.65999984741211","10.5600004196167","-60.5499992370605","10002","-2","4452753","2020-03-27 06:34:47","148"
"125392","4157","-5351","2715","7374","-2764","-4705","7.92000007629395","7.44000005722046","-63","10002","-2","4452794","2020-03-27 06:34:47","148"
"125393","2679","-8000","2163","10238","-2180","-8872","29.3999996185303","4.1100001335144","-78.620002746582","10003","1","4452835","2020-03-27 06:34:47","148"
"125394","-7761","-4416","-391","5725","-5563","-5175","45.5","8.11999988555908","-100.480003356934","10003","1","4452876","2020-03-27 06:34:47","148"
"125395","-11005","-4321","3396","-3291","-3007","-7428","43.7200012207031","12.1499996185303","-118.220001220703","10003","1","4452917","2020-03-27 06:34:47","148"
"125396","-10567","-5723","2943","-7662","-203","-1520","26.7000007629395","17.0699996948242","-129.169998168945","10003","1","4452958","2020-03-27 06:34:47","148"
"125397","-4756","-10967","13567","-15811","-4277","2593","-6.26999998092651","13.7600002288818","-129.570007324219","10003","2","4452998","2020-03-27 06:34:47","148"
"125398","2792","354","15775","-9225","-5063","6764","-35.9599990844727","6.17999982833862","-112.980003356934","10003","2","4453039","2020-03-27 06:34:47","148"
"125399","7656","-552","4595","-741","-4029","5542","-41.9300003051758","7.1399998664856","-92.5999984741211","10003","2","4453080","2020-03-27 06:34:47","148"
"125400","1791","-964","7551","1914","-802","3002","-39.3300018310547","8.40999984741211","-82.6900024414062","10003","-1","4453121","2020-03-27 06:34:47","148"
"125401","4305","-3277","3815","6509","-710","3757","-25.0100002288818","12.1899995803833","-73.7900009155274","10003","-1","4453162","2020-03-27 06:34:47","148"
"125402","5681","-3489","2669","8807","-173","1416","-5.3899998664856","11.710000038147","-67","10003","-1","4453205","2020-03-27 06:34:47","148"
"125403","4735","-4094","1171","5933","-3992","-1529","13.3900003433228","9.4399995803833","-68.9899978637695","10003","-1","4453244","2020-03-27 06:34:47","148"
"125404","-698","-2336","3615","7242","-4406","-3144","28.1800003051758","2.53999996185303","-78.7900009155274","10003","-1","4453285","2020-03-27 06:34:47","148"
"125405","-3501","-1766","3309","4050","-4830","-6101","41.8199996948242","2.15000009536743","-93.9700012207031","10003","1","4453326","2020-03-27 06:34:47","148"
"125406","-6592","-3045","2850","-469","-4964","-6144","45.1199989318848","3.03999996185303","-113.540000915527","10004","1","4453366","2020-03-27 06:34:47","148"
"125407","-9584","-5565","-188","-6461","66","-6005","34.3499984741211","10.2299995422363","-128.820007324219","10004","1","4453407","2020-03-27 06:34:47","148"
"125408","-8169","-6892","15042","-14027","-4179","1642","3.84999990463257","9.89999961853027","-135.509994506836","10004","2","4453448","2020-03-27 06:34:47","148"
"125409","-476","-1691","11093","-8831","-1563","5276","-22.7299995422363","6.1399998664856","-125.419998168945","10004","2","4453489","2020-03-27 06:34:47","148"
"125410","4597","-571","6514","-4434","-5906","9247","-35.9500007629395","6.55999994277954","-103.589996337891","10004","2","4453530","2020-03-27 06:34:47","148"
"125411","2988","-1881","5336","261","-5016","7486","-37.2099990844727","6.86999988555908","-79.2399978637695","10004","-1","4453571","2020-03-27 06:34:47","148"
"125412","7835","-3446","3895","4946","-2270","4868","-27.5100002288818","7.65999984741211","-60.4799995422363","10004","-1","4453612","2020-03-27 06:34:47","148"
"125413","3607","-3775","5011","6109","-425","525","-12.6999998092651","7.13000011444092","-56.1399993896484","10004","-1","4453653","2020-03-27 06:34:47","148"
"125414","228","-4839","-6033","8430","24","-3453","6.44999980926514","6.21000003814697","-59.6100006103516","10004","-2","4453694","2020-03-27 06:34:47","148"
"125415","-2712","-2044","5254","4921","-3620","-3828","18.2099990844727","-0.109999999403954","-68.3300018310547","10004","-2","4453735","2020-03-27 06:34:47","148"
"125416","1197","-2447","3457","6685","-2819","-6091","33.75","-3.03999996185303","-81.3499984741211","10004","-2","4453775","2020-03-27 06:34:47","148"
"125417","-7060","-4733","4978","4684","-3412","-8806","46.1599998474121","3.39000010490417","-102.830001831055","10004","1","4453816","2020-03-27 06:34:47","148"
"125418","-12243","-4346","563","-2659","-2337","-7028","44.6500015258789","15.8800001144409","-121.76000213623","10005","1","4453857","2020-03-27 06:34:47","148"
"125419","-10042","-6610","3230","-12011","-2013","-2452","21.7700004577637","19.2399997711182","-133.789993286133","10005","2","4453898","2020-03-27 06:34:47","148"
"125420","-1675","-4794","12405","-14210","-4714","1965","-13.4200000762939","12.5699996948242","-133.029998779297","10005","2","4453939","2020-03-27 06:34:47","148"
"125421","3928","1874","11763","-5580","-5646","7119","-35.3699989318848","5.59999990463257","-115.589996337891","10005","2","4453980","2020-03-27 06:34:47","148"
"125422","7518","-378","3596","-145","-2766","4852","-37.3300018310547","7.01999998092651","-97.9199981689453","10005","2","4454021","2020-03-27 06:34:47","148"
"125423","-603","-1814","9365","2452","-2967","4927","-32.6399993896484","7.48000001907349","-85.6699981689453","10005","-1","4454062","2020-03-27 06:34:47","148"
"125424","4271","-2478","3576","5790","-1506","3415","-19.1599998474121","7.05000019073486","-72.5599975585938","10005","-1","4454103","2020-03-27 06:34:47","148"
"125425","6931","-2949","6327","7876","-204","1198","-3.02999997138977","5.71999979019165","-66.7600021362305","10005","-2","4454144","2020-03-27 06:34:47","148"
"125426","6039","-4316","1270","6125","-4451","-2032","14.4200000762939","3.19000005722046","-69.4400024414063","10005","-2","4454184","2020-03-27 06:34:47","148"
"125427","-2486","-2157","4324","5937","-4370","-4121","28.5499992370605","-2.72000002861023","-81.4800033569336","10005","-2","4454225","2020-03-27 06:34:47","148"
"125428","-6445","-2440","3610","2489","-4244","-7136","40.4599990844727","-2.41000008583069","-98.0800018310547","10005","1","4454266","2020-03-27 06:34:47","148"
"125429","-10486","-293","2173","-3829","-3233","-2252","39","-1.36000001430511","-113.160003662109","10006","1","4454307","2020-03-27 06:34:47","148"
"125430","-3532","-4081","5561","-9210","381","-1346","22.0799999237061","-0.119999997317791","-117.01000213623","10006","2","4454348","2020-03-27 06:34:47","148"
"125431","-6673","-6196","14953","-12291","-917","657","-7.26999998092651","-0.209999993443489","-119.089996337891","10006","2","4454389","2020-03-27 06:34:47","148"
"125432","-2453","1112","9431","-5678","1479","2402","-27.2900009155273","3.4300000667572","-115.779998779297","10006","2","4454430","2020-03-27 06:34:47","148"
"125433","3825","424","7002","-3480","-3062","6501","-36.6699981689453","7.09999990463257","-102.23999786377","10006","2","4454471","2020-03-27 06:34:47","148"
"125434","5140","-1010","3699","386","-2070","4391","-36.5","9.84000015258789","-87.7300033569336","10006","-1","4454512","2020-03-27 06:34:47","148"
"125435","2980","-2961","4630","3877","-3487","5774","-28.8700008392334","10.3500003814697","-74.0599975585937","10006","-1","4454552","2020-03-27 06:34:47","148"
"125436","3644","-4009","3562","6691","-769","2186","-14.75","8.75","-63.1500015258789","10006","-1","4454593","2020-03-27 06:34:47","148"
"125437","7026","-5061","750","10058","-246","-1478","5.32000017166138","8.0600004196167","-61.8199996948242","10006","-2","4454634","2020-03-27 06:34:47","148"
"125438","840","-3822","2962","7099","-3113","-4014","22.2800006866455","3.95000004768372","-69.6900024414063","10006","-2","4454675","2020-03-27 06:34:47","148"
"125439","-1975","-2741","1754","6417","-4234","-5196","38.5","1.74000000953674","-84.4800033569336","10006","-2","4454716","2020-03-27 06:34:47","148"
"125440","-7416","-2595","3989","868","-5153","-7055","44.6599998474121","4.1399998664856","-104.699996948242","10006","1","4454757","2020-03-27 06:34:47","148"
"125441","-12642","-4910","5294","-3378","-1210","-6592","37.3300018310547","10.539999961853","-123.639999389648","10007","1","4454798","2020-03-27 06:34:47","148"
"125442","-9804","-4656","5575","-9670","-690","-4095","19.1900005340576","16.7800006866455","-134.419998168945","10007","2","4454839","2020-03-27 06:34:47","148"
"125443","-8014","-1321","17371","-10397","-2731","3860","-10.8100004196167","13.3199996948242","-135.860000610352","10007","2","4454880","2020-03-27 06:34:47","148"
"125444","6337","-1385","3851","-6591","-3176","6789","-25.0100002288818","12.539999961853","-119.540000915527","10007","2","4454921","2020-03-27 06:34:47","148"
"125445","6899","511","6576","-4881","-4719","4931","-35.7900009155273","9.32999992370606","-100.51000213623","10007","2","4454961","2020-03-27 06:34:47","148"
"125446","881","-632","6251","963","-3290","5077","-37.3899993896484","8.32999992370606","-87.1900024414063","10007","-1","4455002","2020-03-27 06:34:47","148"
"125447","5370","-3355","3704","5610","-1520","5480","-25.7299995422363","10.1300001144409","-71.129997253418","10007","-1","4455043","2020-03-27 06:34:47","148"
"125448","4919","-3773","3771","8374","-230","2277","-7.21999979019165","11.1599998474121","-62.3699989318848","10007","-1","4455086","2020-03-27 06:34:47","148"
"125449","4934","-3322","3650","6990","-2739","-1387","12.2799997329712","9.28999996185303","-62.6699981689453","10007","-1","4455125","2020-03-27 06:34:47","148"
"125450","-2880","-2679","3768","7848","-3918","-3337","29.7600002288818","3.91000008583069","-72.6900024414063","10007","-1","4455166","2020-03-27 06:34:47","148"
"125451","-3286","-1472","2403","5659","-4146","-5137","46.4099998474121","3.00999999046326","-85.7099990844727","10007","1","4455207","2020-03-27 06:34:47","148"
"125452","-6781","-1860","449","1569","-3603","-5467","53.8699989318848","6.69999980926514","-101.949996948242","10008","1","4455248","2020-03-27 06:34:47","148"
"125453","-8653","-2714","1884","-4931","-1790","-5604","45.5299987792969","14.6599998474121","-116.23999786377","10008","1","4455289","2020-03-27 06:34:47","148"
"125454","-12672","-5742","11183","-13136","-2495","-3077","18","19.0599994659424","-128.419998168945","10008","2","4455330","2020-03-27 06:34:47","148"
"125455","-2054","-3494","8740","-10903","-3501","5774","-10.7600002288818","13.8000001907349","-123.569999694824","10008","2","4455370","2020-03-27 06:34:47","148"
"125456","6010","-854","8153","-6188","-6349","9476","-28.3500003814697","7.34999990463257","-98.7200012207031","10008","2","4455411","2020-03-27 06:34:47","148"
"125457","4989","-1057","5085","-1006","-3750","4914","-32.8699989318848","4.98999977111816","-77.620002746582","10008","2","4455452","2020-03-27 06:34:47","148"
"125458","4106","-2151","6459","4303","-2356","4935","-27.2999992370605","4.28000020980835","-62.8400001525879","10008","-1","4455493","2020-03-27 06:34:47","148"
"125459","4194","-3711","251","7002","149","1067","-11.4099998474121","4.94999980926514","-56.439998626709","10008","-1","4455534","2020-03-27 06:34:47","148"
"125460","3118","-4518","-3463","8632","-299","-3434","7.6399998664856","4.57999992370606","-59.1100006103516","10008","-2","4455575","2020-03-27 06:34:47","148"
"125461","-2103","-3357","3401","6543","-3130","-4393","22.1299991607666","0.0700000002980232","-69.0599975585937","10008","-2","4455616","2020-03-27 06:34:47","148"
"125462","302","-1956","1680","7012","-2976","-4769","39.4000015258789","-1.48000001907349","-81.6600036621094","10008","1","4455657","2020-03-27 06:34:47","148"
"125463","-6919","-976","1692","3535","-4276","-5631","51.5200004577637","2.5","-98.3399963378906","10008","1","4455698","2020-03-27 06:34:47","148"
"125464","-9719","-1511","4419","-2390","-2095","-5519","49.7900009155273","9.48999977111816","-113.190002441406","10009","1","4455739","2020-03-27 06:34:47","148"
"125465","-9141","-4062","854","-8582","-970","-4951","34.1399993896484","16.7900009155273","-124.580001831055","10009","2","4455779","2020-03-27 06:34:47","148"
"125466","-3222","-5708","10848","-12156","-3297","437","2.08999991416931","13.2700004577637","-131.550003051758","10009","2","4455820","2020-03-27 06:34:47","148"
"125467","-1039","1229","11469","-8696","-3344","3990","-23.3500003814697","6.36999988555908","-124.839996337891","10009","2","4455861","2020-03-27 06:34:47","148"
"125468","5673","153","7680","-2096","-3398","7848","-32.439998626709","7.63000011444092","-106.720001220703","10009","2","4455902","2020-03-27 06:34:47","148"
"125469","6916","-2281","3653","1798","-3263","6095","-28.7199993133545","8.40999984741211","-87.3099975585938","10009","-1","4455943","2020-03-27 06:34:47","148"
"125470","3041","-2325","4283","5778","-982","2984","-17.0599994659424","7.59000015258789","-76","10009","-1","4455984","2020-03-27 06:34:47","148"
"125471","3626","-2568","1667","7809","63","1774","-0.0500000007450581","7.51999998092651","-70.3099975585937","10009","-2","4456026","2020-03-27 06:34:47","148"
"125472","4831","-3399","993","5812","-3108","-715","16.8799991607666","5.19999980926514","-70.0699996948242","10009","-2","4456066","2020-03-27 06:34:47","148"
"125473","-1899","-1042","3205","6716","-3131","-2227","31.7999992370605","1.75999999046326","-77.6699981689453","10009","-2","4456107","2020-03-27 06:34:47","148"
"125474","-1685","-353","2704","4440","-4043","-4106","45.6300010681152","0.219999998807907","-88.4899978637695","10009","1","4456148","2020-03-27 06:34:47","148"
"125475","-4552","-591","2275","1840","-3929","-6436","52.7400016784668","2.53999996185303","-104.830001831055","10010","1","4456188","2020-03-27 06:34:47","148"
"125476","-9963","-1814","1678","-2939","-1033","-5414","49.9199981689453","14.0600004196167","-117.680000305176","10010","1","4456229","2020-03-27 06:34:47","148"
"125477","-13063","-1080","14146","-10588","-2896","-3861","27.3099994659424","17.6200008392334","-129.410003662109","10010","2","4456270","2020-03-27 06:34:47","148"
"125478","-2726","-2537","3686","-8538","734","805","7.21000003814697","21.2399997711182","-130.529998779297","10010","2","4456311","2020-03-27 06:34:47","148"
"125479","-1151","-1650","7710","-10988","-3047","3206","-16.5100002288818","17.0799999237061","-124.169998168945","10010","2","4456352","2020-03-27 06:34:47","148"
"125480","3001","96","4226","-6035","-2617","4220","-31.5100002288818","16.7900009155273","-112.550003051758","10010","2","4456393","2020-03-27 06:34:47","148"
"125481","7381","715","3953","-2999","-5778","5569","-38.6500015258789","13.5","-94.4899978637695","10010","-1","4456434","2020-03-27 06:34:47","148"
"125482","3869","-2920","7670","4676","-1817","5381","-31.0400009155273","13.9799995422363","-77.7600021362305","10010","-1","4456475","2020-03-27 06:34:47","148"
"125483","3009","-4761","6390","8627","-2722","3478","-11.289999961853","12.8900003433228","-66.0100021362305","10010","-1","4456516","2020-03-27 06:34:47","148"
"125484","4543","-5148","1889","7877","-3330","-515","10.460000038147","6.73999977111816","-63.1300010681152","10010","-2","4456557","2020-03-27 06:34:47","148"
"125485","939","-2890","1931","7336","-4398","-2494","28.7700004577637","1.54999995231628","-70.5699996948242","10010","-2","4456597","2020-03-27 06:34:47","148"
"125486","-1708","-1820","3205","5069","-4753","-5183","43.6300010681152","-0.920000016689301","-84.8600006103516","10010","1","4456638","2020-03-27 06:34:47","148"
"125487","-6420","-2281","2343","1465","-4631","-7799","51.3199996948242","2.69000005722046","-104.540000915527","10011","1","4456679","2020-03-27 06:34:47","148"
"125488","-11981","-2696","855","-3378","-1059","-4932","46.189998626709","13.8199996948242","-119.650001525879","10011","1","4456720","2020-03-27 06:34:47","148"
