"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","mdlsport_id"
"168311","-897","-16137","10371","2043","-6191","10788","48.0299987792969","48.3199996948242","58.4099998474121","13482","-1","1317909","2020-03-27 07:20:36","174"
"168312","516","-16546","3047","3016","-8707","8315","54.4900016784668","19.0599994659424","57.560001373291","13482","1","1317950","2020-03-27 07:20:36","174"
"168313","927","-12549","1691","2611","-9387","4624","59.8800010681152","-7.05000019073486","46.6199989318848","13482","1","1317991","2020-03-27 07:20:36","174"
"168314","-1588","-8905","1503","147","-8642","421","67.0199966430664","-21.5100002288818","28.7999992370605","13482","1","1318032","2020-03-27 07:20:36","174"
"168315","-3808","-8182","3861","666","-5826","-4492","74.6100006103516","-22.5900001525879","8.85999965667725","13482","1","1318073","2020-03-27 07:20:36","174"
"168316","-5017","-7354","1643","1877","-4466","-5401","82.4899978637695","-12.9700002670288","-5.30000019073486","13482","2","1318114","2020-03-27 07:20:36","174"
"168317","-9511","-6242","1388","1379","-4398","-5752","87.1100006103516","1.78999996185303","-16.5699996948242","13482","2","1318155","2020-03-27 07:20:36","174"
"168318","-3809","-2792","-3749","770","-3479","-3311","88.7300033569336","12.289999961853","-27.1200008392334","13482","2","1318196","2020-03-27 07:20:36","174"
"168319","-8561","-1274","-2237","-3309","-2350","-2214","82.4100036621094","22.0400009155273","-34.2599983215332","13482","2","1318237","2020-03-27 07:20:36","174"
"168320","1241","1302","3342","-3884","383","-3156","69.7600021362305","25.7900009155273","-38.7299995422363","13482","2","1318278","2020-03-27 07:20:36","174"
"168321","-6582","3241","2357","-2704","-1096","-8216","57.4099998474121","40.3899993896484","-47.3800010681152","13482","-1","1318319","2020-03-27 07:20:36","174"
"168322","-9965","4363","4619","-3437","-731","-5689","33.7999992370605","50.6399993896484","-68.629997253418","13482","-1","1318360","2020-03-27 07:20:36","174"
"168323","-12122","-1462","10886","-6487","-1953","-8161","-1.50999999046326","51.4700012207031","-96.6699981689453","13482","-1","1318401","2020-03-27 07:20:36","174"
"168324","-10012","-5150","2379","-4319","2707","-4836","-32.1399993896484","50","-122.389999389648","13482","-1","1318442","2020-03-27 07:20:36","174"
"168325","-3600","-9960","7730","-13278","-4466","-2681","-59.1300010681152","42.1399993896484","-126.220001220703","13482","-1","1318483","2020-03-27 07:20:36","174"
"168326","-13110","1476","8820","-7637","-414","1364","-81.5999984741211","36.9300003051758","-121.330001831055","13482","-1","1318524","2020-03-27 07:20:36","174"
"168327","-3308","-4772","7609","-8490","-8539","11035","-86.4199981689453","54.9799995422363","-99.6600036621094","13482","-2","1318565","2020-03-27 07:20:36","174"
"168328","209","-2432","6370","-4510","-7444","11516","-36.0400009155273","71.9000015258789","-27.6900005340576","13482","-2","1318605","2020-03-27 07:20:36","174"
"168329","6848","-8474","10885","311","-3939","10990","25.2600002288818","55.8499984741211","45.25","13482","-2","1318646","2020-03-27 07:20:36","174"
"168330","4886","-10258","11460","6172","-4154","4782","43.8199996948242","39.2299995422363","58.7000007629395","13482","1","1318687","2020-03-27 07:20:36","174"
"168331","1508","-9563","5497","7178","-7258","3710","57.3300018310547","26.9500007629395","53.6800003051758","13482","1","1318728","2020-03-27 07:20:36","174"
"168332","-301","-7773","1183","6478","-4580","-611","70.5199966430664","20.8700008392334","44.2400016784668","13482","1","1318769","2020-03-27 07:20:36","174"
"168333","-1969","-5279","1713","4273","-5798","-2721","77.3199996948242","22.0900001525879","29","13482","2","1318810","2020-03-27 07:20:36","174"
"168334","406","-6777","2321","2165","-6396","-8343","76.3600006103516","30.4599990844727","9.68000030517578","13482","2","1318851","2020-03-27 07:20:36","174"
"168335","-15754","-10276","-2671","572","-1483","-12025","60.4099998474121","54.5900001525879","-19.3400001525879","13482","2","1318892","2020-03-27 07:20:36","174"
"168336","-22068","-5866","5725","-6740","-1522","-8934","2.44000005722046","67.6999969482422","-72.9300003051758","13482","2","1318934","2020-03-27 07:20:36","174"
"168337","-16650","-3872","7149","-8673","-308","-4880","-46.8499984741211","60.7200012207031","-107.680000305176","13482","-1","1318976","2020-03-27 07:20:36","174"
"168338","-9562","2568","8510","-8577","-1655","1818","-65.0599975585938","56.9599990844727","-103.449996948242","13482","-1","1319017","2020-03-27 07:20:36","174"
"168339","-2816","-1700","5632","-9448","-6285","7610","-60.2599983215332","64.5699996948242","-73.3600006103516","13482","-1","1319056","2020-03-27 07:20:36","174"
"168340","3039","-5348","6067","-6545","-6618","10454","-15.3000001907349","65.3300018310547","-2.88000011444092","13482","-2","1319097","2020-03-27 07:20:36","174"
"168341","9915","-6043","12501","1624","-1503","7542","16.9699993133545","53.8600006103516","42.2299995422363","13482","-2","1319138","2020-03-27 07:20:36","174"
"168342","6511","-8513","4927","6864","-2107","996","36.310001373291","46.1800003051758","51.2999992370605","13482","1","1319179","2020-03-27 07:20:36","174"
"168343","-98","-6468","-276","7534","-2586","-565","47.1399993896484","41.1199989318848","43.8699989318848","13483","1","1319220","2020-03-27 07:20:36","174"
"168344","1102","-3208","4204","6058","-4010","-123","54.8199996948242","34.4700012207031","35.5699996948242","13483","1","1319261","2020-03-27 07:20:36","174"
"168345","-1794","-3137","1012","7733","-3862","-2066","66.0999984741211","34.3899993896484","23.6499996185303","13483","2","1319302","2020-03-27 07:20:36","174"
"168346","-601","-4411","-2753","5043","-4911","-7225","71.8499984741211","40.7799987792969","6.71999979019165","13483","2","1319343","2020-03-27 07:20:36","174"
"168347","-15300","-8425","-5603","326","-1755","-10539","60.310001373291","61.3899993896484","-17.7299995422363","13483","2","1319384","2020-03-27 07:20:36","174"
"168348","-15645","-5658","2528","-6236","1014","-6516","6.67999982833862","75.4800033569336","-65.2900009155273","13483","2","1319425","2020-03-27 07:20:36","174"
"168349","-21049","-4063","9307","-9919","-607","-5821","-63.6399993896484","68.1100006103516","-117.319999694824","13483","-1","1319478","2020-03-27 07:20:36","174"
"168350","-5026","2320","7770","-7993","-772","2979","-79.0500030517578","68.5400009155273","-111.199996948242","13483","-1","1319507","2020-03-27 07:20:36","174"
"168351","377","-1379","4434","-8517","-5623","4890","-59.5099983215332","74.8600006103516","-69.9800033569336","13483","-1","1319548","2020-03-27 07:20:36","174"
"168352","2667","-1783","9084","-5442","-4827","6380","-11","71.4599990844727","-1.24000000953674","13483","-1","1319589","2020-03-27 07:20:36","174"
"168353","8410","-4333","9563","2413","-2127","6131","19.4899997711182","60.1199989318848","35.9500007629395","13483","-1","1319630","2020-03-27 07:20:36","174"
"168354","4590","-6299","188","5914","-2597","3087","38.439998626709","50.7099990844727","45.7200012207031","13484","1","1319671","2020-03-27 07:20:36","174"
