"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","mdlsport_id"
"146531","2829","-7909","2761","-2838","3536","4739","53.2299995422363","37.060001373291","17.4799995422363","11696","-1","416550","2019-01-01 00:06:47","161"
"146532","6258","-4978","5728","-2794","3875","4729","55.5299987792969","33.2000007629395","36.5400009155273","11696","-1","416591","2019-01-01 00:06:47","161"
"146533","1074","-5802","285","-1849","2268","7429","59","26.2000007629395","50.0499992370605","11696","-2","416632","2019-01-01 00:06:47","161"
"146534","13023","465","9106","-1390","3220","4901","58.3400001525879","14.6800003051758","66.0199966430664","11696","-2","416673","2019-01-01 00:06:47","161"
"146535","2280","3290","2766","-366","1938","3616","59.5299987792969","9.39000034332275","73.2600021362305","11696","-2","416714","2019-01-01 00:06:47","161"
"146536","-515","1486","-5581","-2573","1550","2848","57.5","4.05999994277954","81.4800033569336","11696","1","416755","2019-01-01 00:06:47","161"
"146537","2749","2376","631","-9315","3948","3606","42.310001373291","1.55999994277954","92.4499969482422","11696","1","416796","2019-01-01 00:06:47","161"
"146538","678","-10576","8151","-11147","612","8216","16.1700000762939","0.0900000035762787","106.580001831055","11696","1","416837","2019-01-01 00:06:47","161"
"146539","18141","-10407","3871","-5900","-2425","1742","-5.92000007629395","-5.55999994277954","125.01000213623","11696","1","416878","2019-01-01 00:06:47","161"
"146540","10944","-15902","17155","-12906","-4353","3767","-35.7000007629395","-12.5100002288818","130.470001220703","11696","1","416919","2019-01-01 00:06:47","161"
"146541","17074","-8227","15055","-10070","2752","-8497","-63.3499984741211","-17.6900005340576","134.070007324219","11696","1","416960","2019-01-01 00:06:47","161"
"146542","-1525","-4917","17234","-7669","6211","-11856","-73.0800018310547","-40.9199981689453","107.400001525879","11697","2","417001","2019-01-01 00:06:47","161"
"146543","-79","-6534","8068","-2551","11303","-12411","-43.4599990844727","-55.4099998474121","56.7000007629395","11697","2","417042","2019-01-01 00:06:47","161"
"146544","-3237","-17363","-1031","839","17883","-15841","3.48000001907349","-26.9799995422363","-10.539999961853","11697","2","417083","2019-01-01 00:06:47","161"
"146545","-7335","-12610","-709","2914","9552","-3588","11.1099996566772","10.8299999237061","-28.3999996185303","11697","2","417124","2019-01-01 00:06:47","161"
"146546","9413","-12152","4838","890","7779","3055","17.3600006103516","25.1800003051758","-20.9799995422363","11697","-1","417165","2019-01-01 00:06:47","161"
"146547","11230","-16768","5821","1898","6189","9502","31.8199996948242","35.189998626709","3.0699999332428","11697","-1","417206","2019-01-01 00:06:47","161"
"146548","7800","-9425","-2261","-41","6359","5328","50.3499984741211","34.7799987792969","31.7199993133545","11697","-1","417247","2019-01-01 00:06:47","161"
