"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","mdlsport_id"
"233627","491","-17005","6750","-1254","9177","-12873","-27.1700000762939","-39.7200012207031","154.179992675781","17713","1","7304800","2020-03-27 10:00:43","249"
"233628","-3249","-14020","5224","2652","8797","-7796","-6.46000003814697","-23.4200000762939","117.809997558594","17713","1","7304841","2020-03-27 10:00:43","249"
"233629","-1311","-11691","1267","4726","5564","-1797","5.53999996185303","-6.92000007629395","107.830001831055","17713","1","7304882","2020-03-27 10:00:43","249"
"233630","-1504","-10787","-910","3356","4064","1382","14.460000038147","4.23999977111816","109.870002746582","17713","-1","7304923","2020-03-27 10:00:43","249"
"233631","-1044","-11185","-910","2757","3321","3924","21.6399993896484","11.2399997711182","119.23999786377","17713","-1","7304964","2020-03-27 10:00:43","249"
"233632","3651","-10249","-2251","368","3348","5626","28.2000007629395","12.5699996948242","134.440002441406","17713","-1","7305005","2020-03-27 10:00:43","249"
"233633","5554","-5800","-1111","-613","2917","5510","29.8700008392334","12.6599998474121","151.300003051758","17713","-1","7305046","2020-03-27 10:00:43","249"
"233634","5175","-4021","-3028","156","1099","8305","32.8800010681152","6.23000001907349","168.699996948242","17713","-2","7305087","2020-03-27 10:00:43","249"
"233635","9148","-111","1228","-2653","299","3897","29.7999992370605","-0.730000019073486","-176.550003051758","17713","-2","7305128","2020-03-27 10:00:43","249"
"233636","8584","2673","6783","-1234","-992","5502","24.1800003051758","-7.71999979019165","-167.330001831055","17713","-2","7305169","2020-03-27 10:00:43","249"
"233637","8825","418","6277","70","-2062","4075","21.4699993133545","-14.7700004577637","-157.910003662109","17713","-2","7305210","2020-03-27 10:00:43","249"
"233638","15484","-2224","8098","-1430","-3029","6050","16.1200008392334","-27.2299995422363","-147.559997558594","17714","-2","7305252","2020-03-27 10:00:43","249"
"233639","11822","-1121","7015","-2552","-2489","3181","6.23999977111816","-37.1300010681152","-137.660003662109","17714","-2","7305292","2020-03-27 10:00:43","249"
"233640","8983","1259","4714","-4242","-1001","1647","-6.98000001907349","-41.5699996948242","-130.059997558594","17714","-2","7305333","2020-03-27 10:00:43","249"
"233641","1683","2259","5631","-6292","1546","-2118","-19.0100002288818","-40.6800003051758","-132.669998168945","17714","1","7305374","2020-03-27 10:00:43","249"
"233642","268","3029","7884","-4410","2377","-3853","-24.3299999237061","-38.810001373291","-144.960006713867","17714","1","7305415","2020-03-27 10:00:43","249"
"233643","-1739","1178","7897","-255","1164","-4860","-19.1700000762939","-38.3199996948242","-160.740005493164","17714","1","7305456","2020-03-27 10:00:43","249"
"233644","-2859","424","3839","2164","1402","-4638","-5.48000001907349","-37.810001373291","-176.839996337891","17714","2","7305497","2020-03-27 10:00:43","249"
"233645","-4617","-1300","-4014","2655","1709","-3086","8.38000011444092","-33.1500015258789","171.399993896484","17714","2","7305538","2020-03-27 10:00:43","249"
"233646","-3409","-1433","2387","-25","3256","-3358","13.5100002288818","-24.4200000762939","164.029998779297","17714","2","7305579","2020-03-27 10:00:43","249"
"233647","5094","-2870","-2992","3391","2805","276","19.4599990844727","-18.1399993896484","163.220001220703","17714","-1","7305620","2020-03-27 10:00:43","249"
"233648","-452","-2012","2110","2598","2339","3031","22","-10.3199996948242","167.929992675781","17714","-1","7305661","2020-03-27 10:00:43","249"
"233649","2914","-2023","121","2917","1277","4827","27.4699993133545","-10.7799997329712","179.029998779297","17714","-1","7305703","2020-03-27 10:00:43","249"
"233650","9460","-4329","2742","-1105","-634","7023","25.1599998474121","-18.2999992370605","-166.050003051758","17714","-1","7305743","2020-03-27 10:00:43","249"
"233651","17034","-7106","3910","-3642","-3556","6975","11.4300003051758","-31.2900009155273","-148.910003662109","17714","-1","7305784","2020-03-27 10:00:43","249"
"233652","18595","-3434","9419","-7307","-1539","3109","-12.7399997711182","-39.3300018310547","-133.449996948242","17714","-1","7305825","2020-03-27 10:00:43","249"
"233653","3503","-356","8155","-5688","-260","-1602","-29.2199993133545","-42.4900016784668","-133.169998168945","17715","-1","7305866","2020-03-27 10:00:43","249"
"233654","-2204","1697","6143","-6572","2092","-2615","-37.9700012207031","-42.7999992370606","-141.820007324219","17715","1","7305907","2020-03-27 10:00:43","249"
"233655","1773","2578","10763","-2755","2198","-4387","-40.1500015258789","-44.0999984741211","-154.679992675781","17715","1","7305948","2020-03-27 10:00:43","249"
"233656","-5288","-2584","6977","2800","3308","-5097","-23.5799999237061","-43.9700012207031","-176.539993286133","17715","1","7305989","2020-03-27 10:00:43","249"
"233657","-5425","-4733","4983","6260","3637","-4893","0.300000011920929","-38.5299987792969","166.539993286133","17715","2","7306030","2020-03-27 10:00:43","249"
"233658","-3209","-3408","-219","2377","4326","-1852","15.1199998855591","-28.3899993896484","160.600006103516","17715","2","7306071","2020-03-27 10:00:43","249"
"233659","74","-2686","-3303","2839","2821","1438","20.9699993133545","-20.6700000762939","163.119995117188","17715","-1","7306112","2020-03-27 10:00:43","249"
"233660","-1153","-2555","1651","-618","2664","2682","18.3199996948242","-14.4499998092651","167.949996948242","17715","-1","7306154","2020-03-27 10:00:43","249"
"233661","1505","-1371","3386","1009","1326","3895","17.2999992370605","-13.210000038147","176.809997558594","17715","-2","7306194","2020-03-27 10:00:43","249"
"233662","6941","-4279","3821","1143","-1637","7459","15.6999998092651","-18.4799995422363","-167.910003662109","17715","-2","7306235","2020-03-27 10:00:43","249"
"233663","21592","-6189","2974","-261","-4491","7579","9.52999973297119","-33.6199989318848","-149.369995117188","17715","-2","7306276","2020-03-27 10:00:43","249"
