"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","mdlsport_id"
"104697","-17664","-3484","-7557","4511","1472","-8590","-6.3899998664856","77.2200012207031","-152.199996948242","7973","1","1876371","2020-03-27 05:52:52","138"
"104698","-9815","-6566","-3627","-7331","-791","-9087","-73.7699966430664","68.9800033569336","143.610000610352","7973","1","1876412","2020-03-27 05:52:52","138"
"104699","-14618","-577","726","-8584","-4272","-8981","-88.1100006103516","44.5099983215332","151.979995727539","7973","2","1876453","2020-03-27 05:52:52","138"
"104700","-1908","-2602","6699","-13875","-7991","1428","-104.379997253418","41.0400009155273","169.830001831055","7973","2","1876494","2020-03-27 05:52:52","138"
"104701","-2585","-8377","6115","-13041","-8076","5017","-119.040000915527","57.2299995422363","-164.570007324219","7973","2","1876535","2020-03-27 05:52:52","138"
"104702","-4081","-6360","13884","-3263","-3036","6885","-136.570007324219","76.6999969482422","-161.149993896484","7973","2","1876576","2020-03-27 05:52:52","138"
"104703","-3625","-5877","3177","3678","-3676","7091","116.300003051758","83.2300033569336","85.2300033569336","7973","-1","1876616","2020-03-27 05:52:52","138"
"104704","-2432","-7015","1523","5611","-3214","7427","85.7200012207031","66.0899963378906","42.560001373291","7973","-1","1876657","2020-03-27 05:52:52","138"
"104705","-5247","-4960","-3277","5643","-6053","4118","82.7099990844727","51.4500007629395","22.1900005340576","7973","-1","1876698","2020-03-27 05:52:52","138"
"104706","24","-8009","-1637","8862","-5690","307","81.9899978637695","43.1800003051758","0.28999999165535","7973","-1","1876739","2020-03-27 05:52:52","138"
"104707","-4291","-12061","-18832","7067","-2878","-8724","95.0800018310547","55.310001373291","-14.5600004196167","7973","-1","1876780","2020-03-27 05:52:52","138"
"104708","-14335","-10429","-6670","153","-1300","-12620","114.379997253418","86.0400009155273","-0.850000023841858","7973","1","1876821","2020-03-27 05:52:52","138"
"104709","-20967","1063","-5579","-4651","-1332","-9948","-92.5199966430664","62.2400016784668","157.660003662109","7973","1","1876862","2020-03-27 05:52:52","138"
"104710","-4986","-449","2106","-10477","-5519","-170","-99.4800033569336","55.4599990844727","174.110000610352","7973","2","1876903","2020-03-27 05:52:52","138"
"104711","-1865","-3152","8862","-9602","-4530","1325","-105.309997558594","60.4700012207031","-162.070007324219","7973","2","1876944","2020-03-27 05:52:52","138"
"104712","-6523","-3043","12722","-2174","-2788","5873","-100.519996643066","70.5999984741211","-140.380004882813","7973","2","1876985","2020-03-27 05:52:52","138"
"104713","-3751","-6059","7119","5187","-1128","8201","25.8600006103516","89.0699996948242","-22.2299995422363","7973","-1","1877026","2020-03-27 05:52:52","138"
"104714","76","-4342","375","3936","-3892","5987","71.370002746582","71.9800033569336","12.6099996566772","7973","-1","1877066","2020-03-27 05:52:52","138"
"104715","-284","-4325","-1029","9363","-6109","4458","70.5100021362305","56.689998626709","-5.94000005722046","7973","-2","1877107","2020-03-27 05:52:52","138"
"104716","-2164","-7531","-6823","6563","-5997","-2853","74.6999969482422","51.2299995422363","-24.7900009155273","7973","-2","1877148","2020-03-27 05:52:52","138"
