"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","mdlsport_id"
"100290","6595","-19204","8568","-10860","4753","-9385","-74.4499969482422","-47.2299995422363","-69.0500030517578","7685","1","1249269","2020-03-27 05:42:39","136"
"100291","7580","-21259","7821","-8853","14078","-12498","-51.4599990844727","-60.560001373291","-125.860000610352","7685","1","1249310","2020-03-27 05:42:39","136"
"100292","-8485","-15767","3804","1934","8452","-7442","-6.92000007629395","-46.0099983215332","170.660003662109","7685","-1","1249351","2020-03-27 05:42:39","136"
"100293","177","-15121","-3710","2287","7564","-3089","6.73000001907349","-26.4899997711182","157.910003662109","7685","-1","1249392","2020-03-27 05:42:39","136"
"100294","-675","-13998","393","6356","3290","1661","15.4799995422363","-13.75","158.089996337891","7685","-1","1249433","2020-03-27 05:42:39","136"
"100295","8930","-11402","-10187","4993","4703","4339","26.9599990844727","-8.06999969482422","170.679992675781","7685","-1","1249474","2020-03-27 05:42:39","136"
"100296","-2157","-9815","680","903","3022","6651","27.8299999237061","-3.63000011444092","-176.429992675781","7685","-1","1249515","2020-03-27 05:42:39","136"
"100297","9266","-3492","-3214","5948","1704","5412","35.3699989318848","-8.61999988555908","-160.179992675781","7685","-1","1249555","2020-03-27 05:42:39","136"
"100298","-2245","-5532","-6025","6339","-842","6092","49.6399993896484","-16.7000007629395","-151.979995727539","7685","-1","1249596","2020-03-27 05:42:39","136"
"100299","21396","-2085","-2828","75","2089","8907","49.2900009155273","-30.3799991607666","-134.690002441406","7685","-1","1249637","2020-03-27 05:42:39","136"
"100300","14054","15","-3341","744","-1373","6776","48.4199981689453","-46.4799995422363","-127.029998779297","7685","1","1249678","2020-03-27 05:42:39","136"
"100301","17214","-6286","-1700","-2115","-1507","10637","21.8899993896484","-63.75","-97.4199981689453","7686","1","1249719","2020-03-27 05:42:39","136"
"100302","17041","2834","-5113","-4773","-2968","3099","-31.4699993133545","-64.7300033569336","-49.4700012207031","7686","1","1249760","2020-03-27 05:42:39","136"
"100303","3802","-504","6424","-13738","6240","-519","-54.9000015258789","-60.7599983215332","-52.0400009155273","7686","1","1249801","2020-03-27 05:42:39","136"
"100304","8545","192","11926","-9254","3579","-5461","-59.1699981689453","-62.5400009155274","-78.1699981689453","7686","2","1249842","2020-03-27 05:42:39","136"
"100305","2775","-5027","11167","-3174","6218","-8511","-24.9200000762939","-65.379997253418","-132.119995117188","7686","2","1249883","2020-03-27 05:42:39","136"
"100306","-547","-5600","-912","2812","2462","-5346","11.9899997711182","-57.8499984741211","-169.75","7686","-1","1249924","2020-03-27 05:42:39","136"
"100307","848","-4577","-8813","3074","3704","-3050","27.4400005340576","-46.2400016784668","178.919998168945","7686","-1","1249964","2020-03-27 05:42:39","136"
"100308","-260","-6224","1792","3240","5264","751","28.9899997711182","-33.7700004577637","-175.600006103516","7686","-2","1250005","2020-03-27 05:42:39","136"
"100309","1248","-7213","1238","6341","3082","2985","35.060001373291","-26.8099994659424","-165.589996337891","7686","-2","1250046","2020-03-27 05:42:39","136"
"100310","7453","-13583","-6080","9654","-515","9232","48.4300003051758","-35.2599983215332","-151.289993286133","7686","-2","1250087","2020-03-27 05:42:39","136"
"100311","29875","-9685","-11769","3531","-1608","14758","45.8400001525879","-65.4400024414062","-125.580001831055","7686","-2","1250128","2020-03-27 05:42:39","136"
"100312","16380","3197","-6837","-6459","2064","7572","-29.3199996948242","-75.5199966430664","-51.7299995422363","7686","1","1250169","2020-03-27 05:42:39","136"
"100313","9567","4020","3350","-10002","3685","-1128","-51.0699996948242","-62.7000007629395","-54.2599983215332","7686","1","1250210","2020-03-27 05:42:39","136"
"100314","6335","1925","9179","-7418","1941","-5105","-51.7999992370605","-67.7600021362305","-76.4899978637695","7686","2","1250251","2020-03-27 05:42:39","136"
"100315","4024","-2624","8501","-2807","2563","-7140","-14.4499998092651","-71.6800003051758","-128.320007324219","7687","2","1250292","2020-03-27 05:42:39","136"
