"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","mdlsport_id"
"106180","-17399","1798","431","2430","-2268","-9498","53.5","27.7299995422363","146.410003662109","8136","1","2256285","2020-03-27 05:59:30","140"
"106181","-10556","-1526","273","-481","50","-5571","48.3199996948242","39.5099983215332","132.240005493164","8136","1","2256326","2020-03-27 05:59:30","140"
"106182","-9681","-10003","452","-5601","-2506","-12373","20.2299995422363","51.560001373291","102.959999084473","8136","2","2256367","2020-03-27 05:59:30","140"
"106183","-16729","-2601","784","-7773","1300","-6527","-31.5100002288818","44.310001373291","61.2099990844727","8136","2","2256408","2020-03-27 05:59:30","140"
"106184","-10572","54","4436","-12696","-3321","571","-61.9199981689453","42.6500015258789","54.7099990844727","8136","2","2256449","2020-03-27 05:59:30","140"
"106185","-3960","-3653","8599","-12640","-5008","6431","-77.9199981689453","48.6199989318848","76.4599990844727","8136","2","2256490","2020-03-27 05:59:30","140"
"106186","1965","-6327","11200","-8552","-9721","7718","-69.1100006103516","62.810001373291","117.110000610352","8136","2","2256531","2020-03-27 05:59:30","140"
"106187","-1386","-4165","11053","2520","-4401","7029","-23.8600006103516","61.8400001525879","174.830001831055","8136","-1","2256572","2020-03-27 05:59:30","140"
"106188","-76","-6638","3825","6549","-3133","5961","15.3100004196167","56.0099983215332","-155.759994506836","8136","-1","2256613","2020-03-27 05:59:30","140"
"106189","-2964","-7865","4219","9134","-5005","2766","39.4199981689453","43.3899993896484","-148.589996337891","8136","-1","2256654","2020-03-27 05:59:30","140"
"106190","-8131","-6647","-806","8352","-7423","-151","53.1699981689453","31.1700000762939","-161.669998168945","8136","-1","2256695","2020-03-27 05:59:30","140"
"106191","-4776","-13929","-9706","9881","-4467","-8547","63.6199989318848","31.3099994659424","176.059997558594","8136","1","2256735","2020-03-27 05:59:30","140"
"106192","-15894","-15785","-6258","-3857","-3895","-15608","51.0900001525879","59.189998626709","146.639999389648","8136","1","2256776","2020-03-27 05:59:30","140"
"106193","-21308","-2058","2798","-6463","-1439","-10714","-34.1199989318848","57.3699989318848","70.2900009155273","8136","1","2256817","2020-03-27 05:59:30","140"
"106194","-9284","3023","1018","-10002","-5093","1830","-56.2299995422363","48.8300018310547","66.5599975585937","8136","2","2256858","2020-03-27 05:59:30","140"
"106195","-2653","-2288","5564","-8981","-3343","5798","-60.9000015258789","52.439998626709","91.4000015258789","8136","2","2256899","2020-03-27 05:59:30","140"
"106196","-3086","-7116","7132","-8402","-7625","8094","-51.8400001525879","59.7299995422363","126.519996643066","8136","2","2256940","2020-03-27 05:59:30","140"
"106197","3780","-6802","13539","4359","-1760","8644","-9.90999984741211","60.5800018310547","-178.509994506836","8136","-1","2256981","2020-03-27 05:59:30","140"
"106198","1149","-7119","2255","6833","-5654","3574","25.1100006103516","50.5800018310547","-156.970001220703","8136","-1","2257022","2020-03-27 05:59:30","140"
"106199","-22533","-2218","6425","-3366","-2971","-11097","40.75","33.5200004577637","140.940002441406","8136","1","2284588","2020-03-27 05:59:30","140"
"106200","-11296","-8569","-5101","-673","1011","-13200","18.8299999237061","48.1500015258789","111.26000213623","8136","1","2284628","2020-03-27 05:59:30","140"
"106201","-24716","674","3095","-9230","-7388","-5174","-28.5699996948242","34.7700004577637","72.0699996948242","8136","2","2284669","2020-03-27 05:59:30","140"
"106202","-4858","-2097","3177","-10911","-2251","2701","-48.5499992370606","34.689998626709","75.9100036621094","8136","2","2284710","2020-03-27 05:59:30","140"
