"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","mdlsport_id"
"98813","-5765","-14902","6433","8615","1197","-4101","-100.519996643066","45.6800003051758","136.490005493164","7525","-1","734868","2019-01-01 00:11:58","135"
"98814","-13814","-18545","8119","12612","3504","-2430","-77.9899978637695","36.8899993896484","129.410003662109","7525","-1","734909","2019-01-01 00:11:58","135"
"98815","-10028","-22723","3391","16894","8843","174","-51.0099983215332","42.3300018310547","112.550003051758","7525","-1","734950","2019-01-01 00:11:58","135"
"98816","-7543","-18236","-5835","13032","13945","2674","-42.8899993896484","66.25","76.4899978637695","7525","-1","734990","2019-01-01 00:11:58","135"
"98817","-2458","-15399","551","3995","9990","3687","-138.699996948242","80.870002746582","-38.8499984741211","7525","-1","735031","2019-01-01 00:11:58","135"
"98818","-2196","-15819","-3656","-2993","5918","5034","175.220001220703","64.370002746582","-89.7300033569336","7525","1","735072","2019-01-01 00:11:58","135"
"98819","2153","-16311","5112","-6744","6131","1937","155.419998168945","49.2999992370605","-97.0899963378906","7525","1","735113","2019-01-01 00:11:58","135"
"98820","5597","-7352","12227","512","3658","-3061","153.160003662109","40.3899993896484","-86.3899993896484","7525","1","735154","2019-01-01 00:11:58","135"
"98821","-3048","-9326","966","-9062","1711","-4251","153.149993896484","39.9599990844727","-68.3899993896484","7525","1","735195","2019-01-01 00:11:58","135"
"98822","3934","-6258","-1521","-7415","-1872","4388","132.910003662109","38.6100006103516","-68.9599990844727","7525","2","735236","2019-01-01 00:11:58","135"
"98823","1843","-5591","15449","-10934","173","-271","99.3300018310547","37.9000015258789","-76.379997253418","7525","2","735279","2019-01-01 00:11:58","135"
"98824","-8846","-5447","13080","-3822","259","-6662","83.5199966430664","47.9599990844727","-75.0899963378906","7525","2","735318","2019-01-01 00:11:58","135"
"98825","-7862","-1627","15024","-10484","-3421","-1748","51.0900001525879","59.2700004577637","-90.1600036621094","7525","2","735359","2019-01-01 00:11:58","135"
"98826","-10238","-2119","16501","-4250","4139","-12297","-5.30999994277954","66.5100021362305","-130.679992675781","7525","-1","735399","2019-01-01 00:11:58","135"
"98827","-7180","3529","10190","2820","1328","-7440","-44.4199981689453","56.9199981689453","-173.279998779297","7525","-1","735440","2019-01-01 00:11:58","135"
"98828","-7909","-276","5731","10259","3487","-6385","-50.1100006103516","49.5900001525879","155.820007324219","7525","-1","735481","2019-01-01 00:11:58","135"
"98829","-12061","-7571","-2960","13915","4354","-3002","-34.7000007629395","47.9500007629395","134.779998779297","7525","-2","735522","2019-01-01 00:11:58","135"
"98830","-11044","-5610","-7527","4159","3732","6066","-12.4799995422363","60.75","135.309997558594","7525","-2","735563","2019-01-01 00:11:58","135"
"98831","2438","-9057","-507","-526","3132","9714","35.5400009155273","66.0299987792969","-176.179992675781","7525","-2","735604","2019-01-01 00:11:58","135"
"98832","-2624","-5821","1675","-2917","6355","4097","79.0999984741211","63.9300003051758","-126.73999786377","7525","1","735645","2019-01-01 00:11:58","135"
"98833","1522","-8161","2242","-4593","4883","2952","93.8000030517578","55.689998626709","-99.2099990844727","7525","1","735686","2019-01-01 00:11:58","135"
"98834","7295","-13073","5386","-11241","-7","-600","80.129997253418","52.2799987792969","-93.0100021362305","7525","2","735727","2019-01-01 00:11:58","135"
"98835","-5022","-12696","25066","-14109","-2579","-7404","29.9400005340576","55.4000015258789","-113.519996643066","7525","2","735768","2019-01-01 00:11:58","135"
"98836","-10866","6620","24464","-4281","925","-8091","-27.7700004577637","54.0999984741211","-152.509994506836","7525","2","735808","2019-01-01 00:11:58","135"
"98837","-4578","3303","4362","6539","5950","-7960","-41.8499984741211","49.6699981689453","177.259994506836","7525","-1","735849","2019-01-01 00:11:58","135"
"98838","-10561","-1192","-1048","10638","4630","-4088","-41.5499992370606","48.9900016784668","147.160003662109","7526","-1","735890","2019-01-01 00:11:58","135"
"98839","-5002","-4706","-5276","8952","6256","11","-32.4500007629395","58.5099983215332","128.279998779297","7526","-2","735931","2019-01-01 00:11:58","135"
"98840","-5390","-5648","-6513","4078","3168","3790","-15.6300001144409","70.1699981689453","130.25","7526","-2","735972","2019-01-01 00:11:58","135"
"98841","-2547","-7393","-3909","-1629","5375","4662","37.5999984741211","80.4199981689453","-176.289993286133","7526","-2","736013","2019-01-01 00:11:58","135"
"98842","-890","-9497","1520","-5772","4235","6732","92.0400009155273","70.2099990844727","-109.980003356934","7526","1","736054","2019-01-01 00:11:58","135"
"98843","4318","-9973","2169","-10078","3153","2402","95.3399963378906","58.689998626709","-86.1900024414063","7526","1","736095","2019-01-01 00:11:58","135"
"98844","-947","-16841","21614","-15953","-1248","-5865","55.9099998474121","61.7999992370605","-92.2300033569336","7526","1","736136","2019-01-01 00:11:58","135"
"98845","-12680","6428","28871","-1438","-1085","-7516","-13.5600004196167","66.6600036621094","-140.649993896484","7526","1","736176","2019-01-01 00:11:58","135"
"98846","-4757","-23","2150","8467","4991","-9485","-39.0999984741211","60.3499984741211","175.449996948242","7526","-1","736217","2019-01-01 00:11:58","135"
"98847","-10291","-1601","-3779","10434","3136","-4967","-48.2599983215332","55.0200004577637","134.770004272461","7527","-1","736258","2019-01-01 00:11:58","135"
"98848","-8972","-2717","-9272","6808","4988","2639","-37.8400001525879","61.560001373291","120.410003662109","7527","-1","736300","2019-01-01 00:11:58","135"
"98849","-4563","-4721","-2794","2706","2040","5897","-6.3600001335144","73.8600006103516","145.160003662109","7527","-1","736340","2019-01-01 00:11:58","135"
"98850","217","-5379","-3905","1153","1639","3023","38.2400016784668","74.9000015258789","-173.979995727539","7527","1","736381","2019-01-01 00:11:58","135"
"98851","-2144","-5484","1054","-3987","2832","6454","68.3399963378906","68.6999969482422","-137.539993286133","7527","1","736422","2019-01-01 00:11:58","135"
"98852","760","-7204","-552","-8521","6082","3182","82.5500030517578","59.2599983215332","-105.819999694824","7527","1","736463","2019-01-01 00:11:58","135"
"98853","1021","-15455","15196","-14770","-880","-2500","56.7700004577637","59.0499992370606","-97.0400009155273","7527","1","736504","2019-01-01 00:11:58","135"
"98854","-18030","-906","30179","-5266","2587","-11594","-21.25","68.0699996948242","-149.770004272461","7527","1","736545","2019-01-01 00:11:58","135"
"98855","-7217","3072","5819","7900","2953","-7193","-42.0099983215332","57.6399993896484","176.539993286133","7527","-1","736586","2019-01-01 00:11:58","135"
"98856","-10663","-2525","-6845","10799","1569","-3447","-43.3400001525879","54.4700012207031","143.320007324219","7527","-1","736626","2019-01-01 00:11:58","135"
"98857","-5367","-980","-6463","6314","3561","2257","-24.2800006866455","58.9799995422363","141.789993286133","7528","-2","736667","2019-01-01 00:11:58","135"
"98858","-11090","-4002","-6844","3565","806","5048","3.83999991416931","67.0899963378906","160.089996337891","7528","-2","736708","2019-01-01 00:11:58","135"
"98859","-798","-5244","-3669","-533","2888","3217","34.3600006103516","68.6999969482422","-171.910003662109","7528","-2","736749","2019-01-01 00:11:58","135"
"98860","-1118","-7120","572","-5114","4523","5549","63.9099998474121","67.8099975585937","-131.759994506836","7528","1","736790","2019-01-01 00:11:58","135"
"98861","1854","-7951","1306","-8854","4916","2136","78.4199981689453","61.1199989318848","-99.2799987792969","7528","1","736831","2019-01-01 00:11:58","135"
"98862","4118","-8019","25791","-12139","-1471","-2005","49.7599983215332","60.560001373291","-96.2799987792969","7528","2","736874","2019-01-01 00:11:58","135"
"98863","-6975","-2502","18674","-3745","-1325","-9392","3.11999988555908","61.6100006103516","-130.919998168945","7528","2","736913","2019-01-01 00:11:58","135"
"98864","-12645","1603","7512","6379","4060","-10967","-38.8600006103516","55.5699996948242","174.279998779297","7529","-1","736954","2019-01-01 00:11:58","135"
"98865","-10023","-1368","-3729","9185","2557","-4130","-41.3800010681152","50.2700004577637","144.429992675781","7529","-1","736994","2019-01-01 00:11:58","135"
"98866","-6909","-2616","-9228","6209","3304","3149","-27.25","57.3899993896484","136.990005493164","7529","-1","737035","2019-01-01 00:11:58","135"
"98867","-829","-3224","-3612","2964","600","6564","4.69999980926514","64.6999969482422","162.339996337891","7529","-1","737076","2019-01-01 00:11:58","135"
