"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","mdlsport_id"
"94666","-11833","375","-2296","-3320","-3501","-9413","60.9500007629395","18.5300006866455","-81.3600006103516","7062","1","541137","2019-01-01 00:08:49","134"
"94667","-9763","-7107","6048","-4447","-660","-10174","41.8699989318848","35.9700012207031","-99.5999984741211","7062","1","541178","2019-01-01 00:08:49","134"
"94668","-26531","-3605","4716","-3019","3229","-9262","1.41999995708466","48.8300018310547","-141.800003051758","7062","1","541219","2019-01-01 00:08:49","134"
"94669","-8252","-6238","9078","-10697","-1806","-8674","-40.1399993896484","52.8699989318848","-173.389999389648","7062","2","541260","2019-01-01 00:08:49","134"
"94670","-13996","2850","9406","-10577","-7633","4683","-62.8600006103516","37.060001373291","-162.559997558594","7062","2","541301","2019-01-01 00:08:49","134"
"94671","-3272","-3534","6411","-9310","-6653","8679","-65.2799987792969","49.2400016784668","-134.440002441406","7062","2","541342","2019-01-01 00:08:49","134"
"94672","4868","-10771","12843","-5202","-6698","12008","-38.1599998474121","58.8199996948242","-77.5699996948242","7062","-1","541383","2019-01-01 00:08:49","134"
"94673","11890","-8904","9596","6421","-2652","5445","4.8600001335144","58.8300018310547","-34","7062","-1","541424","2019-01-01 00:08:49","134"
"94674","-5101","-7170","-1698","5089","-5832","1649","19.7700004577637","43.810001373291","-31.6200008392334","7062","-1","541465","2019-01-01 00:08:49","134"
"94675","-953","-12451","5401","15221","-3755","-1511","40.5","36.4799995422363","-35.8899993896484","7062","-1","541505","2019-01-01 00:08:49","134"
"94676","-4465","-15498","-15235","9799","-5294","-7476","59.4099998474121","37.9700012207031","-59.5299987792969","7062","-1","541546","2019-01-01 00:08:49","134"
"94677","-15890","-14858","-6532","-3159","-1777","-13305","40.7599983215332","59.0400009155273","-91.5599975585937","7062","1","541587","2019-01-01 00:08:49","134"
"94678","-25874","-352","10097","-9701","-2065","-4767","-26.8899993896484","58.4199981689453","-146.460006713867","7062","1","541628","2019-01-01 00:08:49","134"
"94679","988","2691","8572","-9895","-5206","2332","-45.0800018310547","53.1599998474121","-140.25","7062","1","541669","2019-01-01 00:08:49","134"
"94680","-1517","1957","9248","-6289","-4765","4323","-45.4500007629395","49.8199996948242","-116.309997558594","7062","1","541710","2019-01-01 00:08:49","134"
"94681","1559","-6593","15457","-2264","-7404","8535","-29.1900005340576","46.4300003051758","-78.9800033569336","7062","-1","541751","2019-01-01 00:08:49","134"
"94682","5456","-6252","3001","7406","-1188","3303","-2.35999989509583","43.4799995422363","-57.1399993896484","7062","-1","541792","2019-01-01 00:08:49","134"
"94683","4055","-6974","7095","9510","-2284","505","18.9599990844727","37.8400001525879","-52.1199989318848","7062","-2","541833","2019-01-01 00:08:49","134"
"94684","-2311","-13932","-8824","15984","-2552","-6243","44.3199996948242","36.7799987792969","-66.0199966430664","7063","-2","541874","2019-01-01 00:08:49","134"
"94685","-10885","-10942","-14671","-4483","-3046","-9840","45.1599998474121","47.9700012207031","-88.9199981689453","7063","-2","541914","2019-01-01 00:08:49","134"
"94686","-27713","-5262","7691","-10111","-2017","-6673","-9.53999996185303","51.0800018310547","-128.119995117188","7063","1","541965","2019-01-01 00:08:49","134"
"94687","-4685","-1065","6046","-9465","-1276","290","-34.0800018310547","52.6699981689453","-134.520004272461","7063","1","541996","2019-01-01 00:08:49","134"
"94688","1495","-89","11629","-8669","-5289","4959","-42.4700012207031","47.4900016784668","-112.480003356934","7063","1","542037","2019-01-01 00:08:49","134"
"94689","7244","-5192","7516","-3842","-7084","6774","-33.7400016784668","46.4599990844727","-82.7399978637695","7063","1","542078","2019-01-01 00:08:49","134"
"94690","1012","-4747","7559","4187","-1496","4283","-16.1100006103516","41.4500007629395","-59.7299995422363","7063","-1","542119","2019-01-01 00:08:49","134"
"94691","9043","-3368","3640","5788","-4945","2798","3.80999994277954","35.5800018310547","-48.1500015258789","7063","-2","542160","2019-01-01 00:08:49","134"
"94692","3180","-9757","9824","13655","-2178","-5655","22.4899997711182","29.6299991607666","-55.5099983215332","7064","-2","542201","2019-01-01 00:08:49","134"
"94693","-10736","-11638","-13849","11468","-4386","-6783","45.6100006103516","34.1300010681152","-78.3499984741211","7064","-2","542242","2019-01-01 00:08:49","134"
"94694","-11372","-9642","-7805","-5558","-937","-9017","34.3199996948242","44.5200004577637","-101.559997558594","7064","1","542283","2019-01-01 00:08:49","134"
"94695","-19233","-8360","11662","-12184","-3656","-7217","-13.9300003051758","44.9199981689453","-132.440002441406","7064","1","542323","2019-01-01 00:08:49","134"
"94696","-4274","1538","7817","-9472","-2660","5197","-36.6399993896484","41.5","-128.919998168945","7064","1","542364","2019-01-01 00:08:49","134"
"94697","6325","-4097","7568","-7856","-6543","8403","-37.9799995422363","40.5200004577637","-96.5999984741211","7064","1","542405","2019-01-01 00:08:49","134"
"94698","4004","-4536","11392","953","-3719","6571","-27.6100006103516","40","-68.6100006103516","7064","-1","542446","2019-01-01 00:08:49","134"
"94699","2913","-4894","6651","6467","-1159","3326","-5.53000020980835","38.0800018310547","-53.4300003051758","7065","-1","542487","2019-01-01 00:08:49","134"
"94700","5212","-5462","6198","8395","-1710","-89","14.3800001144409","33.3800010681152","-48.8199996948242","7065","-1","542528","2019-01-01 00:08:49","134"
"94701","-2328","-11431","-631","14248","-3785","-7193","35.2000007629395","30.2199993133545","-64.1699981689453","7065","-1","542569","2019-01-01 00:08:49","134"
"94702","-10054","-9565","-13306","3792","-1742","-8038","47.8300018310547","40.2700004577637","-85.129997253418","7065","1","542610","2019-01-01 00:08:49","134"
"94703","-23104","-6752","2980","-9722","-3076","-9083","10.8000001907349","47.560001373291","-119.069999694824","7065","1","542651","2019-01-01 00:08:49","134"
"94704","-10950","-787","6599","-10157","-252","1322","-21.2900009155273","46.2599983215332","-129.820007324219","7065","2","542691","2019-01-01 00:08:49","134"
"94705","5901","-1632","8318","-10754","-5845","6815","-33.0200004577637","43.5699996948242","-107.220001220703","7065","2","542732","2019-01-01 00:08:49","134"
"94706","5330","-3605","8281","-4366","-4206","6182","-31.8500003814697","41.6100006103516","-80.5800018310547","7065","2","542774","2019-01-01 00:08:49","134"
"94707","1943","-4880","8363","2806","-3067","5159","-17.8199996948242","37.1399993896484","-56.2900009155274","7065","-1","542814","2019-01-01 00:08:49","134"
"94708","-127","-6898","-10029","7798","-1129","1307","3.76999998092651","34.1500015258789","-46.4000015258789","7065","-2","542855","2019-01-01 00:08:49","134"
"94709","1619","-6123","5613","10788","-3993","-3994","21.1499996185303","28.5499992370605","-52.1199989318848","7065","-2","542896","2019-01-01 00:08:49","134"
"94710","-11215","-11911","-7990","12437","-4306","-7477","42.4300003051758","28.4200000762939","-73.120002746582","7066","-2","542937","2019-01-01 00:08:49","134"
"94711","-13859","-8983","-10445","-5645","-1914","-10437","34.4799995422363","40.7400016784668","-98.4499969482422","7066","1","542978","2019-01-01 00:08:49","134"
"94712","-23020","-952","15097","-11206","-829","-2611","-10.1800003051758","42.7299995422363","-124.970001220703","7066","1","543021","2019-01-01 00:08:49","134"
"94713","-542","-757","7444","-10659","-3237","5434","-27.7199993133545","43.9500007629395","-115.930000305176","7066","2","543060","2019-01-01 00:08:49","134"
"94714","7096","-3801","8288","-7590","-5239","6697","-31.6000003814697","40.3600006103516","-86.5299987792969","7066","2","543100","2019-01-01 00:08:49","134"
"94715","3926","-2764","10433","-779","-4554","5374","-26.3199996948242","36.4099998474121","-62.2099990844727","7066","-1","543141","2019-01-01 00:08:49","134"
"94716","3242","-4800","7251","7661","-763","2630","-8.72000026702881","34.2999992370605","-50.3400001525879","7066","-1","543182","2019-01-01 00:08:49","134"
"94717","7346","-7720","3936","9151","-2458","-802","12.4899997711182","31.8999996185303","-47.5699996948242","7067","-1","543223","2019-01-01 00:08:49","134"
"94718","-2337","-8339","859","12810","-3835","-7113","31.8299999237061","29.2999992370605","-63.2599983215332","7067","-1","543264","2019-01-01 00:08:49","134"
"94719","-11523","-9214","-17491","5119","-1975","-10492","42.2400016784668","38.0299987792969","-89.7099990844727","7067","-1","543305","2019-01-01 00:08:49","134"
"94720","-23136","-10246","4509","-12451","-4105","-7840","5.57999992370606","44.9300003051758","-121.790000915527","7067","-1","543346","2019-01-01 00:08:49","134"
"94721","-11647","-320","9177","-9727","1255","2582","-27.3199996948242","43.2700004577637","-128.210006713867","7067","1","543387","2019-01-01 00:08:49","134"
"94722","5274","-6132","6847","-11332","-6609","9121","-35.5699996948242","45.4199981689453","-102.339996337891","7067","1","543428","2019-01-01 00:08:49","134"
"94723","9276","-6129","10835","-3702","-5759","7013","-29.3299999237061","43.1500015258789","-67.9499969482422","7067","1","543469","2019-01-01 00:08:49","134"
"94724","2361","-5285","5932","6108","-3069","2213","-12.8500003814697","34.7599983215332","-49.9000015258789","7067","-1","543509","2019-01-01 00:08:49","134"
"94725","1289","-5727","-3291","6466","-2700","271","5.65000009536743","28.9599990844727","-46.5499992370606","7068","-1","543550","2019-01-01 00:08:49","134"
"94726","-1476","-7198","3119","11975","-3265","-4294","22.2700004577637","20.0900001525879","-55.9099998474121","7068","-1","543591","2019-01-01 00:08:49","134"
"94727","-18843","-3876","-15936","2920","-2870","-7267","39","21.3899993896484","-76.4599990844727","7068","1","543632","2019-01-01 00:08:49","134"
"94728","-14980","835","3503","-5446","2016","-5443","23.1499996185303","31.1599998474121","-90.75","7068","1","543676","2019-01-01 00:08:49","134"
"94729","-11247","-5311","7540","-9748","1304","-6014","-3.77999997138977","38.560001373291","-106.580001831055","7068","2","543714","2019-01-01 00:08:49","134"
"94730","370","3441","12172","-8935","-4309","4093","-30.3999996185303","32.5400009155273","-105.690002441406","7068","2","543755","2019-01-01 00:08:49","134"
"94731","4850","-2796","3896","-5549","-5897","7517","-33.5900001525879","30.4200000762939","-82.4499969482422","7068","2","543798","2019-01-01 00:08:49","134"
"94732","7534","-6419","11496","1829","-3732","10032","-24.5","30.1700000762939","-51.1699981689453","7068","-1","543837","2019-01-01 00:08:49","134"
"94733","9533","-5840","3982","9092","-3167","-721","-2.76999998092651","25.2000007629395","-38.5099983215332","7069","-2","543878","2019-01-01 00:08:49","134"
"94734","-36","-8800","6228","10976","-3103","-7244","13.6899995803833","18.2800006866455","-49.5200004577637","7069","-2","543918","2019-01-01 00:08:49","134"
"94735","-10688","-15861","-4008","13400","-4962","-11766","36.2900009155273","19.3799991607666","-76.9800033569336","7069","-2","543959","2019-01-01 00:08:49","134"
"94736","-13722","-5580","-12490","-4698","-2087","-6301","38.8499984741211","31.1499996185303","-98.7799987792969","7069","1","544000","2019-01-01 00:08:49","134"
"94737","-13963","-7146","11045","-12767","-829","-5236","3.72000002861023","36.4900016784668","-116.379997253418","7069","1","544041","2019-01-01 00:08:49","134"
"94738","-7552","2997","11524","-11445","-2574","1203","-28.3400001525879","32.3800010681152","-121.75","7069","2","544084","2019-01-01 00:08:49","134"
"94739","4308","-1866","7420","-6408","-5868","8068","-37.4900016784668","30.6100006103516","-98.9300003051758","7069","2","544123","2019-01-01 00:08:49","134"
"94740","5446","-5432","9216","-683","-4690","8093","-30.8600006103516","31.5499992370605","-71.1100006103516","7069","-1","544164","2019-01-01 00:08:49","134"
"94741","2544","-5712","11602","6342","-2020","4039","-11.0500001907349","28.8700008392334","-51.5699996948242","7070","-1","544205","2019-01-01 00:08:49","134"
"94742","8841","-5384","4591","6896","-3245","1729","10.8800001144409","23.3299999237061","-45.1800003051758","7070","-1","544246","2019-01-01 00:08:49","134"
"94743","-621","-8637","4471","11417","-5832","-7888","27.8099994659424","15.7200002670288","-60.0299987792969","7070","-1","544287","2019-01-01 00:08:49","134"
"94744","-18766","-11423","-20072","2399","-2223","-12699","38.2900009155273","26.1900005340576","-93.120002746582","7070","1","544327","2019-01-01 00:08:49","134"
"94745","-17512","-15066","10776","-16382","-3005","-7695","-2.35999989509583","32.0200004577637","-121.339996337891","7070","1","544368","2019-01-01 00:08:49","134"
"94746","-6203","2000","10228","-6440","819","4525","-32.9300003051758","28.0900001525879","-121.540000915527","7070","2","544409","2019-01-01 00:08:49","134"
"94747","5596","-2172","7033","-6640","-5887","8276","-37.7999992370605","32.25","-99.7699966430664","7070","2","544450","2019-01-01 00:08:49","134"
"94748","6482","-6110","7182","-1573","-3729","7434","-33.0999984741211","34.1800003051758","-75.3000030517578","7070","2","544491","2019-01-01 00:08:49","134"
"94749","6292","-4924","8668","4852","-3409","5348","-16.8799991607666","29.5900001525879","-52.0499992370606","7070","-1","544532","2019-01-01 00:08:49","134"
"94750","8292","-5832","7142","6891","-2170","1972","4.96000003814697","25.2999992370605","-44.75","7070","-1","544573","2019-01-01 00:08:49","134"
"94751","-750","-7262","6011","10710","-5126","-7403","22.0699996948242","17.6100006103516","-57.2599983215332","7071","-1","544614","2019-01-01 00:08:49","134"
"94752","-13075","-13666","-8182","8215","-4489","-12656","38.2900009155273","20.2600002288818","-88.1500015258789","7071","1","544655","2019-01-01 00:08:49","134"
"94753","-19179","-10188","-2731","-9294","-3120","-8829","19.2600002288818","30.9799995422363","-118.73999786377","7071","1","544695","2019-01-01 00:08:49","134"
"94754","-14129","-4775","12767","-14712","-5760","-2156","-21.4300003051758","24.2099990844727","-133.410003662109","7071","2","544736","2019-01-01 00:08:49","134"
"94755","-2474","2409","9517","-7035","-5475","8601","-39.939998626709","20.4300003051758","-115.379997253418","7071","2","544777","2019-01-01 00:08:49","134"
"94756","2140","-7692","5924","-2525","-4812","11897","-37.8600006103516","26.0400009155273","-84.2600021362305","7071","-1","544819","2019-01-01 00:08:49","134"
"94757","9035","-6135","9023","5062","-2649","6199","-20.7199993133545","30.6399993896484","-56.560001373291","7071","-1","544859","2019-01-01 00:08:49","134"
"94758","147","-5110","-7227","8739","-2031","1203","2.14000010490417","25.5","-47.0800018310547","7071","-1","544900","2019-01-01 00:08:49","134"
"94759","4237","-5280","5505","9489","-4406","-4485","19.4799995422363","18.7199993133545","-51.2999992370605","7072","-1","544941","2019-01-01 00:08:49","134"
"94760","-12930","-12391","-11086","9746","-4411","-11533","37.5299987792969","21.4300003051758","-78.4499969482422","7072","1","544982","2019-01-01 00:08:49","134"
"94761","-17258","-10420","-3448","-9991","-2412","-10393","21.2399997711182","32.9900016784668","-107.699996948242","7072","1","545024","2019-01-01 00:08:49","134"
"94762","-17075","-2254","17661","-11488","-2874","-44","-20.8099994659424","26.1900005340576","-122.769996643066","7072","2","545064","2019-01-01 00:08:49","134"
"94763","1087","251","5554","-8774","-5742","7922","-34.8400001525879","27.3099994659424","-107.830001831055","7072","2","545104","2019-01-01 00:08:49","134"
