"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","mdlsport_id"
"91812","7397","-13528","6583","-5618","-137","-8602","-73.3399963378906","-28.1900005340576","-39.060001373291","6756","-1","317687","2019-01-01 00:05:11","133"
"91813","6799","-16418","7836","-5629","4619","-12103","-76.1500015258789","-51.5299987792969","-54.6199989318848","6756","-1","317728","2019-01-01 00:05:11","133"
"91814","384","-15038","8752","-4452","8826","-13177","-27.5300006866455","-67.6699981689453","-122.919998168945","6756","-1","317769","2019-01-01 00:05:11","133"
"91815","-1310","-11860","8214","371","9873","-8064","11.3000001907349","-44.7700004577637","-174.029998779297","6756","-1","317810","2019-01-01 00:05:11","133"
"91816","921","-12150","1534","2262","8767","-4357","20.0799999237061","-19.9500007629395","177.970001220703","6756","-1","317851","2019-01-01 00:05:11","133"
"91817","-2279","-11709","2881","3839","5389","-602","26.4099998474121","-1.60000002384186","178.699996948242","6756","-1","317892","2019-01-01 00:05:11","133"
"91818","847","-10018","200","2616","4417","4283","34.439998626709","4.59999990463257","-170.770004272461","6756","-1","317933","2019-01-01 00:05:11","133"
"91819","1627","-7848","172","-876","5095","3363","36.439998626709","8.52000045776367","-156.190002441406","6756","-1","317973","2019-01-01 00:05:11","133"
"91820","3406","-8023","1265","3533","-9","8044","40.7299995422363","3.0699999332428","-140.229995727539","6756","-1","318014","2019-01-01 00:05:11","133"
"91821","5435","-6926","-1921","5638","-742","7991","51.9500007629395","-13.0200004577637","-127.069999694824","6756","-1","318055","2019-01-01 00:05:11","133"
"91822","6609","-1940","-4110","2153","1267","4903","59.0699996948242","-26.5599994659424","-118.129997253418","6756","-1","318096","2019-01-01 00:05:11","133"
"91823","7243","-36","1641","-1765","3074","6119","49.0200004577637","-33.939998626709","-102.129997253418","6756","-1","318137","2019-01-01 00:05:11","133"
"91824","8644","-1618","2284","1725","779","7300","41.0200004577637","-41.2299995422363","-86.7399978637695","6756","1","318178","2019-01-01 00:05:11","133"
"91825","16579","-2045","2295","-3300","1134","5692","22.4200000762939","-50.3300018310547","-63.2799987792969","6756","1","318219","2019-01-01 00:05:11","133"
"91826","8476","-5531","3540","-6721","90","6547","-8.34000015258789","-49.9900016784668","-41.2200012207031","6756","1","318260","2019-01-01 00:05:11","133"
