"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","mdlsport_id"
"221966","5981","-6143","327","64","3991","6214","54.3300018310547","-17.2900009155273","-26.7000007629395","16992","-1","5969793","2020-03-27 09:38:59","237"
"221967","3181","-2327","-900","-82","3190","4180","49.2599983215332","-20.0799999237061","-12.3599996566772","16992","-1","5969834","2020-03-27 09:38:59","237"
"221968","8124","854","-414","88","2040","4304","44.3300018310547","-26.0100002288818","0.959999978542328","16992","-1","5969875","2020-03-27 09:38:59","237"
"221969","1881","2862","-206","-759","1500","2612","39.1199989318848","-27.3999996185303","10.25","16992","-1","5969916","2020-03-27 09:38:59","237"
"221970","2124","4438","1715","181","1219","4659","34.0699996948242","-29.7399997711182","19.9699993133545","16992","-1","5969959","2020-03-27 09:38:59","237"
"221971","8499","5419","2463","-168","-11","3750","27.1100006103516","-33.3600006103516","33.1399993896484","16992","-1","5969998","2020-03-27 09:38:59","237"
"221972","6526","-1538","1986","-2369","-1044","5747","17.2600002288818","-38.9900016784668","45.1100006103516","16992","-1","5970039","2020-03-27 09:38:59","237"
"221973","15624","-4118","5911","-4405","-1894","4629","-5.65999984741211","-44.9199981689453","65.0400009155274","16992","-1","5970080","2020-03-27 09:38:59","237"
"221974","4191","-620","7164","-5630","-2049","5949","-31.9899997711182","-46.7400016784668","83.2099990844727","16992","-1","5970121","2020-03-27 09:38:59","237"
"221975","14282","5794","5259","-5422","1584","1330","-54.2999992370605","-38.4199981689453","94.5599975585938","16992","-1","5970162","2020-03-27 09:38:59","237"
"221976","3723","197","1026","-6274","1172","-3588","-63.3300018310547","-43.7099990844727","89.6399993896484","16992","1","5970203","2020-03-27 09:38:59","237"
"221977","2124","1121","8312","-7500","2782","-5785","-69.3199996948242","-52.4300003051758","72.7699966430664","16993","1","5970244","2020-03-27 09:38:59","237"
"221978","414","-2029","7639","-2851","2460","-9237","-55.2299995422363","-66.8199996948242","44.0900001525879","16993","1","5970285","2020-03-27 09:38:59","237"
"221979","-5327","-4139","5967","-1174","5072","-9100","3.1800000667572","-67.8199996948242","-23.3799991607666","16993","1","5970326","2020-03-27 09:38:59","237"
"221980","-4828","-2884","3572","1969","4629","-4188","24.1200008392334","-51.7700004577637","-47.1399993896484","16993","1","5970367","2020-03-27 09:38:59","237"
"221981","-1436","-4057","3537","4191","2750","-2480","33.3199996948242","-40.5299987792969","-50.2000007629395","16993","1","5970408","2020-03-27 09:38:59","237"
"221982","-935","-4076","3906","4665","4319","707","41.060001373291","-32.3699989318848","-44.6599998474121","16993","-1","5970449","2020-03-27 09:38:59","237"
"221983","73","-1409","5295","3731","5794","1108","45.1100006103516","-24.2900009155273","-32.6300010681152","16993","-1","5970490","2020-03-27 09:38:59","237"
"221984","4636","-8","4206","3640","6420","2865","47.9700012207031","-17.0900001525879","-16.4500007629395","16993","-1","5970531","2020-03-27 09:38:59","237"
