"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","mdlsport_id"
"221066","7127","-8645","-645","1718","3013","5813","51.810001373291","-6.65999984741211","151.580001831055","16948","-1","5920648","2020-03-27 09:38:12","236"
"221067","8559","-7380","-1731","1847","2009","7291","52.810001373291","-17.0499992370605","166.389999389648","16948","-1","5920689","2020-03-27 09:38:12","236"
"221068","5274","-2792","-1801","1365","1388","5960","52.3199996948242","-26.3099994659424","179.520004272461","16948","-1","5920730","2020-03-27 09:38:12","236"
"221069","8990","1532","-2102","190","988","2658","48.7099990844727","-35.0099983215332","-169.070007324219","16948","-1","5920771","2020-03-27 09:38:12","236"
"221070","986","2467","1710","-2416","1229","2257","41.5499992370606","-36.6199989318848","-162.949996948242","16948","-1","5920812","2020-03-27 09:38:12","236"
"221071","1723","4199","2747","-422","1953","4183","31.7199993133545","-37.2299995422363","-151.940002441406","16948","-2","5920853","2020-03-27 09:38:12","236"
"221072","4248","5196","1779","-1681","1482","3550","21.9699993133545","-38.4199981689453","-138.839996337891","16948","-2","5920894","2020-03-27 09:38:12","236"
"221073","6799","1306","7295","-2667","372","6508","6.90999984741211","-38.8699989318848","-124.470001220703","16948","-2","5920935","2020-03-27 09:38:12","236"
"221074","16054","-4719","5235","-4425","-1877","7191","-17.6299991607666","-40.2099990844727","-99.6800003051758","16948","-2","5920976","2020-03-27 09:38:12","236"
"221075","11873","-2945","5890","-7098","-3462","3863","-44.1699981689453","-40.8300018310547","-80.1800003051758","16948","-2","5921017","2020-03-27 09:38:12","236"
"221076","11209","451","12148","-9392","231","3231","-71.7399978637695","-36.6800003051758","-70.3000030517578","16948","-2","5921058","2020-03-27 09:38:12","236"
"221077","3997","809","2661","-4241","575","-4779","-82.6699981689453","-41.1199989318848","-74.3399963378906","16948","1","5921099","2020-03-27 09:38:12","236"
"221078","-5456","-1058","1363","-6844","3677","-6279","-89.4899978637695","-54.5099983215332","-84.8300018310547","16948","1","5921140","2020-03-27 09:38:12","236"
"221079","-1727","-1688","7468","-2581","-100","-7356","-93.1399993896484","-72.1600036621094","-93.2799987792969","16948","1","5921181","2020-03-27 09:38:12","236"
"221080","-2038","-2277","4645","-633","2856","-5321","-54.6100006103516","-86.3199996948242","-135.259994506836","16948","2","5921222","2020-03-27 09:38:12","236"
"221081","-2130","-1871","1808","1405","2681","-4485","41.6100006103516","-76.4400024414063","128.699996948242","16948","2","5921262","2020-03-27 09:38:12","236"
"221082","-1556","-2723","2440","1918","2428","-3196","49.25","-65.1999969482422","122.699996948242","16948","2","5921303","2020-03-27 09:38:12","236"
