id,accelerationx,accelerationy,accelerationz,angularvelocityx,angularvelocityy,angularvelocityz,pitch,roll,yaw,mdlcircle_id,hallsensor,timestamp,starttime,mdlsport_id
231615,-3655,-1824,3305,1497,835,-2018,9.82999992370606,-47.8899993896484,-34.259998321533196,17577,2,7212026,2020-03-27 09:59:00,247
231616,-3932,-2696,-28,-421,2621,-415,13.640000343322802,-42.9799995422363,-37.3300018310547,17577,-1,7212067,2020-03-27 09:59:00,247
231617,2578,-639,832,1822,1069,834,13.3999996185303,-39.819999694824205,-33.5900001525879,17577,-1,7212108,2020-03-27 09:59:00,247
231618,1365,-60,746,3453,295,858,18.979999542236303,-38.77000045776371,-31.6299991607666,17577,-1,7212148,2020-03-27 09:59:00,247
231619,3277,683,-203,1796,745,915,23.149999618530302,-38.4500007629394,-27.899999618530302,17577,-2,7212190,2020-03-27 09:59:00,247
231620,6766,49,2122,-775,1543,2321,20.2800006866455,-37.189998626709,-22.3600006103516,17577,-2,7212230,2020-03-27 09:59:00,247
231621,16339,-2113,8305,830,-1591,4518,11.979999542236301,-39.3300018310547,-11.289999961853,17577,-2,7212272,2020-03-27 09:59:00,247
231622,15664,566,8051,-2338,-3609,3241,2.9800000190734903,-50.8400001525879,0.560000002384186,17577,-2,7212312,2020-03-27 09:59:00,247
231623,6805,1572,5370,-4668,-1037,-262,-10.970000267028801,-56.790000915527294,7.03999996185303,17577,1,7212353,2020-03-27 09:59:00,247
231624,-3480,3259,6224,-3649,-238,-1708,-15.880000114440902,-58.1399993896484,-0.519999980926514,17577,1,7212395,2020-03-27 09:59:00,247
231625,6231,2259,5462,-468,478,-1438,-14.6999998092651,-57.709999084472706,-6.380000114440921,17577,1,7212435,2020-03-27 09:59:00,247
231626,-1898,-896,3776,968,699,-3923,0.44999998807907104,-57.6599998474121,-22.6299991607666,17577,2,7212476,2020-03-27 09:59:00,247
231627,-2593,-2408,3443,13,2482,-1734,11.0100002288818,-52.5099983215332,-33.8600006103516,17577,2,7212517,2020-03-27 09:59:00,247
231628,-3630,-1855,2874,2240,1403,-656,16.5499992370605,-45.75,-38.779998779296896,17577,2,7212558,2020-03-27 09:59:00,247
231629,-3083,-2646,-740,-91,2681,100,18.0100002288818,-40.529998779296896,-36.8300018310547,17577,-1,7212599,2020-03-27 09:59:00,247
