id,accelerationx,accelerationy,accelerationz,angularvelocityx,angularvelocityy,angularvelocityz,pitch,roll,yaw,mdlcircle_id,hallsensor,timestamp
142622,20749,-10840,18836,-8772,-437,-341,-63.40000153,-1.519999981,149.97000119999998,11438,1,227412
142623,16101,-12764,22299,-8641,1501,-8116,-83.08000183,-14.81000042,141.91999819999998,11438,1,227453
142624,-2147,-13790,21954,-3761,9883,-13297,-86.73000336,-42.22999954,123.45999909999999,11438,1,227494
142625,-2461,-14127,17341,2040,9698,-7952,-45.38999939,-55.04000092,70.87999725,11438,2,227535
142626,-1950,-21580,14121,2749,13832,-6450,-8.319999695,-36.54000092,33.38999939,11438,2,227576
142627,10803,-23210,7173,7486,13246,-744,8.960000037999999,-3.589999914,29.21999931,11438,-1,227617
142628,4830,-23383,11346,5262,9275,4245,23.13999939,23.54999924,37.11000061,11438,-1,227658
142629,14344,-19988,13835,923,9046,7091,39.66999817,29.68000031,64.29000092,11438,-1,227699
142630,11618,-18080,-3461,1980,7395,9112,57.70000076,28.0,94.19999695,11438,-1,227740
142631,749,-18769,-13832,-8092,8695,6187,63.47999954,24.29999924,125.1100006,11438,-1,227781
142632,13766,-24383,17799,-9842,-1492,7723,42.97000122,7.239999771,139.03999330000002,11438,-1,227822
142633,24612,-25416,4844,-8700,2378,8036,21.54999924,-1.340000033,158.8099976,11438,-1,227863
142634,21300,-19303,17436,-12256,2877,2288,-10.0,1.820000052,170.1999969,11438,-1,227904
